contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var
contig_1	18697	105.58	14.0201	22.044	15.0111	32.043	22.3517	38.7818	14.0418	21.6334	40.1553	103.064
contig_10	3069	78.9448	10.1254	1.24266	11.5601	4.86049	8.60192	0.611176	10.1254	1.24266	38.532	8.3053
contig_1000	45069	119.374	10.3689	66.8124	17.4269	149.784	40.2078	752.478	10.2126	58.8505	41.1576	944.473
contig_1001	3728	78.9234	6.66238	1.18651	11.8354	2.68334	25.4584	6.3038	6.66238	1.18651	28.3049	13.7321
contig_1003	23601	87.6657	8.68615	28.6419	13.9373	21.558	27.4052	24.7754	8.71127	28.5265	28.9258	183.588
contig_1006	9054	81.9871	8.50371	28.7302	12.9115	45.8047	22.3735	79.6069	8.71103	31.832	29.4873	241.148
contig_1008	14860	111.45	8.77254	43.7535	18.3965	168.692	42.5706	357.382	8.67403	43.4961	33.036	625.425
contig_1009	3606	63.1377	5.89525	35.9173	8.28299	76.7066	17.208	317.369	5.45747	30.1254	26.294	625.264
contig_1011	52580	101.2	10.1431	82.2362	13.9836	179.109	25.5227	343.542	10.118	86.3534	41.4322	1063.38
contig_1014	1468	31.1942	6.06449	3.61693	5.96358	3.59014	2.51745	3.30838	4.30501	1.61533	12.3437	2.97745
contig_1015	240185	240.428	22.3843	192.078	32.4022	360.859	78.0223	1848.43	22.4195	196.45	85.1994	2260.67
contig_1016	21884	80.0917	7.30809	63.4201	8.46471	36.4655	28.7788	707.445	7.16739	60.2766	28.3728	199.449
contig_1017	27785	76.6293	7.56993	42.6768	12.0978	124.39	21.3013	551.715	7.23217	36.6127	28.4282	785.628
contig_1021	10609	65.7761	8.89358	90.9519	7.83832	125.673	16.6573	562.964	8.89368	93.0512	23.4932	691.379
contig_1022	75210	285.616	26.3091	62.4745	39.7831	144.518	87.0321	532.032	26.4257	60.5839	106.066	776.563
contig_1023	32298	159.839	14.5867	160.821	19.5979	221.232	52.9291	2140.97	14.7975	160.363	57.9274	1888.53
contig_1025	30944	179.988	16.019	13.9605	22.4926	54.3014	59.0752	155.175	16.019	13.9605	66.382	139.179
contig_1026	14337	76.9017	12.1919	82.3974	10.2537	23.0514	11.023	13.9514	12.2238	81.0119	31.2093	296.716
contig_1027	16392	100.197	16.0407	116.521	13.5563	49.5725	10.1946	45.011	16.032	114.522	44.3737	641.674
contig_1028	524056	140.992	24.0588	41.7604	20.9288	28.9151	10.7862	13.0947	24.0621	41.7764	61.1561	162.529
contig_1029	45980	126.278	23.0288	326.271	20.5223	163.848	8.4789	20.2913	22.3381	278.937	51.91	1970.58
contig_103	594	33.2703	10.2613	7.39435	4.78153	0.315596	0.128378	0.11215	9.9009	8.35133	8.1982	3.84324
contig_1030	12791	68.7943	11.6064	99.3744	12.3748	64.8505	3.91828	7.02515	11.6854	101.117	29.2094	457.03
contig_1031	312033	54.7474	9.72453	22.9533	7.51072	12.3825	4.25688	4.57136	9.73906	23.4235	23.5162	86.693
contig_1032	1882	3126.39	552.756	154.518	487.871	241.601	155.722	5.77664	552.756	154.518	1377.28	1878.06
contig_1033	22462	245.093	48.4664	5763.38	36.5199	4104.11	3.86675	50.538	48.0502	5788.82	108.19	30866.2
contig_1035	997	159.864	39.9362	235.269	18.3896	45.9899	0.251476	0.422501	38.5443	205.89	62.7426	260.594
contig_1036	1609	1238.21	112.463	346.768	179.639	1636.58	16.7971	3.66525	115.396	340.565	813.916	42262.8
contig_1037	1612	134.224	12.5978	51.6425	12.2155	16.3759	0.0376197	0.0362292	11.5834	60.5304	97.79	1090.21
contig_1038	1965	383.68	75.7994	2625.22	55.5008	1125.25	8.9708	28.8662	76.6452	2677.46	166.764	10777.7
contig_104	882	60.5369	16.7732	11.5791	6.38251	12.4472	0	0	18.0328	10.869	19.3484	11.6199
contig_1041	890	645.289	91.0351	832.302	104.655	409.944	14.2311	0.191455	92.6378	807.812	342.73	3379.28
contig_1042	27412	673.302	130.527	21523.7	106.802	13643.4	18.9828	282.207	129.367	21245.8	287.623	101186
contig_1045	24965	492.688	90.2351	12838.4	77.211	8735.15	18.7018	633.25	90.8251	12913.1	215.715	72925.7
contig_1046	3019	569.173	101.956	508.769	92.6068	476.522	23.7982	7.4895	101.845	504.022	248.966	2821.25
contig_1047	14634	562.162	108.712	329.868	95.5468	83.1983	20.9877	11.4334	108.663	328.041	228.252	509.149
contig_1048	13300	793.754	138.774	30627.7	122.842	23441.4	39.0537	3177.89	138.6	30869.3	354.484	204633
contig_1049	17770	363.29	63.6676	4029.92	50.6271	1961.91	19.9894	132.382	62.9589	3865.45	166.047	17624.3
contig_1050	5933	959.569	173.698	153.16	141.316	176.721	48.3019	12.7354	173.698	153.16	422.555	635.215
contig_1051	20829	422.73	79.5937	1590.62	61.6257	841.402	22.7776	86.1906	79.6267	1633	179.106	7947.76
contig_1054	26611	647.494	126.463	12397.9	99.3001	7085.24	19.6713	261.622	126.252	12292.9	275.808	48097.1
contig_1056	3345	1899.75	368.726	3466.92	260.008	1069.9	92.6344	8.60824	368.688	3497.36	809.693	12171.1
contig_1058	1337	589.967	132.002	1235.37	77.9334	606.955	7.83572	0.872645	133.943	1078.49	238.254	4970.97
contig_1059	1611	1097.76	214.565	9547.86	154.667	2773.57	15.4333	4.04845	216.561	9744.33	496.538	24430.6
contig_106	550	17.0225	2.81	0.715691	4.13	0.313884	0.995	0.00498747	1.795	1.4466	7.2925	2.35784
contig_1060	1421	319.386	48.6648	209.628	56.3312	166.308	7.91739	0.154587	48.6546	235.09	157.818	1223.59
contig_1061	6317	140.175	30.2471	12.3103	19.7715	9.00132	0.964164	0.0345554	30.2471	12.3103	58.9449	29.0238
contig_1062	25747	178.696	33.5523	539.931	27.2309	436.996	8.50225	47.4877	33.2849	558.736	76.1254	3749.37
contig_1064	3752	681.364	124.391	2515.27	102.407	1013	5.16546	1.00622	122.91	2722.81	326.49	9070.94
contig_1065	1394	603.934	91.2998	146.546	96.201	79.5622	26.5941	1.79405	98.0675	230.15	291.772	242.773
contig_1066	505	273.096	45.1634	50.0072	44.0676	27.227	6.97465	0.0360787	45.7408	56.1192	131.149	86.4325
contig_1067	824	2800.53	486.108	163.461	449.907	167.618	65.362	1.63101	486.108	163.461	1313.04	2792.47
contig_1068	619191	347.792	64.9991	358.971	51.2905	204.597	19.069	28.4663	65.0208	354.879	147.412	1522.41
contig_107	1894	203.521	53.4685	171.449	27.1462	66.9854	0.788417	0.16691	53.0235	152.51	69.094	211.218
contig_1070	6197	397.165	75.8823	51.1179	56.7018	30.6517	15.5389	3.30574	76.0617	51.1733	172.98	326.614
contig_1071	599379	52.4461	8.58993	18.4201	8.33888	14.3697	1.84005	1.79769	8.61811	19.4854	25.0591	62.5163
contig_1072	1630	733.286	131.701	96.8545	125.071	156.638	9.04662	2.7274	134.574	66.1905	332.893	381.022
contig_1074	5117	69.4119	10.1476	3.90917	10.2382	1.96202	7.74472	1.72022	10.1476	3.90917	31.1339	14.0559
contig_1076	9218	175.383	29.4467	77.7137	25.149	62.9917	16.4289	6.90626	29.7238	75.9242	74.6349	433.484
