contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var	5.bam	5.bam-var	6.bam	6.bam-var
contig_1	38370	5.35934	5.35934	4.20882	0	0	0	0	0	0	0	0	0	0	0	0
contig_100	845	25.2187	13.2878	18.9228	1.1554	0.203483	2.88345	0.708297	0.627338	0.257178	0.928058	0.0668632	5.25324	6.85508	1.08345	0.163055
contig_1000	6758	5.8862	5.55978	1.8811	0	0	0	0	0	0	0.326423	0.319502	0	0	0	0
contig_10000	4135	7.70188	7.34228	2.67149	0	0	0	0	0	0	0.359598	0.230352	0	0	0	0
contig_10001	7906	44.2731	20.2942	42.2365	0	0	0	0	0	0	23.9789	38.7853	0	0	0	0
contig_10002	5136	23.999	23.999	4.31433	0	0	0	0	0	0	0	0	0	0	0	0
contig_10003	26285	80.3842	58.6047	290.521	0	0	0	0	0.0492443	0.046824	21.7303	264.658	0	0	0	0
contig_10004	5164	61.054	61.0541	20.5543	0	0	0	0	0	0	0	0	0	0	0	0
contig_10005	2616	14.1504	3.01298	0.641605	0	0	0	0	0	0	11.1375	2.90657	0	0	0	0
contig_10006	3389	11.8435	7.49768	2.32975	0	0	0	0	0	0	4.34579	112.333	0	0	0	0
contig_10007	10009	45.4654	45.2037	90.059	0	0	0	0	0	0	0.26169	0.333285	0	0	0	0
contig_10008	32153	61.1826	61.174	145.137	0	0	0.00859294	0.0137615	0	0	0	0	0	0	0	0
contig_10009	34683	47.6633	22.3023	54.3933	0.143804	0.12314	0	0	0	0	25.2172	222.121	0	0	0	0
contig_1001	1294	24.1503	12.0997	2.33302	0	0	0	0	0	0	12.0507	1.99394	0	0	0	0
contig_10010	27917	68.8004	68.1358	33.4922	0	0	0	0	0	0	0.664566	7.59745	0	0	0	0
contig_10011	13387	292.181	41.8575	184.376	10.7428	98.4287	90.4586	2817.4	58.8767	615.664	6.82224	21.0148	59.6128	989.918	23.8109	101.547
contig_10012	82716	90.3573	18.9587	12.4622	3.0283	4.38827	34.899	235.65	0.37364	12.1143	9.02623	27.9022	24.0439	188.722	0.0275537	0.0623378
contig_10013	8397	41.0936	41.0936	102.538	0	0	0	0	0	0	0	0	0	0	0	0
contig_10015	45134	113.726	92.4537	1117.15	0.192357	0.172878	0.326183	1.57173	0.892917	3.11764	3.55515	7.68044	16.2346	146.132	0.0713809	0.199602
contig_10018	57716	211.319	47.6415	85.2412	3.85988	5.32883	34.791	138.354	2.85667	5.03074	36.9954	62.8271	68.3147	129.99	16.8596	27.4081
contig_10019	29239	55.857	15.0275	32.789	0.598474	0.240275	15.4576	93.173	0.45378	0.442323	8.07023	11.0306	4.59266	5.36298	11.6568	21.0816
contig_1002	31023	9.08133	8.49308	27.4328	0	0	0	0	0	0	0.566968	4.46243	0	0	0.0212807	0.0208119
contig_10020	27887	55.0917	17.886	40.5272	0.964848	0.275405	12.4944	21.507	2.67037	3.19304	6.91697	6.43149	4.25507	5.19916	9.90399	11.035
contig_10021	59289	412.043	110.089	1308.83	38.009	471.168	5.79902	11.196	5.23896	13.8742	25.5128	247.84	180.949	11303.7	46.4459	1026.9
contig_10023	12428	32.4326	15.7245	5.50751	8.01067	1.77404	0	0	0	0	0.250529	0.187758	0.972145	0.0270786	7.47475	2.03774
contig_10024	121834	155.32	24.1907	16.3469	51.5778	79.7776	44.9422	141.207	0.128102	0.235101	23.3616	19.1227	0.56286	0.688439	10.5572	11.4244
contig_10025	3234	0.102789	0	0	0	0	0	0	0	0	0.102789	0.0922474	0	0	0	0
contig_10026	50060	43.8502	7.78946	7.82586	0.937467	0.759778	24.5007	119.739	0.303426	0.299749	4.01781	6.50168	0.942136	0.945679	5.35925	8.47729
contig_10027	5467	0.692308	0.692308	0.213056	0	0	0	0	0	0	0	0	0	0	0	0
contig_10028	33253	207.093	93.461	240.264	0.101955	0.288419	0.184001	0.866225	86.2344	737.785	0	0	27.011	354.381	0.100958	0.283215
contig_10029	2626	19.7092	3.16761	0.966227	0	0	8.11914	3.56033	0	0	2.71688	0.952941	5.70557	4.01643	0	0
contig_1003	17226	48.7537	31.2451	27.4768	0	0	0	0	0	0	17.4707	122.496	0	0	0.0378894	0.0534576
contig_10031	5684	28.004	7.25117	15.444	2.4476	4.28629	7.11149	39.8436	0.489158	0.249928	6.49783	31.6218	0.0901699	0.0820484	4.11655	16.1576
contig_10032	57356	79.3677	36.8267	37.7454	0.274517	0.311858	11.7888	477.738	1.01668	5.4022	4.15126	34.707	22.2915	22.8055	3.01816	30.7286
contig_10033	37044	164.61	6.66881	31.5877	2.43403	15.5432	95.4415	13233.5	0.963083	1.97709	28.3449	1092.93	0.477015	0.572602	30.281	1275.4
contig_10034	11406	6.18461	5.65352	1.74845	0.0530384	0.0502265	0.0363362	0.0695106	0	0	0.053838	0.0509268	0.0203447	0.019931	0.367537	0.488855
contig_10035	86751	326.502	53.6985	98.9524	32.1061	81.8818	63.1021	169.633	1.12867	1.1076	47.6997	78.8114	0.590397	0.554161	128.177	603.494
contig_10036	127265	307.614	48.3367	60.9526	26.9536	86.0304	58.8405	162.788	0.88608	0.904889	47.2024	96.922	1.09662	1.20981	124.298	868.933
contig_10037	8851	35.5378	7.438	2.91258	0	0	8.49224	2.91754	0	0	18.9732	12.1023	0.634295	0.542829	0	0
contig_10039	31746	35.6692	5.53478	5.97182	0	0	11.8144	15.0586	0	0	16.9034	18.5909	1.40711	0.915017	0.00949487	0.00940566
contig_1004	12567	45.2435	45.1459	289.146	0	0	0	0	0	0	0.0976081	0.43055	0	0	0	0
contig_10042	5644	286.147	39.6684	8.78352	27.8893	20.3314	62.0886	34.9748	0.982708	0.29807	42.9802	55.0046	1.24863	0.268767	111.289	70.8038
contig_10044	43522	19.3182	6.94356	21.3845	0	0	7.65146	29.8584	0	0	2.47404	5.00182	2.20635	4.9224	0.0427695	0.0409413
contig_10045	16909	187.84	10.8955	2.23997	3.76753	6.58593	134.377	1717.43	0	0	36.9553	44.3698	1.84432	2.54771	0	0
contig_10046	147603	10.5617	8.89112	6.72691	0	0	0.0216611	0.0402656	0	0	0.0473642	0.18853	1.59877	1.62606	0.00280767	0.00279937
contig_10047	21130	60.5885	3.99766	1.83265	0	0	34.4369	48.006	0	0	4.33327	2.76826	0	0	17.8206	17.2034
contig_10048	47678	70.173	16.5171	34.3803	0.794647	7.43942	8.07185	27.6467	0.374832	0.363734	23.1952	228.638	11.4827	58.0013	9.73658	27.509
contig_1005	1312	9.61532	4.74096	0.300632	0	0	0	0	0	0	4.87435	0.230541	0	0	0	0
contig_10050	90264	33.0033	5.44369	4.84649	0	0	5.051	190.895	0.00509355	0.00507078	0.108296	0.150122	0	0	22.3953	72.365
contig_10053	34732	108.55	5.31132	9.17617	0.34891	0.316442	64.0097	2428.65	2.19042	8.41212	14.3596	131.698	19.6012	210.639	2.72862	8.23063
contig_10056	9195	6.99613	5.97015	5.11132	0	0	0	0	0.284245	1.22723	0	0	0.253952	0.373905	0.487783	1.86721
contig_10057	14815	4.30604	3.02298	2.77285	0	0	0	0	0	0	0.058643	0.187913	0.266962	6.94231	0.95745	38.4714
contig_10058	87762	19.6736	6.6724	18.2486	0.0697735	0.0649132	3.29666	18.2098	0	0	0	0	9.63475	80.4731	0	0
contig_10059	36805	16.3477	5.6111	8.01913	0	0	0	0	0	0	6.92896	9.5824	3.80767	4.88122	0	0
contig_1006	6762	28.7686	28.0481	18.1095	0	0	0	0	0	0	0.720508	1.28325	0	0	0	0
contig_10064	24113	67.6072	4.07925	4.04236	6.10224	7.49652	13.2435	63.0821	0.107666	0.0960508	24.537	35.1605	4.35012	4.77455	15.1874	62.0874
contig_10065	3653	302.326	26.376	10.316	16.7162	234.759	77.3922	235.163	99.2158	3235.72	66.7274	234.878	3.38281	4.58808	12.5153	129.94
contig_10067	13617	2.89248	2.89248	2.79872	0	0	0	0	0	0	0	0	0	0	0	0
contig_10068	3976	16.8293	0	0	0	0	13.3508	15.4167	0.174856	0.144317	0	0	0.477784	0.249567	2.82593	0.211261
contig_10069	13604	6.42679	5.76067	3.02382	0	0	0	0	0.130816	0.113694	0	0	0.535306	0.653335	0	0
contig_10070	22150	12.108	9.53186	10.0311	0.0147727	0.0145548	0.0629545	0.374551	1.82968	23.1737	0.314864	0.901825	0.128136	0.221114	0.225682	0.277905
contig_10071	142890	12.5713	7.60403	6.69267	0.0135211	0.0507775	0.000672552	0.000671934	0.00631918	0.0115219	0.00912148	0.0260075	4.91014	7.15518	0.0274765	0.0524937
contig_10072	13469	12.3052	3.92312	1.23903	1.19889	0.275417	3.44455	0.885945	0	0	0	0	3.73864	1.65036	0	0
contig_10073	18721	15.7556	6.30812	6.29937	0	0	4.06892	8.49631	0	0	0.00586937	0.00583832	5.37273	6.61789	0	0
contig_10074	34728	36.9136	7.43935	3.4234	1.95353	31.0904	9.1265	15.4877	0	0	15.3486	49.8619	1.29837	1.13625	1.74721	25.798
contig_10075	105328	39.51	39.51	51.2437	0	0	0	0	0	0	0	0	0	0	0	0
contig_10077	67038	7.13706	7.13706	6.76326	0	0	0	0	0	0	0	0	0	0	0	0
contig_10078	11021	16.374	15.0287	2.4218	0	0	0.23043	1.87911	0	0	0.0697268	0.193502	0.692945	0.235401	0.352222	4.87601
contig_10079	26153	6.68827	6.68827	10.0686	0	0	0	0	0	0	0	0	0	0	0	0
contig_1008	8985	77.8388	77.5777	30.3581	0	0	0	0	0	0	0.261121	0.364313	0	0	0	0
contig_10080	51737	6.0909	4.21686	11.0658	1.71704	30.14	0.0328765	0.050505	0	0	0.0564871	0.0532872	0.0676333	0.0631084	0	0
contig_10081	18906	47.3402	24.3972	72.2257	3.74126	13.6933	19.2017	1095.73	0	0	0	0	0	0	0	0
contig_10082	99740	14.6084	5.97483	3.59601	0.0853499	0.0780949	5.6821	20.3831	0.965729	1.78963	1.36994	1.93851	0.162195	1.07713	0.36822	0.269141
