Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1001	72.55	1.57	Gradient Boost (General Model)	11	0.912	3935	239.41726251276813	1537521	0.61	1958	545	16063	None
1024	23.3	1.33	Neural Network (Specific Model)	11	0.909	929	164.9986178299931	784760	0.49	1447	909	6879	None
1063	29.87	0.64	Neural Network (Specific Model)	11	0.881	1138	173.26418439716312	662221	0.27	1128	627	19465	None
107	95.47	0.12	Gradient Boost (General Model)	11	0.858	70596	351.76389368312044	3560942	0.53	2897	110	279067	None
1158	41.39	0.03	Neural Network (Specific Model)	11	0.886	22145	319.24915824915826	1281458	0.48	1188	88	47390	None
1160	91.08	1.58	Neural Network (Specific Model)	11	0.888	15645	288.6228239845261	3519838	0.45	3619	570	78240	None
1177	89.92	4.4	Gradient Boost (General Model)	11	0.877	5704	244.69328263624843	1975961	0.51	2367	529	31775	None
1184	37.18	0.27	Neural Network (Specific Model)	11	0.881	1147	166.63333333333333	1067595	0.46	1890	1056	15665	None
1185	90.79	1.97	Gradient Boost (General Model)	11	0.879	29180	308.8272307145396	2961138	0.54	2813	232	94722	None
1202	88.61	0.7	Neural Network (Specific Model)	11	0.891	26808	300.5025518883974	2968404	0.47	2939	219	136568	None
1203	53.57	0.33	Gradient Boost (General Model)	11	0.876	5983	251.72625070264192	1528887	0.58	1779	385	23854	None
1224	88.77	0.08	Neural Network (Specific Model)	11	0.885	77591	322.23580190822355	2401383	0.53	2201	54	174899	None
1226	86.75	2.1	Neural Network (Specific Model)	11	0.88	13859	304.6540189715427	2076711	0.62	2003	245	58855	None
1235	7.83	0.0	Neural Network (Specific Model)	11	0.874	28078	259.52918287937746	228297	0.44	257	11	53989	None
1257	45.8	0.56	Neural Network (Specific Model)	11	0.897	14396	295.5858208955224	1056948	0.46	1072	105	60842	None
1269	94.72	1.03	Gradient Boost (General Model)	11	0.91	16891	297.1711340206186	1423140	0.34	1455	179	64859	None
1275	58.67	1.33	Gradient Boost (General Model)	11	0.889	3395	234.67699297810822	1910901	0.6	2421	807	38079	None
