Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR19064415_fairy_single_metabat2_short_bin.1	83.78	2.22	Neural Network (Specific Model)	11	0.868	21839	305.4260614934114	2160234	0.59	2049	163	94121	None
SRR19064415_fairy_single_metabat2_short_bin.10	10.26	0.21	Neural Network (Specific Model)	11	0.883	11229	287.3824175824176	442643	0.53	455	62	37164	None
SRR19064415_fairy_single_metabat2_short_bin.11	52.78	1.61	Neural Network (Specific Model)	11	0.934	3071	267.68043844856663	1016233	0.36	1186	346	11572	None
SRR19064415_fairy_single_metabat2_short_bin.12	15.97	0.08	Neural Network (Specific Model)	11	0.937	3304	282.45604395604397	328168	0.45	364	105	12383	None
SRR19064415_fairy_single_metabat2_short_bin.13	10.8	0.0	Neural Network (Specific Model)	11	0.893	3468	280.48275862068965	245115	0.6	261	74	10403	None
SRR19064415_fairy_single_metabat2_short_bin.14	82.83	13.68	Neural Network (Specific Model)	11	0.852	7084	275.30369718309856	2199155	0.4	2272	396	45069	None
SRR19064415_fairy_single_metabat2_short_bin.15	99.96	0.27	Neural Network (Specific Model)	11	0.868	102166	332.42071984435796	2356947	0.56	2056	31	235387	None
SRR19064415_fairy_single_metabat2_short_bin.16	7.92	0.0	Neural Network (Specific Model)	11	0.883	3515	252.3897763578275	267458	0.53	313	80	10021	None
SRR19064415_fairy_single_metabat2_short_bin.17	93.29	0.09	Neural Network (Specific Model)	11	0.851	14079	325.85498346717054	2428040	0.56	2117	250	61927	None
SRR19064415_fairy_single_metabat2_short_bin.18	91.01	1.09	Neural Network (Specific Model)	11	0.868	31193	326.4337691870381	1982400	0.6	1759	120	103641	None
SRR19064415_fairy_single_metabat2_short_bin.19	92.73	0.73	Neural Network (Specific Model)	11	0.873	53558	308.88368246968025	1923934	0.39	1814	53	247096	None
SRR19064415_fairy_single_metabat2_short_bin.2	82.27	0.07	Neural Network (Specific Model)	11	0.905	8980	321.24518479958357	2041983	0.43	1921	298	34027	None
SRR19064415_fairy_single_metabat2_short_bin.20	100.0	0.32	Neural Network (Specific Model)	11	0.885	53205	297.50358917725015	1824330	0.39	1811	74	205756	None
