Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SemiBin_0.fa	99.79	0.19	Gradient Boost (General Model)	11	0.899	210586	323.35521965044876	2280901	0.45	2117	22	539560	None
SemiBin_1.fa	99.85	0.16	Neural Network (Specific Model)	11	0.842	149973	318.78067061143986	2867854	0.59	2535	43	431820	None
SemiBin_10.fa	98.57	0.81	Neural Network (Specific Model)	11	0.892	44652	304.409758656873	3895743	0.45	3812	154	266130	None
SemiBin_100.fa	8.74	0.03	Neural Network (Specific Model)	11	0.866	27902	305.00533333333334	395617	0.45	375	24	56890	None
SemiBin_101.fa	65.82	0.36	Neural Network (Specific Model)	11	0.865	10949	278.49974683544303	1903326	0.62	1975	238	56516	None
SemiBin_102.fa	9.77	0.34	Neural Network (Specific Model)	11	0.847	9764	296.8768606224628	775012	0.48	739	96	56454	None
SemiBin_103.fa	77.79	0.14	Neural Network (Specific Model)	11	0.832	9302	307.1167037861915	2478733	0.66	2245	331	55452	None
SemiBin_105.fa	90.68	0.02	Gradient Boost (General Model)	11	0.825	13540	293.41150442477874	2167173	0.63	2034	223	55043	None
SemiBin_106.fa	5.88	0.1	Neural Network (Specific Model)	11	0.888	16245	300.05594405594405	288715	0.52	286	30	54965	None
SemiBin_107.fa	71.33	0.93	Gradient Boost (General Model)	11	0.865	8060	278.1802103250478	2011118	0.53	2092	305	54435	None
SemiBin_11.fa	92.24	0.15	Gradient Boost (General Model)	11	0.907	78950	338.638006839277	2289806	0.51	2047	65	263860	None
SemiBin_110.fa	11.52	0.09	Neural Network (Specific Model)	11	0.885	10826	239.94625719769672	422470	0.53	521	57	51215	None
SemiBin_111.fa	9.61	0.14	Neural Network (Specific Model)	11	0.887	10110	249.6153846153846	415216	0.49	494	61	50908	None
SemiBin_112.fa	17.3	2.03	Neural Network (Specific Model)	11	0.881	16754	282.656914893617	1082915	0.5	1128	101	50409	None
SemiBin_113.fa	11.47	0.03	Neural Network (Specific Model)	11	0.901	8790	294.45438282647586	546318	0.48	559	74	50293	None
SemiBin_114.fa	87.53	0.15	Gradient Boost (General Model)	11	0.851	14974	318.65160689333953	2405821	0.56	2147	213	49996	None
SemiBin_115.fa	7.12	0.11	Neural Network (Specific Model)	11	0.845	14725	236.72569444444446	482252	0.48	576	56	49137	None
SemiBin_116.fa	11.15	0.68	Neural Network (Specific Model)	11	0.906	17272	261.9603524229075	588801	0.44	681	68	48649	None
SemiBin_118.fa	7.2	0.0	Neural Network (Specific Model)	11	0.869	12677	278.2836257309942	327133	0.53	342	39	46685	None
SemiBin_119.fa	11.04	0.0	Neural Network (Specific Model)	11	0.899	6581	281.3855140186916	400882	0.48	428	66	46615	None
SemiBin_12.fa	99.36	0.54	Gradient Boost (General Model)	11	0.886	107477	320.87767047117353	3705690	0.46	3417	69	263148	None
SemiBin_120.fa	9.93	0.06	Neural Network (Specific Model)	11	0.891	10581	285.0107066381156	447110	0.39	467	60	45914	None
SemiBin_123.fa	82.66	1.49	Gradient Boost (General Model)	11	0.906	10827	274.6505332239541	1105190	0.52	1219	133	42255	None
SemiBin_124.fa	87.42	1.0	Gradient Boost (General Model)	11	0.891	8265	283.4061475409836	2322246	0.52	2440	333	41474	None
SemiBin_125.fa	5.31	0.04	Neural Network (Specific Model)	11	0.897	10913	274.203187250996	229395	0.48	251	25	41396	None
SemiBin_126.fa	4.82	0.0	Neural Network (Specific Model)	11	0.933	4919	296.70046082949307	206145	0.42	217	41	40667	None
SemiBin_127.fa	4.69	0.02	Neural Network (Specific Model)	11	0.884	37243	233.4578651685393	280593	0.48	356	30	40412	None
SemiBin_128.fa	10.11	0.52	Neural Network (Specific Model)	11	0.867	11211	302.8082191780822	458066	0.5	438	54	40406	None
SemiBin_13.fa	13.19	0.14	Neural Network (Specific Model)	11	0.882	59144	269.0539629005059	541044	0.37	593	38	256176	None
SemiBin_130.fa	6.87	0.02	Neural Network (Specific Model)	11	0.886	7632	285.3838120104439	368211	0.39	383	60	39895	None
SemiBin_131.fa	63.81	1.0	Neural Network (Specific Model)	11	0.884	9011	280.84	1546214	0.6	1625	216	39809	None
SemiBin_133.fa	79.53	0.0	Gradient Boost (General Model)	11	0.895	9096	278.3536219459923	2171543	0.62	2333	276	38895	None
SemiBin_134.fa	7.97	0.0	Neural Network (Specific Model)	11	0.867	35240	283.0	231750	0.27	237	10	38573	None
SemiBin_135.fa	7.2	0.13	Neural Network (Specific Model)	11	0.886	13685	286.3924418604651	332639	0.47	344	31	38444	None
SemiBin_138.fa	5.69	0.0	Neural Network (Specific Model)	11	0.816	11087	273.2798634812287	293624	0.38	293	32	36566	None
SemiBin_139.fa	30.05	0.5	Neural Network (Specific Model)	11	0.886	8533	301.858024691358	1487044	0.46	1458	217	36295	None
SemiBin_14.fa	99.99	0.0	Neural Network (Specific Model)	11	0.87	112901	314.059009009009	2401870	0.56	2220	44	249746	None
SemiBin_143.fa	78.27	0.09	Neural Network (Specific Model)	11	0.852	10487	288.6334106728538	2185481	0.63	2155	281	35692	None
SemiBin_147.fa	11.24	0.28	Neural Network (Specific Model)	11	0.888	10170	338.158371040724	504164	0.48	442	66	35195	None
SemiBin_149.fa	9.54	0.07	Neural Network (Specific Model)	11	0.882	12211	265.8393285371703	375526	0.45	417	39	34600	None
SemiBin_15.fa	95.47	1.26	Gradient Boost (General Model)	11	0.906	99072	335.2654970760234	2842639	0.52	2565	54	249431	None
SemiBin_150.fa	10.44	0.16	Neural Network (Specific Model)	11	0.886	10312	293.48926014319807	415464	0.4	419	52	34268	None
SemiBin_151.fa	59.6	2.48	Neural Network (Specific Model)	11	0.871	8076	282.27399756986637	1597048	0.65	1646	239	33677	None
SemiBin_152.fa	5.07	0.01	Neural Network (Specific Model)	11	0.888	7868	273.5528455284553	226621	0.54	246	36	33008	None
SemiBin_153.fa	4.23	0.4	Neural Network (Specific Model)	11	0.867	8793	254.92705882352942	373408	0.42	425	54	32995	None
SemiBin_156.fa	7.64	0.0	Neural Network (Specific Model)	11	0.85	6589	286.3379310344828	292203	0.53	290	50	31640	None
SemiBin_157.fa	8.79	0.01	Neural Network (Specific Model)	11	0.861	12898	317.8113879003559	310652	0.46	281	37	30820	None
SemiBin_158.fa	76.47	1.29	Gradient Boost (General Model)	11	0.88	8858	280.26089185033317	1859136	0.6	1951	255	30681	None
SemiBin_16.fa	99.1	2.27	Gradient Boost (General Model)	11	0.905	70887	319.855469953775	3434758	0.46	3245	111	247787	None
SemiBin_160.fa	6.55	0.03	Neural Network (Specific Model)	11	0.893	12970	302.25	291241	0.52	288	34	30361	None
SemiBin_163.fa	64.52	0.09	Neural Network (Specific Model)	11	0.865	7429	255.07868155236577	1661043	0.64	1881	255	29139	None
SemiBin_164.fa	12.22	0.15	Neural Network (Specific Model)	11	0.862	8627	270.3656126482214	474339	0.54	506	74	29030	None
SemiBin_165.fa	6.29	0.03	Neural Network (Specific Model)	11	0.88	8985	302.87423312883436	335574	0.47	326	45	28970	None
SemiBin_166.fa	10.38	0.01	Neural Network (Specific Model)	11	0.893	9387	310.17127071823205	564406	0.47	543	73	28748	None
SemiBin_17.fa	95.6	0.65	Neural Network (Specific Model)	11	0.872	71987	305.97837837837835	2719935	0.54	2590	83	233082	None
SemiBin_171.fa	50.62	0.31	Neural Network (Specific Model)	11	0.887	7343	295.19953730480046	1723220	0.46	1729	268	27139	None
SemiBin_173.fa	63.25	0.17	Gradient Boost (General Model)	11	0.898	6351	286.96114195083265	1207255	0.59	1261	207	26509	None
SemiBin_175.fa	5.01	0.01	Neural Network (Specific Model)	11	0.873	13406	270.75	204041	0.52	220	22	26094	None
SemiBin_176.fa	20.05	0.23	Neural Network (Specific Model)	11	0.884	5382	299.24838012958963	937557	0.53	926	185	25606	None
SemiBin_178.fa	60.86	1.71	Gradient Boost (General Model)	11	0.874	6252	260.31907571288104	1811172	0.59	2034	317	24566	None
SemiBin_18.fa	99.98	3.33	Neural Network (Specific Model)	11	0.871	53866	321.65061409179054	3421179	0.47	3094	99	213580	None
SemiBin_180.fa	10.11	0.37	Neural Network (Specific Model)	11	0.9	5400	262.2589928057554	363019	0.43	417	70	23998	None
SemiBin_181.fa	7.38	0.04	Neural Network (Specific Model)	11	0.905	6876	300.4907063197026	267391	0.46	269	45	23898	None
SemiBin_182.fa	9.16	0.48	Neural Network (Specific Model)	11	0.893	9056	281.33811475409834	459722	0.45	488	67	23671	None
SemiBin_187.fa	38.11	0.98	Gradient Boost (General Model)	11	0.911	4850	281.8064139941691	1586785	0.52	1715	340	22677	None
SemiBin_189.fa	10.6	0.08	Neural Network (Specific Model)	11	0.885	4673	251.364896073903	367732	0.48	433	78	21885	None
SemiBin_19.fa	100.0	0.46	Neural Network (Specific Model)	11	0.879	49023	313.8492960997	4631957	0.51	4333	150	212523	None
SemiBin_190.fa	6.04	0.0	Neural Network (Specific Model)	11	0.899	6901	338.2186234817814	278148	0.43	247	45	21847	None
SemiBin_192.fa	48.13	1.45	Neural Network (Specific Model)	11	0.885	5553	277.0993961913609	2012940	0.53	2153	397	21783	None
SemiBin_193.fa	28.81	0.02	Neural Network (Specific Model)	11	0.873	6114	272.37904468412944	606799	0.28	649	114	21727	None
SemiBin_195.fa	5.67	0.04	Neural Network (Specific Model)	11	0.9	8972	293.93809523809523	204869	0.49	210	33	21684	None
SemiBin_196.fa	6.93	0.19	Neural Network (Specific Model)	11	0.896	6646	297.2887029288703	237299	0.53	239	43	21649	None
SemiBin_197.fa	28.26	0.24	Neural Network (Specific Model)	11	0.899	3977	265.92884250474384	932163	0.47	1054	227	21648	None
SemiBin_199.fa	7.42	0.09	Neural Network (Specific Model)	11	0.881	7899	255.36059479553904	233153	0.5	269	37	21471	None
SemiBin_2.fa	10.43	0.23	Neural Network (Specific Model)	11	0.802	355190	265.5983379501385	357804	0.56	361	2	355190	None
SemiBin_20.fa	93.88	1.34	Gradient Boost (General Model)	11	0.855	66155	345.6103739445115	2007070	0.49	1658	46	208180	None
SemiBin_200.fa	5.28	0.02	Neural Network (Specific Model)	11	0.794	6064	239.65503875968992	232676	0.35	258	41	21407	None
SemiBin_201.fa	67.4	0.08	Gradient Boost (General Model)	11	0.863	4854	230.800494641385	969734	0.28	1213	206	21264	None
SemiBin_202.fa	8.68	0.0	Neural Network (Specific Model)	11	0.874	6965	279.92533333333336	358844	0.43	375	58	21257	None
SemiBin_203.fa	7.76	0.13	Neural Network (Specific Model)	11	0.86	7588	248.79166666666666	394501	0.51	456	67	21119	None
SemiBin_209.fa	6.57	0.03	Neural Network (Specific Model)	11	0.853	6488	279.6166666666667	234937	0.5	240	42	19705	None
SemiBin_21.fa	97.1	0.28	Gradient Boost (General Model)	11	0.888	86850	329.4760694620923	2624427	0.61	2361	48	207308	None
SemiBin_211.fa	49.92	0.39	Gradient Boost (General Model)	11	0.855	5140	263.7316930287053	1572293	0.51	1707	323	19633	None
SemiBin_212.fa	6.38	0.0	Neural Network (Specific Model)	11	0.906	6684	283.65232974910396	261163	0.46	279	43	19589	None
SemiBin_217.fa	64.76	1.05	Gradient Boost (General Model)	11	0.875	5001	250.27105666156203	1116353	0.53	1306	233	18860	None
SemiBin_219.fa	51.57	1.42	Neural Network (Specific Model)	11	0.837	4987	280.6935261707989	1456834	0.48	1452	303	18075	None
SemiBin_22.fa	99.96	0.61	Neural Network (Specific Model)	11	0.872	112879	289.1258457374831	2201491	0.49	2217	45	198116	None
SemiBin_221.fa	68.4	2.7	Gradient Boost (General Model)	11	0.902	6745	273.02612393681653	1489860	0.53	1646	254	17863	None
SemiBin_224.fa	8.47	0.13	Neural Network (Specific Model)	11	0.893	6368	264.32175925925924	382537	0.52	432	67	16425	None
SemiBin_23.fa	99.99	0.72	Neural Network (Specific Model)	11	0.897	62115	323.1469857054071	3472299	0.49	3218	110	198047	None
SemiBin_234.fa	6.05	0.02	Neural Network (Specific Model)	11	0.903	5975	266.3809523809524	278119	0.53	315	50	14681	None
