Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SemiBin_0.fa	99.89	1.29	Neural Network (Specific Model)	11	0.9	1022315	296.5384333821376	2692226	0.41	2732	47	1065316	None
SemiBin_1.fa	99.48	10.65	Gradient Boost (General Model)	11	0.881	91392	309.0249258160237	1770614	0.29	1685	37	472042	None
SemiBin_10.fa	94.05	0.96	Gradient Boost (General Model)	11	0.908	23583	280.7457212713936	1135619	0.28	1227	69	76933	None
SemiBin_100.fa	87.29	0.23	Neural Network (Specific Model)	11	0.88	34125	310.9659931000493	2147856	0.6	2029	100	74190	None
SemiBin_101.fa	79.55	1.33	Gradient Boost (General Model)	11	0.885	16975	298.5115681233933	2355775	0.62	2334	198	73836	None
SemiBin_102.fa	52.6	0.18	Neural Network (Specific Model)	11	0.881	5911	273.16323210412145	1710850	0.64	1844	310	73407	None
SemiBin_103.fa	52.1	2.01	Gradient Boost (General Model)	11	0.857	26816	283.0008424599832	1174757	0.28	1187	86	73360	None
SemiBin_104.fa	13.35	0.0	Neural Network (Specific Model)	11	0.892	46914	322.1554252199413	368816	0.45	341	16	72455	None
SemiBin_105.fa	9.18	0.05	Neural Network (Specific Model)	11	0.872	19832	287.66359447004606	428302	0.54	434	41	71449	None
SemiBin_107.fa	11.46	0.16	Neural Network (Specific Model)	11	0.9	13615	289.73571428571427	404202	0.47	420	44	70356	None
SemiBin_108.fa	99.66	3.97	Gradient Boost (General Model)	11	0.876	28374	291.8579009433962	1690892	0.31	1696	102	68570	None
SemiBin_109.fa	13.65	0.01	Neural Network (Specific Model)	11	0.913	22332	296.5852534562212	632601	0.47	651	53	65126	None
SemiBin_11.fa	100.0	36.61	Gradient Boost (General Model)	11	0.878	58045	288.32365439093485	2775160	0.28	2824	127	316693	None
SemiBin_110.fa	10.58	0.6	Neural Network (Specific Model)	11	0.859	10803	269.5405405405405	624992	0.52	666	80	65061	None
SemiBin_111.fa	80.75	0.0	Neural Network (Specific Model)	11	0.871	16343	306.6816091954023	2751441	0.62	2610	243	64931	None
SemiBin_112.fa	5.94	0.0	Neural Network (Specific Model)	11	0.863	17267	254.55755395683454	245298	0.5	278	24	64354	None
SemiBin_113.fa	8.67	0.0	Neural Network (Specific Model)	11	0.89	12415	271.96143250688704	331618	0.48	363	42	63273	None
SemiBin_114.fa	7.03	0.02	Neural Network (Specific Model)	11	0.869	9209	275.41346153846155	295680	0.56	312	42	63220	None
SemiBin_115.fa	92.48	2.94	Gradient Boost (General Model)	11	0.868	24974	255.6143470263642	1435976	0.27	1631	91	61862	None
SemiBin_117.fa	6.56	0.05	Neural Network (Specific Model)	11	0.891	34107	317.7470588235294	363410	0.43	340	19	61690	None
SemiBin_118.fa	61.15	1.56	Gradient Boost (General Model)	11	0.869	16581	292.01290322580644	1091863	0.28	1085	94	60975	None
SemiBin_12.fa	99.48	0.34	Gradient Boost (General Model)	11	0.873	56701	301.66641250476556	2713629	0.5	2623	90	304994	None
SemiBin_121.fa	11.5	0.23	Neural Network (Specific Model)	11	0.844	17255	261.01190476190476	699026	0.54	756	65	59342	None
SemiBin_122.fa	72.61	0.15	Neural Network (Specific Model)	11	0.875	10477	276.3398357289528	1842730	0.64	1948	234	59323	None
SemiBin_123.fa	100.0	0.0	Gradient Boost (General Model)	11	0.88	18431	326.46425339366516	2454062	0.48	2210	180	59080	None
SemiBin_124.fa	68.45	1.71	Gradient Boost (General Model)	11	0.869	11304	275.808071328015	2025557	0.6	2131	236	58873	None
SemiBin_128.fa	83.6	1.66	Gradient Boost (General Model)	11	0.786	8937	264.3949179460032	1901042	0.42	1889	245	54064	None
SemiBin_13.fa	87.64	0.0	Neural Network (Specific Model)	11	0.884	84831	320.04624045034177	2696829	0.49	2487	79	184566	None
SemiBin_130.fa	75.17	0.2	Gradient Boost (General Model)	11	0.873	11723	286.3898450946644	2280218	0.61	2324	256	53275	None
SemiBin_131.fa	14.84	0.72	Neural Network (Specific Model)	11	0.891	15035	274.0219538968167	837909	0.46	911	75	53219	None
SemiBin_132.fa	7.29	0.1	Neural Network (Specific Model)	11	0.887	17489	278.5111111111111	253577	0.41	270	24	53097	None
SemiBin_133.fa	7.48	0.0	Neural Network (Specific Model)	11	0.837	9138	253.24	293635	0.47	325	38	52917	None
SemiBin_134.fa	25.64	0.05	Neural Network (Specific Model)	11	0.901	8623	294.3390052356021	747164	0.58	764	105	52543	None
SemiBin_135.fa	8.26	0.71	Neural Network (Specific Model)	11	0.912	20492	288.94072164948454	367656	0.52	388	34	51743	None
SemiBin_137.fa	6.52	0.11	Neural Network (Specific Model)	11	0.878	23443	309.2442748091603	276235	0.55	262	29	51175	None
SemiBin_138.fa	10.51	0.0	Neural Network (Specific Model)	11	0.866	8477	302.67123287671234	381727	0.46	365	53	50430	None
SemiBin_139.fa	9.19	0.03	Neural Network (Specific Model)	11	0.861	16714	298.7262569832402	371772	0.45	358	33	48645	None
SemiBin_14.fa	97.87	0.14	Gradient Boost (General Model)	11	0.849	43626	303.21438142027694	2394789	0.57	2239	89	274245	None
SemiBin_142.fa	91.22	0.6	Gradient Boost (General Model)	11	0.897	16981	285.2776556776557	1299063	0.29	1365	107	46950	None
SemiBin_143.fa	7.75	0.0	Neural Network (Specific Model)	11	0.875	17897	271.94117647058823	237315	0.62	255	30	46048	None
SemiBin_145.fa	8.45	0.33	Neural Network (Specific Model)	11	0.896	14943	273.53452115812917	409654	0.48	449	44	44734	None
SemiBin_146.fa	5.63	0.08	Neural Network (Specific Model)	11	0.876	12474	228.5027027027027	288912	0.42	370	30	44378	None
SemiBin_147.fa	53.39	0.16	Gradient Boost (General Model)	11	0.878	6351	270.89789603960395	1491863	0.6	1616	255	43817	None
SemiBin_148.fa	14.51	0.09	Neural Network (Specific Model)	11	0.827	3739	232.41201716738198	586522	0.5	699	148	43412	None
SemiBin_149.fa	70.52	4.47	Neural Network (Specific Model)	11	0.879	6261	274.61027739881763	2056692	0.65	2199	352	42873	None
SemiBin_15.fa	100.0	0.33	Neural Network (Specific Model)	11	0.866	117233	336.12147134302825	2718244	0.54	2338	44	273918	None
SemiBin_151.fa	48.31	0.03	Gradient Boost (General Model)	11	0.857	13624	276.86451612903227	599454	0.28	620	70	42093	None
SemiBin_152.fa	25.81	0.09	Neural Network (Specific Model)	11	0.9	9557	283.3995943204868	929609	0.58	986	121	41433	None
