Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR19064418_fairy_all_metabat2_short_bin.1	83.67	1.06	Neural Network (Specific Model)	11	0.919	8139	303.5285152409046	2011322	0.38	2034	334	37142	None
SRR19064418_fairy_all_metabat2_short_bin.10	4.9	0.0	Neural Network (Specific Model)	11	0.92	131986	338.295652173913	253408	0.42	230	6	131986	None
SRR19064418_fairy_all_metabat2_short_bin.11	87.16	0.86	Neural Network (Specific Model)	11	0.871	53054	334.5637157602223	2898745	0.44	2519	84	150752	None
SRR19064418_fairy_all_metabat2_short_bin.12	8.97	0.0	Neural Network (Specific Model)	11	0.896	17443	394.95	554224	0.41	420	44	73669	None
SRR19064418_fairy_all_metabat2_short_bin.13	89.09	0.2	Neural Network (Specific Model)	11	0.91	34010	310.90271966527195	1956906	0.42	1912	82	102226	None
SRR19064418_fairy_all_metabat2_short_bin.14	48.2	0.07	Neural Network (Specific Model)	11	0.88	78187	303.77777777777777	1209551	0.59	1170	66	164579	None
SRR19064418_fairy_all_metabat2_short_bin.15	12.87	0.0	Neural Network (Specific Model)	11	0.875	59350	297.5824468085106	382600	0.55	376	8	78136	None
SRR19064418_fairy_all_metabat2_short_bin.16	99.99	0.73	Neural Network (Specific Model)	11	0.874	106039	312.26228686058175	2133317	0.41	1994	22	339902	None
SRR19064418_fairy_all_metabat2_short_bin.17	89.76	0.04	Neural Network (Specific Model)	11	0.913	24586	368.53427488804687	3510981	0.48	2903	208	99126	None
SRR19064418_fairy_all_metabat2_short_bin.18	93.2	0.77	Neural Network (Specific Model)	11	0.87	16971	341.48228346456693	2985806	0.44	2540	246	56750	None
SRR19064418_fairy_all_metabat2_short_bin.19	76.38	2.16	Neural Network (Specific Model)	11	0.876	6243	293.20398230088495	2265182	0.64	2260	459	37284	None
SRR19064418_fairy_all_metabat2_short_bin.2	75.86	0.99	Gradient Boost (General Model)	11	0.864	10308	293.8942141623489	2356859	0.59	2316	313	52559	None
SRR19064418_fairy_all_metabat2_short_bin.20	98.85	0.12	Neural Network (Specific Model)	11	0.866	44429	322.5270579268293	2928061	0.59	2624	109	126890	None
SRR19064418_fairy_all_metabat2_short_bin.21	84.02	0.08	Neural Network (Specific Model)	11	0.905	32172	373.21433770014556	3396030	0.42	2748	202	100108	None
SRR19064418_fairy_all_metabat2_short_bin.22	97.81	0.94	Gradient Boost (General Model)	11	0.877	12595	299.25520431765614	2646372	0.52	2594	295	52957	None
SRR19064418_fairy_all_metabat2_short_bin.23	99.22	0.06	Neural Network (Specific Model)	11	0.891	82623	321.1892744479495	2738291	0.42	2536	54	226483	None
SRR19064418_fairy_all_metabat2_short_bin.24	86.74	0.38	Neural Network (Specific Model)	11	0.869	45907	320.40030911901084	2145026	0.58	1941	66	128274	None
SRR19064418_fairy_all_metabat2_short_bin.25	58.33	1.31	Neural Network (Specific Model)	11	0.891	3652	256.60122699386505	1545301	0.62	1793	470	11749	None
SRR19064418_fairy_all_metabat2_short_bin.26	27.37	0.52	Neural Network (Specific Model)	11	0.907	2918	249.80715935334874	711995	0.39	866	253	11201	None
SRR19064418_fairy_all_metabat2_short_bin.27	6.9	0.01	Neural Network (Specific Model)	11	0.849	155879	342.3961352657005	250228	0.38	207	4	155879	None
SRR19064418_fairy_all_metabat2_short_bin.28	80.92	0.01	Neural Network (Specific Model)	11	0.915	9286	352.92062818336166	2719741	0.43	2356	401	45690	None
SRR19064418_fairy_all_metabat2_short_bin.29	15.5	1.05	Neural Network (Specific Model)	11	0.889	6743	257.9829683698297	713223	0.38	822	132	31548	None
SRR19064418_fairy_all_metabat2_short_bin.3	97.02	0.23	Gradient Boost (General Model)	11	0.89	38919	315.24782317481584	3166797	0.46	2986	143	113905	None
SRR19064418_fairy_all_metabat2_short_bin.30	16.99	0.06	Neural Network (Specific Model)	11	0.913	3114	262.93404907975463	561396	0.43	652	189	28010	None
SRR19064418_fairy_all_metabat2_short_bin.31	6.73	0.0	Neural Network (Specific Model)	11	0.874	5426	311.87465181058496	383716	0.42	359	87	17052	None
SRR19064418_fairy_all_metabat2_short_bin.32	18.98	0.25	Neural Network (Specific Model)	11	0.905	2677	282.77591036414566	334101	0.41	357	122	16808	None
SRR19064418_fairy_all_metabat2_short_bin.33	91.58	0.64	Neural Network (Specific Model)	11	0.905	33326	314.21274556780065	2170791	0.42	2087	113	83623	None
SRR19064418_fairy_all_metabat2_short_bin.34	93.49	0.51	Gradient Boost (General Model)	11	0.878	8292	310.8949320148331	1716765	0.56	1618	286	23434	None
SRR19064418_fairy_all_metabat2_short_bin.35	98.8	1.16	Gradient Boost (General Model)	11	0.88	28237	324.02698145025295	3269116	0.53	2965	199	59757	None
SRR19064418_fairy_all_metabat2_short_bin.36	81.38	0.42	Neural Network (Specific Model)	11	0.906	9273	336.7589204025618	2434722	0.6	2186	353	32414	None
SRR19064418_fairy_all_metabat2_short_bin.37	67.73	1.25	Neural Network (Specific Model)	11	0.842	7289	250.30241327300152	1179610	0.4	1326	212	22081	None
SRR19064418_fairy_all_metabat2_short_bin.38	37.16	0.88	Neural Network (Specific Model)	11	0.927	3199	265.4925925925926	925055	0.4	1080	301	12615	None
SRR19064418_fairy_all_metabat2_short_bin.4	8.58	0.0	Neural Network (Specific Model)	11	0.819	42346	301.69054441260744	385059	0.38	349	16	118673	None
SRR19064418_fairy_all_metabat2_short_bin.5	8.38	0.0	Neural Network (Specific Model)	11	0.876	133649	310.2864583333333	203510	0.59	192	3	133649	None
SRR19064418_fairy_all_metabat2_short_bin.6	99.32	0.8	Neural Network (Specific Model)	11	0.862	46438	332.7436093094239	3030457	0.42	2621	117	133336	None
SRR19064418_fairy_all_metabat2_short_bin.7	19.61	0.03	Neural Network (Specific Model)	11	0.938	2568	246.80650406504066	483747	0.44	615	188	7710	None
SRR19064418_fairy_all_metabat2_short_bin.8	13.48	0.0	Neural Network (Specific Model)	11	0.904	2815	237.354	392486	0.6	500	147	25414	None
SRR19064418_fairy_all_metabat2_short_bin.9	85.32	0.9	Neural Network (Specific Model)	11	0.851	59742	320.4689885496183	2363725	0.38	2096	71	256314	None
