Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR3414593_strobealign_all_metabat2_short_bin.1	29.59	0.0	Neural Network (Specific Model)	11	0.889	2916	231.25966303270565	785400	0.61	1009	284	13854	None
ERR3414593_strobealign_all_metabat2_short_bin.10	99.86	0.12	Neural Network (Specific Model)	11	0.878	24497	295.56	1614382	0.39	1600	92	74136	None
ERR3414593_strobealign_all_metabat2_short_bin.100	70.1	0.66	Neural Network (Specific Model)	11	0.879	7659	276.8165627782725	2116573	0.64	2246	357	46779	None
ERR3414593_strobealign_all_metabat2_short_bin.101	57.95	0.57	Neural Network (Specific Model)	11	0.882	6861	272.305256869773	1546364	0.6	1674	277	39884	None
ERR3414593_strobealign_all_metabat2_short_bin.102	5.61	0.0	Neural Network (Specific Model)	11	0.875	126974	302.70531400966183	214188	0.54	207	2	126974	None
ERR3414593_strobealign_all_metabat2_short_bin.103	99.91	0.76	Neural Network (Specific Model)	11	0.896	114440	327.5164227642276	3366656	0.49	3075	48	266166	None
ERR3414593_strobealign_all_metabat2_short_bin.104	4.77	0.0	Neural Network (Specific Model)	11	0.842	105568	292.09852216748766	210577	0.36	203	3	105568	None
ERR3414593_strobealign_all_metabat2_short_bin.105	76.69	2.48	Gradient Boost (General Model)	11	0.868	4359	237.60940409683425	1758011	0.46	2148	457	22618	None
ERR3414593_strobealign_all_metabat2_short_bin.106	95.02	1.97	Gradient Boost (General Model)	11	0.828	15565	293.93395638629283	1706134	0.27	1605	167	55999	None
ERR3414593_strobealign_all_metabat2_short_bin.107	68.8	0.3	Gradient Boost (General Model)	11	0.896	4350	257.4687909209952	1968776	0.66	2291	540	14881	None
ERR3414593_strobealign_all_metabat2_short_bin.108	88.03	0.14	Neural Network (Specific Model)	11	0.82	13832	310.2079207920792	2744109	0.66	2424	303	46362	None
ERR3414593_strobealign_all_metabat2_short_bin.109	59.78	1.16	Gradient Boost (General Model)	11	0.884	3946	243.01873935264055	966077	0.28	1174	276	13090	None
ERR3414593_strobealign_all_metabat2_short_bin.11	48.46	2.46	Gradient Boost (General Model)	11	0.889	2490	225.72121212121212	500899	0.29	660	201	6471	None
ERR3414593_strobealign_all_metabat2_short_bin.110	80.66	0.18	Neural Network (Specific Model)	11	0.897	58632	321.80982318271117	2733573	0.46	2545	101	127550	None
ERR3414593_strobealign_all_metabat2_short_bin.111	97.87	1.56	Gradient Boost (General Model)	11	0.881	59198	298.477519379845	1308258	0.3	1290	34	152546	None
ERR3414593_strobealign_all_metabat2_short_bin.112	87.33	1.09	Gradient Boost (General Model)	11	0.888	10414	286.2756716967243	2621697	0.52	2717	325	37473	None
ERR3414593_strobealign_all_metabat2_short_bin.113	95.02	0.19	Neural Network (Specific Model)	11	0.88	29165	300.3718662952646	1468778	0.41	1436	86	104970	None
ERR3414593_strobealign_all_metabat2_short_bin.114	5.09	0.01	Neural Network (Specific Model)	11	0.925	149172	373.6277777777778	217724	0.39	180	2	149172	None
ERR3414593_strobealign_all_metabat2_short_bin.115	98.99	0.29	Gradient Boost (General Model)	11	0.894	56892	333.0712377560107	2506764	0.53	2246	76	136729	None
ERR3414593_strobealign_all_metabat2_short_bin.116	87.04	0.05	Neural Network (Specific Model)	11	0.895	88074	321.888085268367	2829908	0.47	2627	43	156933	None
ERR3414593_strobealign_all_metabat2_short_bin.117	97.08	0.0	Gradient Boost (General Model)	11	0.897	91988	332.20653173873046	2409812	0.52	2174	41	264787	None
ERR3414593_strobealign_all_metabat2_short_bin.118	19.59	0.01	Neural Network (Specific Model)	11	0.881	2453	225.33165195460276	606337	0.61	793	245	10897	None
ERR3414593_strobealign_all_metabat2_short_bin.119	53.15	0.48	Gradient Boost (General Model)	11	0.889	3624	245.0771262546223	1559267	0.49	1893	455	13777	None
ERR3414593_strobealign_all_metabat2_short_bin.12	91.73	0.19	Gradient Boost (General Model)	11	0.889	109848	344.44753886010363	1791941	0.52	1544	29	234649	None
ERR3414593_strobealign_all_metabat2_short_bin.120	7.08	0.02	Neural Network (Specific Model)	11	0.852	46673	309.1666666666667	338967	0.45	312	11	58336	None
ERR3414593_strobealign_all_metabat2_short_bin.121	86.97	1.58	Neural Network (Specific Model)	11	0.867	55257	308.9398833557649	2378716	0.62	2229	106	235253	None
ERR3414593_strobealign_all_metabat2_short_bin.122	3.37	0.06	Neural Network (Specific Model)	11	0.859	82784	245.8153846153846	222521	0.43	260	5	84424	None
ERR3414593_strobealign_all_metabat2_short_bin.123	62.02	0.26	Gradient Boost (General Model)	11	0.861	29961	313.2572390572391	1618764	0.54	1485	103	82543	None
ERR3414593_strobealign_all_metabat2_short_bin.124	28.8	0.08	Neural Network (Specific Model)	11	0.847	175727	335.91727140783746	817529	0.61	689	10	254768	None
ERR3414593_strobealign_all_metabat2_short_bin.125	55.52	0.14	Neural Network (Specific Model)	11	0.903	9530	294.85031303358	1716327	0.45	1757	245	31469	None
ERR3414593_strobealign_all_metabat2_short_bin.126	95.2	0.97	Neural Network (Specific Model)	11	0.865	35700	306.75464506908054	2228324	0.58	2099	90	101685	None
ERR3414593_strobealign_all_metabat2_short_bin.127	11.79	0.01	Neural Network (Specific Model)	11	0.873	40020	330.7420382165605	355926	0.6	314	15	46771	None
ERR3414593_strobealign_all_metabat2_short_bin.128	65.57	1.51	Gradient Boost (General Model)	11	0.876	10258	304.20115654688146	2516678	0.52	2421	337	38297	None
ERR3414593_strobealign_all_metabat2_short_bin.129	35.7	0.46	Neural Network (Specific Model)	11	0.89	3205	240.75734597156398	853344	0.54	1055	284	12698	None
ERR3414593_strobealign_all_metabat2_short_bin.13	82.17	0.37	Gradient Boost (General Model)	11	0.857	11331	307.8657357679914	2003456	0.65	1862	234	50031	None
ERR3414593_strobealign_all_metabat2_short_bin.130	6.54	0.0	Neural Network (Specific Model)	11	0.935	131885	380.85792349726773	223210	0.47	183	3	131885	None
ERR3414593_strobealign_all_metabat2_short_bin.131	47.56	0.13	Neural Network (Specific Model)	11	0.871	93384	310.2218114602588	1153844	0.55	1082	15	197450	None
ERR3414593_strobealign_all_metabat2_short_bin.132	96.92	0.01	Neural Network (Specific Model)	11	0.9	41212	312.80622962694673	2872548	0.46	2761	114	200918	None
ERR3414593_strobealign_all_metabat2_short_bin.133	8.06	0.05	Neural Network (Specific Model)	11	0.874	67359	339.52702702702703	258355	0.58	222	5	88841	None
ERR3414593_strobealign_all_metabat2_short_bin.134	60.5	0.31	Gradient Boost (General Model)	11	0.908	5086	271.1936170212766	1258557	0.58	1410	294	20097	None
ERR3414593_strobealign_all_metabat2_short_bin.135	7.6	0.0	Neural Network (Specific Model)	11	0.838	150074	265.2236842105263	215453	0.55	228	3	150074	None
ERR3414593_strobealign_all_metabat2_short_bin.136	92.56	0.04	Gradient Boost (General Model)	11	0.903	130974	344.2564102564103	2004655	0.52	1755	32	274567	None
ERR3414593_strobealign_all_metabat2_short_bin.137	99.54	0.82	Neural Network (Specific Model)	11	0.864	109057	331.84156570363467	2468050	0.54	2146	40	265383	None
ERR3414593_strobealign_all_metabat2_short_bin.138	35.86	0.04	Neural Network (Specific Model)	11	0.88	286351	339.6271186440678	1023750	0.6	885	8	485373	None
ERR3414593_strobealign_all_metabat2_short_bin.139	7.37	0.0	Neural Network (Specific Model)	11	0.89	90838	305.51063829787233	241358	0.62	235	3	95481	None
ERR3414593_strobealign_all_metabat2_short_bin.14	24.64	0.45	Neural Network (Specific Model)	11	0.852	2463	230.79009900990098	818228	0.64	1010	339	7664	None
ERR3414593_strobealign_all_metabat2_short_bin.140	64.07	0.14	Neural Network (Specific Model)	11	0.875	95104	314.61854387056627	1731347	0.62	1607	20	313865	None
ERR3414593_strobealign_all_metabat2_short_bin.141	84.77	0.2	Gradient Boost (General Model)	11	0.88	92547	339.6946075814202	2165433	0.65	1873	41	160844	None
ERR3414593_strobealign_all_metabat2_short_bin.142	95.33	0.09	Gradient Boost (General Model)	11	0.838	122762	336.10019392372334	1858113	0.51	1547	23	396524	None
ERR3414593_strobealign_all_metabat2_short_bin.143	94.69	5.45	Gradient Boost (General Model)	11	0.883	23264	293.8696524064171	1490096	0.28	1496	115	69985	None
ERR3414593_strobealign_all_metabat2_short_bin.144	13.06	0.01	Neural Network (Specific Model)	11	0.894	9367	317.47685185185185	458800	0.46	432	62	31931	None
ERR3414593_strobealign_all_metabat2_short_bin.145	7.52	0.02	Neural Network (Specific Model)	11	0.898	48730	264.1748251748252	251835	0.34	286	7	52114	None
ERR3414593_strobealign_all_metabat2_short_bin.15	33.49	0.32	Neural Network (Specific Model)	11	0.891	2918	229.6258064516129	954440	0.47	1240	342	8664	None
ERR3414593_strobealign_all_metabat2_short_bin.16	63.88	3.91	Gradient Boost (General Model)	11	0.899	6404	280.83400946585533	2762152	0.52	2958	541	34072	None
ERR3414593_strobealign_all_metabat2_short_bin.17	27.83	0.11	Neural Network (Specific Model)	11	0.852	2735	234.13664596273293	925501	0.53	1127	354	8988	None
ERR3414593_strobealign_all_metabat2_short_bin.18	14.88	0.0	Neural Network (Specific Model)	11	0.887	59531	309.87744227353465	588441	0.44	563	23	93228	None
ERR3414593_strobealign_all_metabat2_short_bin.19	86.27	3.65	Gradient Boost (General Model)	11	0.892	12511	278.3894694533762	2325507	0.62	2488	267	43454	None
ERR3414593_strobealign_all_metabat2_short_bin.2	39.56	0.12	Neural Network (Specific Model)	11	0.879	20648	310.360941586748	1212441	0.6	1147	84	180688	None
ERR3414593_strobealign_all_metabat2_short_bin.20	61.55	0.01	Neural Network (Specific Model)	11	0.884	4480	265.5207189216176	1798456	0.5	2003	447	20640	None
ERR3414593_strobealign_all_metabat2_short_bin.21	72.58	2.42	Gradient Boost (General Model)	11	0.877	22844	307.4501032346869	1526554	0.55	1453	140	113922	None
ERR3414593_strobealign_all_metabat2_short_bin.22	81.9	1.92	Gradient Boost (General Model)	11	0.873	6191	236.61805054151625	1120897	0.27	1385	239	21489	None
ERR3414593_strobealign_all_metabat2_short_bin.23	10.4	0.22	Neural Network (Specific Model)	11	0.804	354352	262.8922651933702	354352	0.56	362	1	354352	None
ERR3414593_strobealign_all_metabat2_short_bin.24	9.28	0.0	Neural Network (Specific Model)	11	0.883	26041	325.1773399014778	223958	0.66	203	10	56804	None
ERR3414593_strobealign_all_metabat2_short_bin.25	49.44	0.01	Neural Network (Specific Model)	11	0.865	64868	332.74170124481327	1111001	0.56	964	29	110199	None
ERR3414593_strobealign_all_metabat2_short_bin.26	4.89	0.0	Neural Network (Specific Model)	11	0.818	7766	301.9194915254237	261014	0.64	236	42	31049	None
ERR3414593_strobealign_all_metabat2_short_bin.27	39.77	0.1	Neural Network (Specific Model)	11	0.893	3193	246.72335844994618	768206	0.6	929	251	14012	None
ERR3414593_strobealign_all_metabat2_short_bin.28	53.45	0.0	Neural Network (Specific Model)	11	0.867	156317	326.77450980392155	1382675	0.56	1224	19	232518	None
ERR3414593_strobealign_all_metabat2_short_bin.29	82.26	0.02	Neural Network (Specific Model)	11	0.915	18414	294.117094017094	2250549	0.48	2340	166	88154	None
ERR3414593_strobealign_all_metabat2_short_bin.3	80.74	1.3	Gradient Boost (General Model)	11	0.886	27430	308.3499025341131	2140230	0.64	2052	132	69121	None
ERR3414593_strobealign_all_metabat2_short_bin.30	23.62	0.0	Neural Network (Specific Model)	11	0.879	107128	335.2815734989648	551910	0.58	483	8	234689	None
ERR3414593_strobealign_all_metabat2_short_bin.31	14.77	0.0	Neural Network (Specific Model)	11	0.887	278528	295.63919821826283	447795	0.46	449	3	278528	None
