Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
cluster_1	95.29	2.44	Gradient Boost (General Model)	11	0.88	38092	350.2840536512668	4000135	0.57	3355	174	105059	None
cluster_10	92.61	0.07	Gradient Boost (General Model)	11	0.875	17410	379.54697476436604	4278462	0.64	3289	393	72157	None
cluster_11	91.86	2.1	Gradient Boost (General Model)	11	0.919	7867	264.0964995269631	1818897	0.41	2114	340	29481	None
cluster_12	96.83	0.7	Gradient Boost (General Model)	11	0.93	58359	342.3614958448753	3184051	0.73	2888	77	178146	None
cluster_13	97.49	1.12	Gradient Boost (General Model)	11	0.917	28124	319.66392881587956	3050635	0.68	2922	182	252363	None
cluster_14	79.37	0.03	Neural Network (Specific Model)	11	0.815	17492	305.27058192544916	4184455	0.4	3729	334	103292	None
cluster_15	80.74	1.43	Gradient Boost (General Model)	11	0.854	20937	333.45113122171944	5166248	0.66	4420	452	97461	None
cluster_16	94.09	1.85	Gradient Boost (General Model)	11	0.842	42094	330.7255271084337	3124924	0.48	2656	207	207280	None
cluster_17	88.05	5.52	Neural Network (Specific Model)	11	0.816	31316	311.06535070908393	5963928	0.38	5218	281	136824	None
cluster_18	85.36	2.14	Gradient Boost (General Model)	11	0.856	7930	339.5343491045175	4444654	0.63	3741	764	39896	None
cluster_19	95.45	11.18	Gradient Boost (General Model)	11	0.869	49885	319.0299212598425	6282238	0.5	5715	407	131278	None
cluster_2	96.67	0.01	Gradient Boost (General Model)	11	0.852	10479	389.9773806199386	4912641	0.55	3581	659	42982	None
cluster_20	77.98	1.38	Neural Network (Specific Model)	11	0.799	32996	296.41926894214475	4592843	0.41	4131	223	97174	None
cluster_21	88.96	1.28	Gradient Boost (General Model)	11	0.861	7128	251.2681347150259	674693	0.47	772	132	26496	None
cluster_22	69.37	1.46	Neural Network (Specific Model)	11	0.909	4920	277.93945550589194	2252445	0.49	2461	545	77692	None
cluster_23	86.01	9.05	Neural Network (Specific Model)	11	0.81	22960	303.12475633528265	5758472	0.4	5130	338	128067	None
cluster_24	93.03	2.28	Gradient Boost (General Model)	11	0.882	34231	379.016849199663	4587630	0.6	3561	240	134305	None
cluster_25	89.85	3.21	Gradient Boost (General Model)	11	0.862	7871	327.73852396652296	4488508	0.55	3943	753	47047	None
cluster_26	76.08	0.68	Gradient Boost (General Model)	11	0.907	13500	315.9164490861619	2797815	0.73	2681	316	104467	None
cluster_27	78.35	0.94	Gradient Boost (General Model)	11	0.855	15235	346.7456004939796	3936896	0.61	3239	445	78257	None
cluster_28	79.46	4.01	Neural Network (Specific Model)	11	0.835	5837	284.02742616033754	5317149	0.39	5214	1165	34510	None
cluster_29	87.9	8.86	Neural Network (Specific Model)	11	0.823	23959	289.8265682656827	6290746	0.41	5962	581	84317	None
cluster_3	92.15	0.05	Gradient Boost (General Model)	11	0.824	17875	323.482223903177	3108553	0.47	2644	295	81689	None
cluster_30	67.96	2.87	Neural Network (Specific Model)	11	0.819	9388	289.84416946308727	5053979	0.41	4768	775	68360	None
cluster_31	83.16	3.98	Gradient Boost (General Model)	11	0.869	12793	353.4455816275587	4881650	0.59	4006	638	59550	None
cluster_32	76.74	0.3	Gradient Boost (General Model)	11	0.888	13490	294.76870489935436	2617701	0.66	2633	298	60216	None
cluster_33	55.85	1.17	Gradient Boost (General Model)	11	0.862	8157	302.77072381722604	2601073	0.71	2473	384	36151	None
cluster_34	67.65	3.2	Gradient Boost (General Model)	11	0.845	5933	289.1082251082251	3552182	0.57	3465	783	34763	None
cluster_35	77.83	3.15	Neural Network (Specific Model)	11	0.887	38965	314.06685108344857	2300039	0.66	2169	164	106539	None
cluster_36	65.3	2.27	Neural Network (Specific Model)	11	0.811	4490	252.7688748685594	4440209	0.38	4755	1138	19580	None
cluster_37	75.06	10.59	Gradient Boost (General Model)	11	0.924	18279	310.9396657154505	2470021	0.7	2453	192	84891	None
cluster_38	56.97	1.35	Gradient Boost (General Model)	11	0.916	5163	261.92478354978357	1582129	0.75	1848	340	16644	None
cluster_39	77.89	15.27	Gradient Boost (General Model)	11	0.868	20014	350.3199531204219	4127458	0.68	3413	289	108834	None
cluster_4	95.46	1.64	Gradient Boost (General Model)	11	0.835	29012	308.50513980263156	5382929	0.49	4864	369	99205	None
cluster_40	64.76	0.75	Neural Network (Specific Model)	11	0.921	4669	268.3511274735389	1895417	0.67	2173	483	41453	None
cluster_41	45.71	0.7	Gradient Boost (General Model)	11	0.904	2769	260.62264150943395	2102972	0.57	2438	747	59133	None
cluster_42	49.24	0.35	Neural Network (Specific Model)	11	0.861	2859	306.61321359846056	1662365	0.74	1559	600	9913	None
cluster_43	66.48	2.38	Gradient Boost (General Model)	11	0.875	6885	346.5949908368968	3888190	0.62	3274	764	36180	None
cluster_44	69.5	4.02	Gradient Boost (General Model)	11	0.854	8165	307.36175526221905	3022720	0.58	2803	532	41082	None
cluster_45	61.72	1.11	Gradient Boost (General Model)	11	0.849	2760	246.093059125964	3376699	0.49	3890	1265	37285	None
cluster_46	44.25	0.32	Neural Network (Specific Model)	11	0.86	40199	381.302776322682	2537362	0.7	1909	81	102384	None
cluster_47	51.23	3.64	Gradient Boost (General Model)	11	0.893	2241	264.183661971831	1572452	0.34	1775	679	14141	None
cluster_48	56.65	1.49	Gradient Boost (General Model)	11	0.88	4100	226.29184247538677	1094349	0.47	1422	312	20177	None
cluster_49	48.8	2.56	Gradient Boost (General Model)	11	0.874	2433	221.37208333333334	1819535	0.57	2400	735	9344	None
cluster_5	92.61	4.54	Gradient Boost (General Model)	11	0.865	14982	332.43794376597555	4054406	0.41	3521	519	74148	None
cluster_50	49.57	7.42	Gradient Boost (General Model)	11	0.898	2413	250.13890761968983	2475380	0.67	2966	1003	49654	None
cluster_51	49.13	1.94	Gradient Boost (General Model)	11	0.876	6536	250.36109215017063	1252231	0.64	1465	252	31462	None
cluster_52	67.57	10.49	Gradient Boost (General Model)	11	0.911	5382	263.36611601997697	2250752	0.67	2603	519	46315	None
cluster_53	59.68	4.74	Gradient Boost (General Model)	11	0.882	2842	232.09891304347826	2174176	0.57	2760	782	18401	None
cluster_54	53.89	7.74	Neural Network (Specific Model)	11	0.836	3441	259.33171981776763	3262955	0.4	3512	1042	30578	None
cluster_55	71.39	15.28	Gradient Boost (General Model)	11	0.853	3355	261.91686148451197	6293559	0.41	6844	2058	25955	None
cluster_56	69.66	9.9	Gradient Boost (General Model)	11	0.868	3829	309.0788305925346	4088336	0.69	3831	1173	24496	None
cluster_57	67.73	14.62	Gradient Boost (General Model)	11	0.879	3917	263.96258685195085	1684049	0.54	1871	487	17415	None
cluster_6	82.82	2.27	Neural Network (Specific Model)	11	0.811	13353	298.9520295202952	6289583	0.41	5691	813	111679	None
cluster_7	93.23	0.4	Gradient Boost (General Model)	11	0.885	25095	309.1124874455976	3124010	0.54	2987	236	86912	None
cluster_8	94.23	1.88	Gradient Boost (General Model)	11	0.919	34657	374.27440026289844	3714877	0.67	3043	214	129167	None
cluster_9	93.43	2.28	Neural Network (Specific Model)	11	0.824	29708	307.36788805008285	6073990	0.4	5431	337	89169	None
