Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SemiBin_0.fa	89.02	3.15	Gradient Boost (General Model)	11	0.924	46919	291.00335468130527	3086748	0.65	3279	114	187382	None
SemiBin_1.fa	96.6	1.83	Gradient Boost (General Model)	11	0.91	48121	317.768860704133	4778464	0.68	4573	179	156755	None
SemiBin_10.fa	86.94	2.7	Gradient Boost (General Model)	11	0.88	22266	255.93574488338885	1826983	0.52	2101	125	68694	None
SemiBin_100.fa	40.83	0.69	Gradient Boost (General Model)	11	0.862	5023	235.71832979476292	1155701	0.52	1413	234	18436	None
SemiBin_102.fa	42.15	0.97	Gradient Boost (General Model)	11	0.843	4926	249.40887174541948	1834577	0.59	2074	391	18088	None
SemiBin_103.fa	7.95	0.02	Neural Network (Specific Model)	11	0.88	5160	262.78864970645793	457113	0.67	511	91	17857	None
SemiBin_106.fa	8.78	0.01	Neural Network (Specific Model)	11	0.886	5309	275.2483660130719	284050	0.61	306	57	17714	None
SemiBin_107.fa	6.35	0.0	Neural Network (Specific Model)	11	0.902	4514	267.95384615384614	346448	0.68	390	78	17314	None
SemiBin_108.fa	6.87	0.29	Neural Network (Specific Model)	11	0.828	4657	227.39339339339338	273131	0.52	333	58	17223	None
SemiBin_109.fa	41.16	0.05	Gradient Boost (General Model)	11	0.926	5066	282.51002109704643	1729284	0.7	1896	355	16956	None
SemiBin_11.fa	87.35	1.88	Gradient Boost (General Model)	11	0.913	19397	278.4482439926063	2958789	0.66	3246	223	66289	None
SemiBin_110.fa	10.13	0.16	Neural Network (Specific Model)	11	0.826	4538	239.29519450800916	755150	0.55	874	173	16954	None
SemiBin_111.fa	7.76	0.04	Neural Network (Specific Model)	11	0.836	4312	217.36524822695034	218969	0.5	282	47	16880	None
SemiBin_113.fa	18.42	0.03	Neural Network (Specific Model)	11	0.91	3593	270.219696969697	586657	0.64	660	154	16608	None
