Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
cluster_1	95.38	1.9	Gradient Boost (General Model)	11	0.868	27070	290.0787037037037	1297439	0.34	1296	82	83219	None
cluster_10	55.89	14.51	Gradient Boost (General Model)	11	0.873	2711	202.00261551874456	1585225	0.38	2294	571	49532	None
cluster_2	90.8	0.48	Gradient Boost (General Model)	11	0.885	28966	248.41397445529677	1117156	0.51	1331	74	66876	None
cluster_3	74.66	0.06	Gradient Boost (General Model)	11	0.911	4199	255.26956521739132	963482	0.43	1150	276	15112	None
cluster_4	62.24	0.71	Gradient Boost (General Model)	11	0.886	3488	231.22730799069046	1005715	0.46	1289	321	10626	None
cluster_5	74.83	3.4	Gradient Boost (General Model)	11	0.829	8146	240.38802083333334	999539	0.46	1152	177	26842	None
cluster_6	72.6	0.51	Gradient Boost (General Model)	11	0.886	4054	245.33573357335734	920341	0.47	1111	265	10262	None
cluster_7	60.66	1.07	Gradient Boost (General Model)	11	0.855	2884	216.19783197831978	837001	0.35	1107	300	13264	None
cluster_8	50.51	2.22	Gradient Boost (General Model)	11	0.901	2735	223.7816229116945	622683	0.49	838	235	10805	None
cluster_9	82.83	14.28	Gradient Boost (General Model)	11	0.844	3161	237.5587668593449	3064283	0.32	3633	1013	17664	None
