Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR2546426_fairy_single_metabat2_short_bin.1	88.88	42.91	Gradient Boost (General Model)	11	0.873	12266	295.59646085785727	5269342	0.61	5199	607	46113	None
SRR2546426_fairy_single_metabat2_short_bin.10	93.71	3.48	Gradient Boost (General Model)	11	0.935	8782	289.95591904629885	3348193	0.7	3607	476	36754	None
SRR2546426_fairy_single_metabat2_short_bin.11	75.59	78.15	Gradient Boost (General Model)	11	0.911	4046	257.02619902810056	11980826	0.69	14199	3347	23345	None
SRR2546426_fairy_single_metabat2_short_bin.12	97.23	0.41	Gradient Boost (General Model)	11	0.929	10373	282.6483733158068	2765951	0.67	3043	385	46105	None
SRR2546426_fairy_single_metabat2_short_bin.13	76.46	33.53	Gradient Boost (General Model)	11	0.952	3307	262.25030450669914	4058740	0.71	4926	1316	18424	None
SRR2546426_fairy_single_metabat2_short_bin.14	71.93	37.13	Gradient Boost (General Model)	11	0.911	2674	232.03592814371257	4704434	0.69	6179	1770	18283	None
SRR2546426_fairy_single_metabat2_short_bin.15	53.47	0.1	Gradient Boost (General Model)	11	0.825	7936	256.1793583301121	2403024	0.56	2587	340	24873	None
SRR2546426_fairy_single_metabat2_short_bin.16	4.65	0.01	Neural Network (Specific Model)	11	0.895	12673	304.9265306122449	249889	0.68	245	24	32062	None
SRR2546426_fairy_single_metabat2_short_bin.17	85.8	3.87	Neural Network (Specific Model)	11	0.863	18847	284.74872912127813	2721027	0.62	2754	233	67240	None
SRR2546426_fairy_single_metabat2_short_bin.18	46.02	1.93	Gradient Boost (General Model)	11	0.836	5132	254.56504246759053	2038701	0.59	2237	431	17239	None
SRR2546426_fairy_single_metabat2_short_bin.19	73.08	2.68	Gradient Boost (General Model)	11	0.875	5830	286.3090909090909	5921249	0.65	6050	1241	26716	None
SRR2546426_fairy_single_metabat2_short_bin.2	9.71	0.04	Neural Network (Specific Model)	11	0.933	34414	309.7148080438757	543228	0.69	547	23	77492	None
SRR2546426_fairy_single_metabat2_short_bin.20	6.03	0.21	Neural Network (Specific Model)	11	0.894	17512	271.8818565400844	215182	0.59	237	28	29849	None
SRR2546426_fairy_single_metabat2_short_bin.21	80.82	6.37	Gradient Boost (General Model)	11	0.925	7448	281.17979197622583	4282787	0.71	4711	779	36545	None
SRR2546426_fairy_single_metabat2_short_bin.22	16.79	2.83	Neural Network (Specific Model)	11	0.895	4696	263.47073474470733	707235	0.65	803	176	24968	None
SRR2546426_fairy_single_metabat2_short_bin.23	95.56	70.82	Gradient Boost (General Model)	11	0.91	5226	255.33664317745036	7866308	0.64	9366	1826	37568	None
SRR2546426_fairy_single_metabat2_short_bin.24	62.55	3.16	Gradient Boost (General Model)	11	0.852	28327	244.84697699304442	1604063	0.53	1869	102	112997	None
SRR2546426_fairy_single_metabat2_short_bin.25	96.99	4.23	Gradient Boost (General Model)	11	0.883	20290	308.45878667985494	6336454	0.56	6066	469	141134	None
SRR2546426_fairy_single_metabat2_short_bin.26	77.06	7.23	Gradient Boost (General Model)	11	0.899	6114	264.5971305595409	3067921	0.65	3485	609	26461	None
SRR2546426_fairy_single_metabat2_short_bin.27	42.47	0.3	Gradient Boost (General Model)	11	0.891	5013	269.6876916338152	2065107	0.57	2283	437	18937	None
SRR2546426_fairy_single_metabat2_short_bin.28	66.36	0.2	Gradient Boost (General Model)	11	0.876	16990	252.87491166077737	1221623	0.58	1415	118	68539	None
SRR2546426_fairy_single_metabat2_short_bin.29	87.56	0.85	Gradient Boost (General Model)	11	0.856	9397	309.3141270392225	3119050	0.62	2881	416	34641	None
SRR2546426_fairy_single_metabat2_short_bin.3	69.2	0.0	Neural Network (Specific Model)	11	0.867	15693	225.49670811997075	1063344	0.49	1367	90	55368	None
SRR2546426_fairy_single_metabat2_short_bin.30	97.01	87.77	Gradient Boost (General Model)	11	0.86	9603	239.73727117764767	11244186	0.52	13493	1385	160838	None
SRR2546426_fairy_single_metabat2_short_bin.31	72.72	8.0	Gradient Boost (General Model)	11	0.915	3934	265.31367706082125	2808801	0.72	3239	815	18016	None
SRR2546426_fairy_single_metabat2_short_bin.32	11.45	0.0	Neural Network (Specific Model)	11	0.941	29671	309.62105263157895	374176	0.69	380	15	85734	None
SRR2546426_fairy_single_metabat2_short_bin.33	14.57	2.43	Neural Network (Specific Model)	11	0.888	5472	268.244055068836	722600	0.63	799	159	17257	None
SRR2546426_fairy_single_metabat2_short_bin.34	4.3	0.0	Neural Network (Specific Model)	11	0.857	6841	279.79227053140096	202424	0.57	207	33	29149	None
SRR2546426_fairy_single_metabat2_short_bin.35	67.61	6.84	Gradient Boost (General Model)	11	0.939	4306	271.3848882582476	2437425	0.7	2819	651	28800	None
SRR2546426_fairy_single_metabat2_short_bin.36	9.48	0.03	Neural Network (Specific Model)	11	0.834	11970	244.2819956616052	404375	0.56	461	43	29238	None
SRR2546426_fairy_single_metabat2_short_bin.37	8.91	0.01	Neural Network (Specific Model)	11	0.792	12741	203.92857142857142	291086	0.45	378	28	26800	None
SRR2546426_fairy_single_metabat2_short_bin.38	48.85	3.27	Gradient Boost (General Model)	11	0.895	5571	272.21906596051997	1889432	0.66	2077	398	47877	None
SRR2546426_fairy_single_metabat2_short_bin.39	19.77	0.29	Neural Network (Specific Model)	11	0.887	2874	243.59982253771074	924650	0.69	1127	353	9108	None
SRR2546426_fairy_single_metabat2_short_bin.4	97.47	0.16	Neural Network (Specific Model)	11	0.872	40005	249.34101876675604	1595314	0.39	1865	57	83164	None
SRR2546426_fairy_single_metabat2_short_bin.40	93.04	58.78	Gradient Boost (General Model)	11	0.899	7161	255.13451901346173	8627201	0.65	10177	1501	107865	None
SRR2546426_fairy_single_metabat2_short_bin.41	44.67	0.12	Gradient Boost (General Model)	11	0.855	5413	277.4359493670886	1918249	0.55	1975	385	19589	None
SRR2546426_fairy_single_metabat2_short_bin.42	72.43	11.47	Gradient Boost (General Model)	11	0.881	6784	250.69177834118074	2350780	0.63	2761	455	26576	None
SRR2546426_fairy_single_metabat2_short_bin.43	93.57	69.84	Gradient Boost (General Model)	11	0.872	14529	244.29141962188163	7485291	0.52	8939	733	69053	None
SRR2546426_fairy_single_metabat2_short_bin.44	35.67	1.46	Neural Network (Specific Model)	11	0.93	6534	279.06986301369864	655973	0.64	730	123	22415	None
SRR2546426_fairy_single_metabat2_short_bin.45	79.64	14.46	Gradient Boost (General Model)	11	0.913	14214	285.47657276310025	6410161	0.68	6851	746	81321	None
SRR2546426_fairy_single_metabat2_short_bin.46	96.65	82.45	Gradient Boost (General Model)	11	0.929	8306	291.49745194456864	10476487	0.66	11185	1697	46957	None
SRR2546426_fairy_single_metabat2_short_bin.47	56.59	0.49	Gradient Boost (General Model)	11	0.867	13053	253.8297142857143	766076	0.51	875	78	52569	None
SRR2546426_fairy_single_metabat2_short_bin.48	88.06	0.13	Neural Network (Specific Model)	11	0.88	19012	238.96730881494454	1391077	0.38	1713	124	40620	None
SRR2546426_fairy_single_metabat2_short_bin.49	8.27	1.09	Neural Network (Specific Model)	11	0.89	12303	276.810393258427	661179	0.59	712	78	25355	None
