Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
maxbin_310879.001	82.49	19.33	Gradient Boost (General Model)	11	0.867	4634	258.06439809732893	2433060	0.43	2733	629	32254	None
maxbin_310879.002	86.69	20.83	Gradient Boost (General Model)	11	0.833	6162	233.0998845265589	1450040	0.46	1732	314	32211	None
maxbin_310879.003	73.32	11.03	Gradient Boost (General Model)	11	0.877	5662	259.08501683501686	1050233	0.5	1188	233	24876	None
maxbin_310879.004	76.97	16.34	Gradient Boost (General Model)	11	0.887	3676	236.08169934640523	975633	0.48	1224	290	16830	None
maxbin_310879.005	75.38	15.69	Gradient Boost (General Model)	11	0.876	3961	232.4436052366566	1576586	0.46	1986	455	21189	None
maxbin_310879.006	75.2	5.76	Gradient Boost (General Model)	11	0.875	4244	214.20162805259864	1168928	0.51	1597	320	33761	None
maxbin_310879.007	62.67	13.22	Gradient Boost (General Model)	11	0.811	2664	216.69898605830164	1262842	0.31	1578	466	17837	None
maxbin_310879.008	63.12	27.42	Gradient Boost (General Model)	11	0.858	3013	247.2337772740153	3044659	0.35	3529	1052	40763	None
maxbin_310879.009	44.07	1.24	Gradient Boost (General Model)	11	0.883	3186	244.69326683291771	997826	0.42	1203	344	10359	None
maxbin_310879.010	29.38	3.69	Neural Network (Specific Model)	11	0.873	3178	224.97593772116065	1089318	0.5	1413	376	12307	None
maxbin_310879.011	56.82	4.01	Gradient Boost (General Model)	11	0.885	2532	233.0273037542662	461197	0.35	586	180	15508	None
maxbin_310879.012	95.6	11.62	Gradient Boost (General Model)	11	0.868	123494	277.3373141054529	4244431	0.38	4438	507	281433	None
maxbin_310879.013	63.24	6.03	Gradient Boost (General Model)	11	0.853	3225	226.19963116643615	1722433	0.32	2169	575	18022	None
maxbin_310879.014	98.22	29.58	Gradient Boost (General Model)	11	0.875	3287	226.42226630300024	3118188	0.55	4033	978	43393	None
maxbin_310879.015	76.02	17.76	Gradient Boost (General Model)	11	0.879	3198	233.6093457943925	1275696	0.4	1605	431	19431	None
maxbin_310879.016	32.92	1.14	Neural Network (Specific Model)	11	0.849	3381	204.52475247524754	2180619	0.46	3030	667	49721	None
maxbin_310879.017	16.85	0.08	Neural Network (Specific Model)	11	0.904	2175	233.679012345679	814225	0.64	1053	365	14792	None
