Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
maxbin_19064412.001	3.2	0.0	Neural Network (Specific Model)	11	0.899	12153	302.79824561403507	114890	0.48	114	15	28484	None
maxbin_19064412.002	6.51	0.02	Neural Network (Specific Model)	11	0.869	14962	256.73394495412845	288927	0.45	327	38	45290	None
maxbin_19064412.003	36.44	0.4	Neural Network (Specific Model)	11	0.867	14183	327.59322033898303	1067955	0.42	944	129	45198	None
maxbin_19064412.004	48.49	0.08	Neural Network (Specific Model)	11	0.858	14622	307.5038667459845	1803503	0.43	1681	211	48674	None
maxbin_19064412.005	12.11	0.03	Neural Network (Specific Model)	11	0.842	6453	279.41885625965995	642308	0.4	647	137	26309	None
maxbin_19064412.006	42.53	0.21	Neural Network (Specific Model)	11	0.909	26869	338.6429512516469	1692438	0.49	1518	121	98100	None
maxbin_19064412.007	61.37	4.21	Neural Network (Specific Model)	11	0.915	33734	369.1295116772824	2844092	0.47	2355	184	153540	None
maxbin_19064412.008	22.17	1.87	Neural Network (Specific Model)	11	0.896	8521	304.8175787728027	1227216	0.4	1206	211	41443	None
maxbin_19064412.009	97.51	0.45	Gradient Boost (General Model)	11	0.892	45564	317.6420426375806	2151726	0.52	2017	86	128844	None
maxbin_19064412.010	87.47	3.82	Neural Network (Specific Model)	11	0.902	16612	350.7561408700799	3936433	0.42	3379	446	67962	None
maxbin_19064412.011	60.66	10.17	Neural Network (Specific Model)	11	0.908	3721	290.38512518409425	2599516	0.45	2716	722	90244	None
maxbin_19064412.012	93.79	5.24	Gradient Boost (General Model)	11	0.896	9504	321.08774139378676	2553842	0.56	2382	389	51755	None
maxbin_19064412.013	83.03	2.55	Neural Network (Specific Model)	11	0.904	6961	322.71390798519303	2020342	0.43	1891	385	25036	None
maxbin_19064412.014	95.69	0.16	Neural Network (Specific Model)	11	0.851	15598	320.59932517924926	2675439	0.56	2371	261	105344	None
maxbin_19064412.015	99.09	50.97	Neural Network (Specific Model)	11	0.925	9380	351.926329394387	6169971	0.47	5416	1039	46061	None
maxbin_19064412.016	39.44	1.3	Neural Network (Specific Model)	11	0.921	3993	320.93830921553695	1369022	0.61	1313	381	22074	None
maxbin_19064412.017	97.86	13.37	Gradient Boost (General Model)	11	0.886	39595	302.3213788300836	2935877	0.6	2872	260	163726	None
maxbin_19064412.018	39.02	4.85	Gradient Boost (General Model)	11	0.906	2837	260.892469352014	2457849	0.37	2855	872	21191	None
maxbin_19064412.019	50.69	15.04	Gradient Boost (General Model)	11	0.893	5618	251.94991572357333	3500676	0.55	4153	817	74047	None
maxbin_19064412.020	57.32	5.43	Neural Network (Specific Model)	11	0.92	10875	326.93	2979087	0.5	2800	486	60717	None
maxbin_19064412.021	61.95	19.86	Neural Network (Specific Model)	11	0.932	4563	340.08450357230845	4434118	0.44	4059	1176	80107	None
maxbin_19064412.022	25.85	6.8	Neural Network (Specific Model)	11	0.912	13853	265.60286103542234	1278407	0.5	1468	191	66212	None
maxbin_19064412.023	56.57	13.28	Gradient Boost (General Model)	11	0.904	5353	280.0977617700026	3599734	0.44	3887	846	33987	None
