Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR6869039_fairy_all_metabat2_short_bin.1	5.09	4.56	Neural Network (Specific Model)	4	0.811	2445	199.7976262473541	9688701	0.45	13228	3947	15172	None
SRR6869039_fairy_all_metabat2_short_bin.10	97.53	1.24	Gradient Boost (General Model)	11	0.785	53559	306.2445432497979	5780645	0.51	4948	326	231283	None
SRR6869039_fairy_all_metabat2_short_bin.11	74.62	0.77	Neural Network (Specific Model)	11	0.912	8429	264.5627802690583	3096023	0.71	3568	513	28664	None
SRR6869039_fairy_all_metabat2_short_bin.12	7.34	0.1	Neural Network (Specific Model)	11	0.831	4324	269.59375	466118	0.31	480	117	32045	None
SRR6869039_fairy_all_metabat2_short_bin.13	23.38	0.4	Neural Network (Specific Model)	11	0.91	2320	221.725782414307	977984	0.6	1342	416	8891	None
SRR6869039_fairy_all_metabat2_short_bin.14	81.51	2.93	Neural Network (Specific Model)	11	0.918	18863	299.37087599544935	3432039	0.65	3516	258	83703	None
SRR6869039_fairy_all_metabat2_short_bin.15	96.14	0.12	Neural Network (Specific Model)	11	0.896	139925	336.69316770186333	904474	0.5	805	14	184383	None
SRR6869039_fairy_all_metabat2_short_bin.16	63.28	23.02	Gradient Boost (General Model)	11	0.229	12465	70.43031702235486	16281111	0.23	17759	2187	123699	None
SRR6869039_fairy_all_metabat2_short_bin.17	6.88	0.01	Neural Network (Specific Model)	11	0.149	2760	85.95364238410596	520751	0.21	302	195	9795	None
SRR6869039_fairy_all_metabat2_short_bin.18	32.66	4.21	Neural Network (Specific Model)	11	0.932	2266	238.67538975501114	1376891	0.69	1796	596	9068	None
SRR6869039_fairy_all_metabat2_short_bin.19	42.78	0.1	Neural Network (Specific Model)	11	0.881	2672	239.96308186195827	1524958	0.44	1869	584	9600	None
SRR6869039_fairy_all_metabat2_short_bin.2	83.14	3.78	Neural Network (Specific Model)	11	0.842	12591	292.71233382570165	2821425	0.31	2708	375	56173	None
SRR6869039_fairy_all_metabat2_short_bin.20	14.41	0.96	Neural Network (Specific Model)	11	0.905	24712	229.09366754617415	573694	0.52	758	48	44111	None
SRR6869039_fairy_all_metabat2_short_bin.21	92.32	39.79	Neural Network (Specific Model)	11	0.934	10236	277.63551643800156	3437808	0.65	3863	517	67188	None
