Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
maxbin_3414592.001	3.62	0.0	Neural Network (Specific Model)	11	0.85	4244	256.7477477477477	100265	0.47	111	28	11790	None
maxbin_3414592.002	7.79	0.06	Neural Network (Specific Model)	11	0.868	8319	292.7142857142857	381199	0.57	378	66	23020	None
maxbin_3414592.003	84.79	2.67	Neural Network (Specific Model)	11	0.872	15742	326.4903961584634	1868823	0.65	1666	221	44492	None
maxbin_3414592.004	4.71	0.04	Neural Network (Specific Model)	11	0.834	24928	276.1246684350133	372770	0.37	377	35	101605	None
maxbin_3414592.005	46.92	0.06	Neural Network (Specific Model)	11	0.906	92794	331.546439628483	1416323	0.53	1292	57	253719	None
maxbin_3414592.006	7.59	0.14	Neural Network (Specific Model)	11	0.883	6983	248.77961432506888	305628	0.48	363	66	41815	None
maxbin_3414592.007	39.07	0.65	Neural Network (Specific Model)	11	0.913	156172	334.15733113673804	1330845	0.53	1214	37	309919	None
maxbin_3414592.008	8.38	0.07	Neural Network (Specific Model)	11	0.859	6191	251.72884615384615	455790	0.42	520	104	35174	None
maxbin_3414592.009	7.01	0.14	Neural Network (Specific Model)	11	0.88	4014	246.4232558139535	360073	0.51	430	98	25008	None
maxbin_3414592.010	10.78	0.86	Neural Network (Specific Model)	11	0.862	11534	255.79926108374383	721415	0.41	812	104	98542	None
maxbin_3414592.011	85.92	1.82	Neural Network (Specific Model)	11	0.854	27061	310.66980325064156	2546776	0.65	2338	158	96328	None
maxbin_3414592.012	55.41	0.69	Gradient Boost (General Model)	11	0.9	38827	308.26401564537156	1572775	0.45	1534	93	121446	None
maxbin_3414592.013	65.59	1.59	Neural Network (Specific Model)	11	0.878	20248	297.19651240778	1511104	0.57	1491	121	58116	None
maxbin_3414592.014	47.54	0.24	Neural Network (Specific Model)	11	0.92	24819	314.52220630372494	1428701	0.48	1396	100	65301	None
maxbin_3414592.015	38.48	1.38	Neural Network (Specific Model)	11	0.872	13036	266.35101789019126	1479993	0.53	1621	204	54242	None
maxbin_3414592.016	85.18	1.17	Neural Network (Specific Model)	11	0.868	63621	318.78833904948556	2244828	0.64	2041	65	128262	None
maxbin_3414592.017	14.45	0.53	Neural Network (Specific Model)	11	0.867	6429	245.23124231242312	687820	0.43	813	141	71792	None
maxbin_3414592.018	53.97	2.49	Neural Network (Specific Model)	11	0.894	4264	261.5730994152047	1498507	0.67	1710	402	17789	None
maxbin_3414592.019	7.28	0.02	Neural Network (Specific Model)	11	0.872	4331	274.49829351535834	275936	0.62	293	66	15557	None
maxbin_3414592.020	94.79	1.58	Gradient Boost (General Model)	11	0.879	20575	308.92427385892114	2030352	0.62	1928	188	68717	None
maxbin_3414592.021	24.26	2.87	Neural Network (Specific Model)	11	0.878	4336	235.56752232142858	1437737	0.53	1792	378	62502	None
maxbin_3414592.022	16.29	0.07	Neural Network (Specific Model)	11	0.87	5939	277.19337979094075	547504	0.59	574	120	22299	None
maxbin_3414592.023	68.9	1.36	Gradient Boost (General Model)	11	0.832	97508	295.30549285176824	1413328	0.57	1329	27	212179	None
maxbin_3414592.024	5.15	0.03	Neural Network (Specific Model)	11	0.852	5525	292.952	128739	0.61	125	28	11646	None
maxbin_3414592.025	25.81	3.68	Neural Network (Specific Model)	11	0.87	9367	265.81217520415737	1229534	0.45	1347	216	63306	None
maxbin_3414592.026	39.57	0.1	Neural Network (Specific Model)	11	0.87	79418	322.41529105125977	1277266	0.56	1151	51	240628	None
maxbin_3414592.027	23.99	3.44	Neural Network (Specific Model)	11	0.85	8818	236.14167294649585	1102397	0.38	1327	199	182339	None
maxbin_3414592.028	82.16	0.01	Neural Network (Specific Model)	11	0.845	184559	331.0750141003948	2077366	0.61	1773	33	355742	None
maxbin_3414592.029	55.32	1.16	Neural Network (Specific Model)	11	0.835	11341	284.6856788592684	1648248	0.63	1613	223	66030	None
maxbin_3414592.030	16.32	0.01	Neural Network (Specific Model)	11	0.848	100648	282.5282258064516	741053	0.55	744	23	150075	None
maxbin_3414592.031	7.44	0.01	Neural Network (Specific Model)	11	0.81	3940	212.8380062305296	252405	0.32	321	76	18604	None
maxbin_3414592.032	89.87	0.75	Gradient Boost (General Model)	11	0.905	11004	282.9693028095734	1797308	0.47	1922	247	42588	None
maxbin_3414592.033	90.21	1.32	Gradient Boost (General Model)	11	0.878	17050	292.77485533929513	1898127	0.62	1901	169	48147	None
maxbin_3414592.034	34.06	5.07	Neural Network (Specific Model)	11	0.887	6527	246.90014756517462	1691647	0.52	2033	357	78216	None
maxbin_3414592.035	99.99	0.1	Neural Network (Specific Model)	11	0.882	84722	311.1376556260277	4498521	0.51	4257	95	352516	None
maxbin_3414592.036	77.09	6.9	Neural Network (Specific Model)	11	0.885	6411	255.23812185578535	1543799	0.37	1789	325	28420	None
maxbin_3414592.037	67.55	5.23	Neural Network (Specific Model)	11	0.91	6142	270.14725457570717	2134644	0.56	2404	442	27299	None
maxbin_3414592.038	89.91	11.48	Gradient Boost (General Model)	11	0.871	126908	308.60983263598325	2028095	0.57	1912	149	245979	None
maxbin_3414592.039	33.81	5.08	Neural Network (Specific Model)	11	0.873	13553	267.3628048780488	1802413	0.46	1968	269	67915	None
maxbin_3414592.040	84.8	11.1	Gradient Boost (General Model)	11	0.879	25028	280.10131032278684	2985566	0.6	3129	384	122711	None
maxbin_3414592.041	94.59	28.31	Gradient Boost (General Model)	11	0.848	147279	314.91269841269843	3080729	0.51	2772	190	403713	None
maxbin_3414592.042	41.78	11.14	Neural Network (Specific Model)	11	0.879	9403	246.38412086145934	2606450	0.47	3111	449	73112	None
maxbin_3414592.043	91.25	26.85	Gradient Boost (General Model)	11	0.867	19317	294.0634654130289	3024358	0.63	2978	295	113852	None
maxbin_3414592.044	91.05	4.23	Gradient Boost (General Model)	11	0.891	23667	314.5683143997544	3443580	0.52	3257	296	124202	None
maxbin_3414592.045	94.11	0.4	Neural Network (Specific Model)	11	0.869	43469	297.66391833529644	2613880	0.45	2547	142	121571	None
maxbin_3414592.046	46.56	11.92	Gradient Boost (General Model)	11	0.886	16950	273.8793893129771	3028408	0.57	3275	391	354350	None
maxbin_3414592.047	97.13	12.23	Gradient Boost (General Model)	11	0.879	18091	298.31653926337736	2925225	0.55	2878	315	74153	None
maxbin_3414592.048	92.44	7.56	Gradient Boost (General Model)	11	0.881	47543	290.6895958727429	2298211	0.28	2326	155	180606	None
maxbin_3414592.049	96.83	2.83	Gradient Boost (General Model)	11	0.835	30763	307.4917825537295	2618910	0.6	2373	127	96973	None
maxbin_3414592.050	82.33	1.95	Neural Network (Specific Model)	11	0.833	9031	298.8556782334385	2722525	0.66	2536	449	48657	None
maxbin_3414592.051	92.98	7.8	Gradient Boost (General Model)	11	0.863	51840	319.6329787234043	2918966	0.63	2632	132	217556	None
maxbin_3414592.052	97.96	5.76	Gradient Boost (General Model)	11	0.894	37106	309.4483541430193	2740392	0.66	2643	148	147440	None
maxbin_3414592.053	83.85	10.56	Neural Network (Specific Model)	11	0.88	16835	302.13108495068406	3232112	0.53	3143	410	94943	None
maxbin_3414592.054	29.91	16.01	Gradient Boost (General Model)	11	0.861	5893	246.98626829636336	5680550	0.41	6627	1276	122667	Low confidence prediction - substantial (26%) disagreement between completeness prediction models
maxbin_3414592.055	74.4	11.55	Neural Network (Specific Model)	11	0.906	11757	289.3762023512647	2683180	0.51	2807	366	60476	None
maxbin_3414592.056	88.63	37.17	Gradient Boost (General Model)	11	0.866	21415	302.8715536814791	3229065	0.55	3083	372	231706	None
maxbin_3414592.057	92.5	20.99	Gradient Boost (General Model)	11	0.876	41679	300.628391959799	4087342	0.58	3980	333	304609	None
maxbin_3414592.058	44.35	10.71	Gradient Boost (General Model)	11	0.866	19060	266.037410540013	2825816	0.52	3074	361	190455	None
maxbin_3414592.059	94.73	3.6	Gradient Boost (General Model)	11	0.852	39358	332.00831168831166	2247685	0.57	1925	116	110928	None
maxbin_3414592.060	58.15	5.5	Neural Network (Specific Model)	11	0.877	11985	274.8258785942492	1761655	0.65	1878	224	44700	None
maxbin_3414592.061	6.51	0.0	Neural Network (Specific Model)	11	0.885	12418	290.6106194690266	111190	0.67	113	11	22863	None
maxbin_3414592.062	98.89	9.94	Gradient Boost (General Model)	11	0.881	42322	280.972429638139	1662099	0.31	1741	112	136344	None
maxbin_3414592.063	63.07	7.53	Gradient Boost (General Model)	11	0.862	4275	256.30483689538806	2372421	0.57	2667	618	60423	None
maxbin_3414592.064	93.12	9.96	Gradient Boost (General Model)	11	0.895	72399	300.3383557156895	3067857	0.61	3053	152	294212	None
maxbin_3414592.065	51.7	24.0	Gradient Boost (General Model)	11	0.886	39529	307.1679259078723	4259711	0.48	4103	400	151320	None
maxbin_3414592.066	52.62	3.82	Gradient Boost (General Model)	11	0.87	5922	252.73003374578178	1545263	0.53	1778	335	31023	None
maxbin_3414592.067	98.84	6.43	Gradient Boost (General Model)	11	0.864	81315	316.92056690837177	3329842	0.51	3034	177	175301	None
maxbin_3414592.068	98.44	42.44	Gradient Boost (General Model)	11	0.893	12440	298.4004483391074	4906579	0.55	4907	731	100988	None
maxbin_3414592.069	47.3	11.25	Gradient Boost (General Model)	11	0.884	11766	269.80595238095236	3068331	0.47	3360	501	132710	None
maxbin_3414592.070	81.88	16.81	Neural Network (Specific Model)	11	0.901	38001	287.1874822996318	3368570	0.47	3531	350	230592	None
maxbin_3414592.071	99.8	10.97	Neural Network (Specific Model)	11	0.895	42616	311.7822085889571	1701617	0.4	1630	114	123833	None
