Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
11163	34.31	0.03	Neural Network (Specific Model)	11	0.905	8298	329.97001499250376	727623	0.57	667	99	28990	None
11187	75.97	5.59	Neural Network (Specific Model)	11	0.852	28598	321.7395529640428	2327995	0.39	2058	112	253978	None
11312	49.97	1.19	Neural Network (Specific Model)	11	0.906	73809	347.0450450450451	1782923	0.44	1554	34	181886	None
11316	26.47	0.09	Neural Network (Specific Model)	11	0.921	30642	414.1235356762513	1265057	0.43	939	48	54225	None
11350	11.52	0.0	Neural Network (Specific Model)	11	0.919	3124	272.8424242424242	293022	0.66	330	112	7268	None
11427	10.89	0.0	Neural Network (Specific Model)	11	0.847	15796	310.3057851239669	265417	0.49	242	18	25760	None
11634	27.48	0.1	Neural Network (Specific Model)	11	0.921	25321	422.28334956183056	1410573	0.41	1027	63	77274	None
11815	84.84	23.33	Neural Network (Specific Model)	11	0.914	77875	384.41841589700533	4501505	0.47	3573	78	212284	None
11974	7.55	0.11	Neural Network (Specific Model)	11	0.879	10826	341.6723163841808	206122	0.53	177	23	20470	None
12768	18.51	0.02	Neural Network (Specific Model)	11	0.889	20943	305.9308176100629	327888	0.48	318	22	56668	None
12931	11.48	0.0	Neural Network (Specific Model)	11	0.909	33508	354.6324200913242	511811	0.45	438	17	62238	None
16808	7.58	0.01	Neural Network (Specific Model)	11	0.899	30752	363.30845771144277	243425	0.5	201	10	62569	None
17146	7.13	0.0	Neural Network (Specific Model)	11	0.909	111269	386.109756097561	208849	0.46	164	5	111269	None
29055	7.83	0.0	Neural Network (Specific Model)	11	0.888	210669	277.8992248062016	241370	0.48	258	2	210669	None
4207	86.62	0.34	Neural Network (Specific Model)	11	0.887	25246	361.83549959382617	3008704	0.41	2462	181	73261	None
4950	99.36	0.01	Neural Network (Specific Model)	11	0.878	84157	354.6108319374651	2167142	0.6	1791	44	230766	None
5048	99.95	0.67	Neural Network (Specific Model)	11	0.875	199059	348.8613188307274	1757961	0.63	1471	12	524007	None
575	97.62	0.38	Gradient Boost (General Model)	11	0.89	56281	319.9358841778697	2083408	0.52	1934	63	120281	None
6402	86.53	0.16	Neural Network (Specific Model)	11	0.867	74476	330.95239714382865	3361485	0.42	2941	60	389201	None
7818	80.61	1.26	Neural Network (Specific Model)	11	0.906	5476	270.2992662473795	3405968	0.52	3816	845	31675	None
8346	86.82	0.16	Gradient Boost (General Model)	11	0.926	4700	309.95780308104486	1496976	0.39	1493	451	20243	None
855	100.0	0.04	Neural Network (Specific Model)	11	0.879	78405	354.52838605028387	2980029	0.57	2466	51	175897	None
