Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR9769299_fairy_all_metabat2_long_bin.1	6.13	0.0	Neural Network (Specific Model)	11	0.909	133284	235.9320754716981	205591	0.45	265	2	133284	None
ERR9769299_fairy_all_metabat2_long_bin.10	45.67	1.5	Neural Network (Specific Model)	11	0.917	211765	313.483164983165	1214712	0.38	1188	13	234819	None
ERR9769299_fairy_all_metabat2_long_bin.100	12.11	0.19	Neural Network (Specific Model)	11	0.91	9398	209.73408239700373	367234	0.3	534	47	16804	None
ERR9769299_fairy_all_metabat2_long_bin.101	8.88	0.09	Neural Network (Specific Model)	11	0.913	27474	260.50171821305844	248209	0.31	291	14	58301	None
ERR9769299_fairy_all_metabat2_long_bin.102	39.21	4.41	Neural Network (Specific Model)	11	0.923	17330	290.90008257638317	1140260	0.42	1211	113	61410	None
ERR9769299_fairy_all_metabat2_long_bin.103	67.11	0.03	Neural Network (Specific Model)	11	0.922	153840	321.9017341040462	1447705	0.39	1384	16	380649	None
ERR9769299_fairy_all_metabat2_long_bin.104	8.82	0.0	Neural Network (Specific Model)	11	0.888	19441	261.7735294117647	299128	0.58	340	23	45024	None
ERR9769299_fairy_all_metabat2_long_bin.105	10.41	0.26	Neural Network (Specific Model)	11	0.883	12925	285.76190476190476	244016	0.32	252	17	58705	None
ERR9769299_fairy_all_metabat2_long_bin.106	75.68	19.72	Gradient Boost (General Model)	11	0.916	75368	328.92329545454544	2271906	0.37	2112	42	195414	None
ERR9769299_fairy_all_metabat2_long_bin.107	15.13	0.0	Neural Network (Specific Model)	11	0.887	32516	272.1968503937008	349609	0.54	381	13	68403	None
ERR9769299_fairy_all_metabat2_long_bin.108	6.39	0.45	Neural Network (Specific Model)	11	0.893	17832	253.85100286532952	296082	0.54	349	19	36211	None
ERR9769299_fairy_all_metabat2_long_bin.109	12.32	0.01	Neural Network (Specific Model)	11	0.931	171574	339.4103448275862	316383	0.36	290	7	171574	None
ERR9769299_fairy_all_metabat2_long_bin.11	12.23	0.01	Neural Network (Specific Model)	11	0.962	28982	272.46122448979594	207490	0.29	245	8	65658	None
ERR9769299_fairy_all_metabat2_long_bin.110	5.94	0.05	Neural Network (Specific Model)	4	0.727	34482	217.78559738134206	543311	0.45	611	24	53768	None
ERR9769299_fairy_all_metabat2_long_bin.111	9.75	0.01	Neural Network (Specific Model)	11	0.882	115637	269.6044444444444	205980	0.52	225	11	115637	None
ERR9769299_fairy_all_metabat2_long_bin.112	5.21	0.0	Neural Network (Specific Model)	11	0.89	35874	274.6521739130435	212117	0.55	230	14	73188	None
ERR9769299_fairy_all_metabat2_long_bin.113	11.01	0.3	Neural Network (Specific Model)	11	0.924	124085	281.8108747044917	386419	0.26	423	6	160607	None
ERR9769299_fairy_all_metabat2_long_bin.114	45.68	10.51	Gradient Boost (General Model)	4	0.859	7673	277.10878661087867	2288672	0.57	2390	378	45241	None
ERR9769299_fairy_all_metabat2_long_bin.115	11.51	0.14	Neural Network (Specific Model)	11	0.889	17945	249.18947368421053	317834	0.48	380	25	49736	None
ERR9769299_fairy_all_metabat2_long_bin.116	27.96	0.18	Neural Network (Specific Model)	11	0.881	8778	266.46200873362443	1034354	0.49	1145	152	28752	None
ERR9769299_fairy_all_metabat2_long_bin.118	94.59	1.31	Gradient Boost (General Model)	11	0.941	102833	341.37300884955755	2452295	0.36	2260	36	790628	None
ERR9769299_fairy_all_metabat2_long_bin.119	15.44	0.24	Neural Network (Specific Model)	11	0.936	26444	305.57116104868913	520077	0.51	534	37	65425	None
ERR9769299_fairy_all_metabat2_long_bin.12	6.62	0.0	Neural Network (Specific Model)	11	0.888	25013	299.3675889328063	254857	0.53	253	13	39645	None
ERR9769299_fairy_all_metabat2_long_bin.120	39.88	0.07	Neural Network (Specific Model)	11	0.89	197651	320.92696122633004	1197598	0.5	1109	13	229565	None
ERR9769299_fairy_all_metabat2_long_bin.121	83.63	6.51	Gradient Boost (General Model)	11	0.949	45205	283.3277092796885	1373768	0.37	1541	53	204220	None
ERR9769299_fairy_all_metabat2_long_bin.122	15.69	0.0	Neural Network (Specific Model)	11	0.882	40689	290.8095238095238	476024	0.38	483	20	90115	None
ERR9769299_fairy_all_metabat2_long_bin.123	86.09	6.63	Gradient Boost (General Model)	11	0.951	124682	286.25548902195607	1352424	0.34	1503	22	371044	None
ERR9769299_fairy_all_metabat2_long_bin.124	4.13	0.02	Neural Network (Specific Model)	11	0.811	11835	269.39799331103677	294801	0.43	299	36	22876	None
ERR9769299_fairy_all_metabat2_long_bin.125	20.2	0.05	Neural Network (Specific Model)	11	0.889	20427	270.7337110481586	640901	0.54	706	40	100325	None
ERR9769299_fairy_all_metabat2_long_bin.126	65.07	3.52	Gradient Boost (General Model)	11	0.894	155103	320.94727435210007	1202531	0.33	1119	21	594996	None
ERR9769299_fairy_all_metabat2_long_bin.127	7.89	0.0	Neural Network (Specific Model)	11	0.827	11121	267.13617021276593	225508	0.45	235	25	19568	None
ERR9769299_fairy_all_metabat2_long_bin.128	25.27	0.03	Neural Network (Specific Model)	11	0.875	54281	274.50760869565215	862928	0.51	920	21	179571	None
ERR9769299_fairy_all_metabat2_long_bin.129	10.23	0.03	Neural Network (Specific Model)	11	0.917	13048	261.17004048583	209735	0.33	247	19	39894	None
ERR9769299_fairy_all_metabat2_long_bin.13	7.48	0.0	Neural Network (Specific Model)	11	0.922	53929	293.38461538461536	222712	0.31	234	9	62845	None
ERR9769299_fairy_all_metabat2_long_bin.130	99.48	20.4	Neural Network (Specific Model)	11	0.876	131085	282.15416216216215	4451939	0.54	4625	89	453624	None
ERR9769299_fairy_all_metabat2_long_bin.131	55.08	1.16	Gradient Boost (General Model)	11	0.955	90599	290.987915407855	602449	0.34	662	19	146472	None
ERR9769299_fairy_all_metabat2_long_bin.132	98.46	30.22	Gradient Boost (General Model)	11	0.919	981731	331.1081514762516	3364638	0.44	3116	30	1036383	None
ERR9769299_fairy_all_metabat2_long_bin.133	6.59	0.0	Neural Network (Specific Model)	11	0.802	10109	184.52302631578948	208314	0.34	304	27	29342	None
ERR9769299_fairy_all_metabat2_long_bin.134	12.07	0.0	Neural Network (Specific Model)	11	0.931	12167	229.99652777777777	212075	0.33	288	20	32271	None
ERR9769299_fairy_all_metabat2_long_bin.135	13.97	0.01	Neural Network (Specific Model)	11	0.896	46746	269.4326241134752	253728	0.36	282	7	98866	None
ERR9769299_fairy_all_metabat2_long_bin.136	10.71	0.25	Neural Network (Specific Model)	11	0.796	4548	272.4760273972603	894331	0.69	876	230	32374	None
ERR9769299_fairy_all_metabat2_long_bin.137	8.33	0.1	Neural Network (Specific Model)	11	0.929	20452	289.6968503937008	236696	0.3	254	15	64125	None
ERR9769299_fairy_all_metabat2_long_bin.138	7.72	0.03	Neural Network (Specific Model)	11	0.899	133597	295.3783783783784	254584	0.51	259	7	133597	None
ERR9769299_fairy_all_metabat2_long_bin.139	93.68	21.24	Gradient Boost (General Model)	11	0.879	49209	309.36806526806527	4519288	0.53	4290	167	283693	None
ERR9769299_fairy_all_metabat2_long_bin.14	21.79	0.02	Neural Network (Specific Model)	11	0.919	147102	338.5814393939394	582479	0.37	528	6	241105	None
ERR9769299_fairy_all_metabat2_long_bin.140	9.51	1.44	Neural Network (Specific Model)	11	0.936	61638	233.89810426540285	314872	0.33	422	10	63308	None
ERR9769299_fairy_all_metabat2_long_bin.141	94.16	0.2	Neural Network (Specific Model)	11	0.92	788460	340.0641176470588	1879766	0.39	1700	7	879879	None
