Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SemiBin_0.fa	85.7	3.2	Gradient Boost (General Model)	11	0.902	274706	313.5529067335843	2489018	0.53	2391	71	691503	None
SemiBin_1.fa	99.97	1.12	Neural Network (Specific Model)	11	0.911	107307	350.8618960802188	5061989	0.46	4388	126	362971	None
SemiBin_10.fa	97.68	0.59	Neural Network (Specific Model)	11	0.858	44759	325.64475388601034	3508995	0.42	3088	148	135392	None
SemiBin_11.fa	72.26	0.49	Neural Network (Specific Model)	11	0.913	14273	377.7751846381093	4197224	0.44	3385	377	125647	None
SemiBin_12.fa	92.88	0.14	Neural Network (Specific Model)	11	0.877	22371	324.48242424242426	2741058	0.45	2475	180	123059	None
SemiBin_13.fa	41.12	2.88	Neural Network (Specific Model)	11	0.907	5418	311.08183776022975	1428951	0.6	1393	277	94502	None
SemiBin_14.fa	91.56	0.37	Neural Network (Specific Model)	11	0.875	24488	326.9377453729669	1995819	0.61	1783	115	78391	None
SemiBin_15.fa	11.91	0.65	Neural Network (Specific Model)	11	0.921	6969	309.6148409893993	568776	0.41	566	87	77391	None
SemiBin_16.fa	55.14	1.2	Neural Network (Specific Model)	11	0.911	9658	326.53854875283446	1892064	0.46	1764	240	76979	None
SemiBin_18.fa	15.92	0.44	Neural Network (Specific Model)	11	0.883	4182	253.34139784946237	638078	0.58	744	131	57850	None
SemiBin_2.fa	94.34	4.09	Neural Network (Specific Model)	11	0.863	141003	318.1368519383466	2364706	0.54	2141	64	354709	None
SemiBin_20.fa	82.08	0.15	Neural Network (Specific Model)	11	0.883	12430	319.86372950819674	2115736	0.61	1952	217	56142	None
SemiBin_21.fa	9.0	0.07	Neural Network (Specific Model)	11	0.914	18392	329.38947368421054	410149	0.41	380	33	51959	None
SemiBin_23.fa	83.89	3.29	Neural Network (Specific Model)	11	0.875	16322	309.6012765957447	2490351	0.49	2350	216	49607	None
SemiBin_27.fa	9.21	0.0	Neural Network (Specific Model)	11	0.848	19355	304.20710059171597	363190	0.55	338	29	46174	None
SemiBin_28.fa	85.93	2.93	Neural Network (Specific Model)	11	0.887	13372	303.1630798660928	2138993	0.44	2091	214	45275	None
SemiBin_29.fa	55.63	1.27	Neural Network (Specific Model)	11	0.914	10392	349.72062780269056	2555494	0.46	2230	308	43007	None
SemiBin_3.fa	93.24	2.53	Neural Network (Specific Model)	11	0.906	56382	386.8185840707965	5779413	0.42	4520	180	201978	None
SemiBin_30.fa	91.54	1.09	Gradient Boost (General Model)	11	0.908	13218	296.6669874879692	2032775	0.45	2078	207	41767	None
SemiBin_31.fa	7.92	0.03	Neural Network (Specific Model)	11	0.902	14016	253.7896103896104	323847	0.51	385	41	41483	None
SemiBin_32.fa	6.38	0.53	Neural Network (Specific Model)	11	0.882	10834	256.7694805194805	267872	0.45	308	31	40115	None
SemiBin_33.fa	82.01	2.91	Neural Network (Specific Model)	11	0.899	13395	305.0056112224449	2532312	0.5	2495	257	39663	None
SemiBin_34.fa	45.98	1.53	Neural Network (Specific Model)	11	0.903	8163	301.3774436090226	1990577	0.44	1995	291	39031	None
SemiBin_35.fa	87.13	0.19	Neural Network (Specific Model)	11	0.86	9466	317.3858566682487	2327787	0.56	2107	295	38875	None
SemiBin_37.fa	11.16	1.02	Neural Network (Specific Model)	11	0.881	5972	256.84583333333336	418073	0.47	480	74	35999	None
SemiBin_38.fa	11.04	0.04	Neural Network (Specific Model)	11	0.866	9096	263.5662188099808	474047	0.49	521	74	35815	None
SemiBin_39.fa	5.45	0.01	Neural Network (Specific Model)	11	0.883	13129	260.4736842105263	234466	0.46	266	27	34264	None
SemiBin_4.fa	81.26	39.85	Neural Network (Specific Model)	11	0.881	37530	313.5874613003096	2754738	0.59	2584	141	95690	None
SemiBin_40.fa	74.33	1.18	Neural Network (Specific Model)	11	0.911	9235	321.8311735061195	2936499	0.46	2778	395	34190	None
SemiBin_41.fa	10.07	0.06	Neural Network (Specific Model)	11	0.823	12100	250.37224669603523	413872	0.55	454	49	33838	None
SemiBin_42.fa	42.26	0.51	Neural Network (Specific Model)	11	0.896	5048	272.6779788838612	1206386	0.43	1326	242	32989	None
SemiBin_44.fa	6.92	0.01	Neural Network (Specific Model)	11	0.884	4347	258.2261904761905	292950	0.59	336	62	31213	None
SemiBin_45.fa	60.73	1.63	Gradient Boost (General Model)	11	0.894	6609	284.30380536494073	1523167	0.54	1603	260	29536	None
SemiBin_49.fa	11.37	0.02	Neural Network (Specific Model)	11	0.868	12686	292.6641604010025	402639	0.42	399	45	28366	None
SemiBin_5.fa	57.23	16.92	Neural Network (Specific Model)	11	0.864	40373	299.34254742547427	1914257	0.56	1845	96	195940	None
SemiBin_50.fa	66.65	2.01	Gradient Boost (General Model)	11	0.889	5665	285.9390980939098	2068174	0.37	2151	399	27929	None
SemiBin_51.fa	25.39	1.04	Neural Network (Specific Model)	11	0.899	4488	290.8888888888889	887318	0.42	918	198	27077	None
SemiBin_53.fa	36.56	0.17	Neural Network (Specific Model)	11	0.903	4723	264.71615312791783	938808	0.43	1071	203	26720	None
SemiBin_54.fa	5.37	0.0	Neural Network (Specific Model)	11	0.942	8379	337.3538461538462	278798	0.45	260	44	26351	None
