Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
cluster_1	95.72	0.46	Gradient Boost (General Model)	11	0.87	166704	341.2128332580208	2599398	0.49	2213	44	482034	None
cluster_10	98.74	0.41	Gradient Boost (General Model)	11	0.911	90973	338.82674418604654	2873480	0.54	2580	44	300275	None
cluster_100	75.47	3.61	Gradient Boost (General Model)	11	0.897	5956	266.14215384615386	2882602	0.54	3250	629	78216	None
cluster_101	66.17	2.79	Neural Network (Specific Model)	11	0.889	6350	256.55272226051	1253358	0.37	1451	279	29207	None
cluster_102	75.59	5.32	Gradient Boost (General Model)	11	0.876	5985	259.3176085941149	1894733	0.53	2141	395	77070	None
cluster_103	69.47	0.64	Gradient Boost (General Model)	11	0.862	3438	252.3381893860562	842534	0.28	961	270	11998	None
cluster_104	44.51	0.23	Gradient Boost (General Model)	11	0.859	5298	248.35135135135135	1024189	0.3	1184	239	23965	None
cluster_105	70.24	3.83	Gradient Boost (General Model)	11	0.864	13072	272.03863465866465	2513699	0.61	2666	323	54209	None
cluster_106	57.61	0.95	Gradient Boost (General Model)	11	0.843	3320	245.52865612648222	1763280	0.55	2024	551	57965	None
cluster_107	70.17	5.6	Neural Network (Specific Model)	11	0.866	8446	268.9883144475921	2625339	0.61	2824	448	84404	None
cluster_108	65.5	0.61	Neural Network (Specific Model)	11	0.88	8011	275.72206781545304	1687479	0.6	1799	274	43301	None
cluster_109	61.59	3.86	Neural Network (Specific Model)	11	0.882	5479	272.01053135471517	1927438	0.56	2089	447	54242	None
cluster_11	96.07	1.07	Gradient Boost (General Model)	11	0.863	90867	289.0025690430315	1560281	0.29	1557	65	141064	None
cluster_110	72.13	4.06	Gradient Boost (General Model)	11	0.875	10279	278.6865061335756	2099236	0.63	2201	282	38600	None
cluster_111	67.72	5.83	Neural Network (Specific Model)	11	0.893	4229	268.900756564308	2025653	0.66	2247	539	17789	None
cluster_112	54.15	4.75	Gradient Boost (General Model)	11	0.865	3182	252.36098130841123	1493110	0.64	1712	497	12206	None
cluster_12	96.26	0.34	Neural Network (Specific Model)	11	0.898	59959	317.4777298850575	1475243	0.4	1392	47	123833	None
cluster_13	96.93	1.81	Gradient Boost (General Model)	11	0.847	32461	315.4052152317881	2694258	0.54	2416	175	143754	None
cluster_14	96.62	0.8	Neural Network (Specific Model)	11	0.889	44731	317.36397306397305	3175574	0.47	2970	155	120822	None
cluster_15	94.5	0.19	Gradient Boost (General Model)	11	0.852	34390	331.42297650130547	2677220	0.55	2298	141	110928	None
cluster_16	86.19	0.54	Neural Network (Specific Model)	11	0.873	15742	284.9557867360208	2252888	0.55	2307	236	58116	None
cluster_17	91.6	0.8	Gradient Boost (General Model)	11	0.909	23326	312.1166666666667	2651635	0.51	2580	205	103227	None
cluster_18	98.9	0.54	Neural Network (Specific Model)	11	0.869	45775	298.4433811802233	2581472	0.45	2508	103	121571	None
cluster_19	96.66	2.12	Gradient Boost (General Model)	11	0.882	20816	316.54382547721076	2759297	0.55	2567	230	74153	None
cluster_2	98.36	1.77	Gradient Boost (General Model)	11	0.849	85363	306.22998102466795	2845671	0.56	2635	110	240628	None
cluster_20	94.18	0.98	Gradient Boost (General Model)	11	0.884	33302	322.45114244044726	2247155	0.6	2057	110	117915	None
cluster_21	94.29	0.5	Gradient Boost (General Model)	11	0.92	96033	297.02097902097904	1244452	0.33	1287	25	165900	None
cluster_22	97.6	0.28	Gradient Boost (General Model)	11	0.878	94463	329.88344125809436	1216130	0.35	1081	23	163325	None
cluster_23	99.3	1.11	Gradient Boost (General Model)	11	0.827	30075	296.3314917127072	2915090	0.58	2715	146	96973	None
cluster_24	93.79	5.13	Gradient Boost (General Model)	11	0.868	29084	257.6725978647687	1497300	0.27	1686	85	101802	None
cluster_25	96.71	2.6	Gradient Boost (General Model)	11	0.895	18205	292.5561403508772	1673187	0.32	1710	146	48180	None
cluster_26	95.99	1.66	Gradient Boost (General Model)	11	0.919	14494	290.28951367781156	1243619	0.35	1316	118	49560	None
cluster_27	95.22	1.22	Gradient Boost (General Model)	11	0.878	221662	322.55733808674984	1851898	0.56	1683	30	263990	None
cluster_28	97.5	0.0	Gradient Boost (General Model)	11	0.866	162003	341.3925696594427	1906083	0.51	1615	25	363463	None
cluster_29	86.12	0.79	Neural Network (Specific Model)	11	0.875	27360	318.3189134808853	3246323	0.54	2982	206	100988	None
cluster_3	100.0	0.07	Neural Network (Specific Model)	11	0.878	82347	307.35542831975334	4759858	0.51	4541	125	352516	None
cluster_30	98.46	2.58	Gradient Boost (General Model)	11	0.886	68708	305.94878361075547	2422941	0.48	2343	92	191848	None
cluster_31	97.71	1.05	Gradient Boost (General Model)	11	0.849	117785	309.5566210045662	2390262	0.55	2190	84	208635	None
cluster_32	100.0	2.41	Neural Network (Specific Model)	11	0.883	117493	315.15388257575756	2257476	0.47	2112	70	524875	None
cluster_33	96.93	0.02	Gradient Boost (General Model)	11	0.86	93911	331.2280917280917	2816500	0.51	2442	46	175301	None
cluster_34	99.73	2.62	Gradient Boost (General Model)	11	0.894	70745	288.0939745715865	1744179	0.31	1809	65	180606	None
cluster_35	96.93	0.38	Gradient Boost (General Model)	11	0.879	26522	296.82990466633214	2014092	0.51	1993	119	94659	None
cluster_36	98.9	1.66	Gradient Boost (General Model)	11	0.862	187223	323.7245508982036	1502254	0.31	1336	12	292212	None
cluster_37	94.04	0.67	Gradient Boost (General Model)	11	0.896	124983	310.6305418719212	2319154	0.61	2233	29	208099	None
cluster_38	90.75	0.02	Neural Network (Specific Model)	11	0.912	79707	309.6821763602251	2708129	0.48	2665	99	230592	None
cluster_39	94.68	2.68	Gradient Boost (General Model)	11	0.894	81925	306.30057595392367	2849865	0.61	2778	54	294212	None
cluster_4	96.86	1.11	Gradient Boost (General Model)	11	0.889	38163	313.02107208872457	2852421	0.66	2705	142	147440	None
cluster_40	96.63	0.19	Gradient Boost (General Model)	11	0.892	60539	315.99638205499275	2933762	0.58	2764	131	192899	None
cluster_41	96.42	0.46	Gradient Boost (General Model)	11	0.885	16061	309.8936895963616	1843381	0.54	1759	170	44132	None
cluster_42	84.44	1.06	Neural Network (Specific Model)	11	0.885	30906	310.60223196492626	2639317	0.64	2509	154	99065	None
cluster_43	94.01	0.63	Gradient Boost (General Model)	11	0.878	99135	326.96191819464036	3161775	0.5	2836	59	365770	None
cluster_44	95.71	0.42	Gradient Boost (General Model)	11	0.869	18443	291.06164383561645	2197657	0.62	2190	186	57275	None
cluster_45	92.03	0.4	Gradient Boost (General Model)	11	0.889	14490	298.2667531344574	2323838	0.48	2313	251	80161	None
cluster_46	89.07	0.57	Neural Network (Specific Model)	11	0.88	20047	308.43062438057484	2119090	0.62	2018	208	68717	None
cluster_47	94.61	0.89	Gradient Boost (General Model)	11	0.915	12529	285.4242196314404	2480511	0.49	2659	303	52638	None
cluster_48	86.19	0.95	Neural Network (Specific Model)	11	0.913	1815871	314.3826330532213	1839435	0.38	1785	6	1815871	None
cluster_49	96.68	0.2	Gradient Boost (General Model)	11	0.88	84961	339.75353440150803	2452787	0.56	2122	62	304609	None
cluster_5	97.16	0.04	Gradient Boost (General Model)	11	0.892	30295	322.8382126348228	2811221	0.49	2596	152	82142	None
cluster_50	94.66	1.53	Gradient Boost (General Model)	11	0.857	49121	316.7300330033003	3352953	0.61	3030	174	217556	None
cluster_51	87.2	0.49	Neural Network (Specific Model)	11	0.867	69718	320.38589211618256	2402715	0.64	2169	65	128262	None
cluster_52	87.59	0.94	Gradient Boost (General Model)	11	0.879	8521	276.90691244239633	2045668	0.59	2170	330	34934	None
cluster_53	89.82	4.04	Gradient Boost (General Model)	11	0.9	32561	288.156049094097	1638537	0.3	1711	82	113420	None
cluster_54	93.04	0.04	Gradient Boost (General Model)	11	0.851	50790	293.933845245127	1751007	0.59	1693	53	149024	None
cluster_55	88.19	0.21	Gradient Boost (General Model)	11	0.857	12263	317.231884057971	3289961	0.54	2967	374	93759	None
cluster_56	88.98	1.61	Gradient Boost (General Model)	11	0.89	22623	312.0618744313012	3460347	0.51	3297	350	124202	None
cluster_57	94.57	0.42	Gradient Boost (General Model)	11	0.866	37293	304.12613065326633	2092956	0.62	1990	105	137269	None
cluster_58	91.72	0.81	Gradient Boost (General Model)	11	0.903	11004	283.2780182780183	1950907	0.46	2079	268	42588	None
cluster_59	92.09	0.03	Gradient Boost (General Model)	11	0.885	23839	322.69631363370394	1866803	0.56	1709	161	114852	None
cluster_6	94.54	0.01	Gradient Boost (General Model)	11	0.836	160696	331.60023041474653	2063375	0.51	1736	43	403713	None
cluster_60	85.37	1.81	Neural Network (Specific Model)	11	0.88	29310	320.97103223174213	2678199	0.6	2451	153	82929	None
cluster_61	92.33	4.77	Gradient Boost (General Model)	11	0.893	13813	301.90912162162164	2994988	0.49	2960	337	49048	None
cluster_62	89.63	0.21	Gradient Boost (General Model)	11	0.865	10487	262.914314516129	1805916	0.58	1984	258	45017	None
cluster_63	93.44	3.88	Gradient Boost (General Model)	11	0.878	15645	290.23998091603056	2076656	0.62	2096	194	48147	None
cluster_64	89.02	2.95	Neural Network (Specific Model)	11	0.854	27061	310.02182284980745	2542075	0.65	2337	157	96328	None
cluster_65	92.47	7.32	Gradient Boost (General Model)	11	0.908	88648	349.37307692307695	2095773	0.56	1820	48	284920	None
cluster_66	88.96	2.45	Neural Network (Specific Model)	11	0.87	17314	304.9109589041096	2911509	0.52	2774	281	56877	None
cluster_67	90.42	1.09	Gradient Boost (General Model)	11	0.857	56106	297.3532506576475	2766075	0.61	2661	122	137339	None
cluster_68	89.39	1.13	Gradient Boost (General Model)	11	0.879	61439	324.3084068741291	2377987	0.64	2153	66	266303	None
cluster_69	75.24	4.24	Gradient Boost (General Model)	11	0.905	8191	296.028830752803	1834349	0.52	1873	298	48010	None
cluster_7	94.26	2.11	Gradient Boost (General Model)	11	0.873	30203	292.09797297297297	2666857	0.58	2664	159	122711	None
cluster_70	94.5	0.0	Neural Network (Specific Model)	11	0.888	28900	328.61410459587955	2797219	0.47	2524	146	85276	None
cluster_71	99.6	0.46	Gradient Boost (General Model)	11	0.908	124235	337.2091020910209	2712235	0.53	2439	56	309919	None
cluster_72	95.86	5.81	Gradient Boost (General Model)	11	0.868	31992	280.5191527715187	2145937	0.28	2219	135	326192	None
cluster_73	83.16	2.03	Neural Network (Specific Model)	11	0.869	14101	289.4458471760797	3001140	0.63	3010	363	63115	None
cluster_74	92.37	2.02	Gradient Boost (General Model)	11	0.874	16372	287.23730098559514	2595946	0.59	2638	281	68158	None
cluster_75	92.2	1.36	Gradient Boost (General Model)	11	0.883	20133	302.7675060365643	2974267	0.5	2899	303	73396	None
cluster_76	82.57	1.16	Neural Network (Specific Model)	11	0.831	8867	296.52535421327366	2863687	0.66	2682	486	48657	None
cluster_77	73.41	1.64	Gradient Boost (General Model)	11	0.9	8554	287.4638255698712	1927949	0.53	2018	288	44117	None
cluster_78	95.97	3.57	Gradient Boost (General Model)	11	0.881	48099	293.35957066189627	1671550	0.28	1677	61	157539	None
cluster_79	75.68	1.84	Neural Network (Specific Model)	11	0.892	6142	262.73641207815274	2479647	0.54	2815	517	27299	None
cluster_8	96.01	0.81	Neural Network (Specific Model)	11	0.909	31135	311.3919667590028	2961609	0.46	2888	176	121446	None
cluster_80	86.59	0.15	Gradient Boost (General Model)	11	0.904	62997	322.5053366174056	2602787	0.5	2436	78	207289	None
cluster_81	85.28	4.77	Neural Network (Specific Model)	11	0.901	13826	299.06328616352204	2527623	0.49	2544	274	117727	None
cluster_82	85.58	1.23	Gradient Boost (General Model)	11	0.9	47345	310.57444809769845	2201669	0.62	2129	119	116680	None
cluster_83	100.0	0.23	Gradient Boost (General Model)	11	0.891	29220	311.16206030150755	2497063	0.45	2388	128	116997	None
cluster_84	89.54	5.88	Gradient Boost (General Model)	11	0.844	21365	284.41269841269843	1777518	0.3	1764	145	73670	None
cluster_85	78.47	3.15	Neural Network (Specific Model)	11	0.87	8357	289.5784825371337	2484508	0.63	2491	428	42674	None
cluster_86	83.83	0.88	Neural Network (Specific Model)	11	0.881	66220	321.1495972382048	2845371	0.47	2607	97	214476	None
cluster_87	79.66	0.19	Gradient Boost (General Model)	11	0.865	35235	284.2453250222618	2209736	0.6	2246	148	128746	None
cluster_88	76.82	2.09	Gradient Boost (General Model)	11	0.882	22356	323.2464046021093	2288673	0.54	2086	201	144947	None
cluster_89	76.38	0.89	Neural Network (Specific Model)	11	0.885	10242	287.8906935908692	2217679	0.65	2278	302	30443	None
cluster_9	99.92	1.66	Neural Network (Specific Model)	11	0.842	137004	307.58197256694973	3343423	0.58	3062	74	355742	None
cluster_90	84.53	1.9	Neural Network (Specific Model)	11	0.863	13333	285.6128882707464	2138501	0.58	2157	239	54514	None
cluster_91	77.33	2.68	Gradient Boost (General Model)	11	0.834	11215	281.9639546858908	1966772	0.63	1942	279	66030	None
cluster_92	58.94	1.31	Gradient Boost (General Model)	11	0.902	3723	243.35816944024205	2131584	0.49	2644	633	15789	None
cluster_93	76.23	1.48	Gradient Boost (General Model)	11	0.866	15080	283.20390662220103	2054255	0.55	2099	196	122962	None
cluster_94	66.9	0.06	Gradient Boost (General Model)	11	0.841	3860	252.001582278481	1133283	0.53	1264	329	32158	None
cluster_95	84.78	3.15	Neural Network (Specific Model)	11	0.898	23722	303.40687807056725	2267163	0.64	2239	152	70205	None
cluster_96	79.88	1.13	Neural Network (Specific Model)	11	0.891	35827	308.60785091197465	2612658	0.47	2522	141	132133	None
cluster_97	75.24	4.46	Neural Network (Specific Model)	11	0.883	6336	255.38426966292135	1540261	0.37	1780	330	38587	None
cluster_98	76.04	1.51	Gradient Boost (General Model)	11	0.867	29731	311.3229166666667	2682935	0.51	2496	198	200770	None
cluster_99	74.66	0.62	Neural Network (Specific Model)	11	0.897	33536	289.28826702629806	2864760	0.6	2966	162	200170	None
