Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
90887	59.79	2.95	Gradient Boost (General Model)	11	0.918	9458	281.87443365695793	2838915	0.72	3090	365	31985	None
90890	24.29	0.09	Neural Network (Specific Model)	11	0.865	8317	237.68	657003	0.57	800	109	25992	None
90896	88.17	23.36	Gradient Boost (General Model)	11	0.865	12300	244.5873015873016	2343172	0.52	2772	264	51678	None
90898	90.35	22.43	Neural Network (Specific Model)	11	0.837	10631	219.0697129466901	2673331	0.38	3414	453	54891	None
90906	46.49	2.07	Neural Network (Specific Model)	11	0.827	10319	259.92972759573627	2380054	0.56	2533	280	37577	None
90922	97.37	3.29	Gradient Boost (General Model)	11	0.919	40162	322.60539906103287	4477349	0.69	4260	160	137845	None
90935	90.44	46.7	Gradient Boost (General Model)	11	0.864	12791	235.76952647213	4668748	0.52	5723	544	83555	None
90967	100.0	84.56	Gradient Boost (General Model)	11	0.906	6161	256.2180740740741	11426396	0.65	13500	3220	53867	None
91001	84.22	0.85	Neural Network (Specific Model)	11	0.854	12794	231.6759478672986	1369359	0.39	1688	169	40623	None
91018	24.16	0.35	Neural Network (Specific Model)	11	0.852	13053	239.9988109393579	708202	0.51	841	58	32022	None
91040	25.08	2.57	Neural Network (Specific Model)	11	0.86	7028	227.17410071942447	548359	0.58	695	99	25345	None
91081	94.74	75.17	Gradient Boost (General Model)	11	0.928	31290	296.20527431751924	7195407	0.66	7546	311	153965	None
91150	47.57	1.24	Gradient Boost (General Model)	11	0.926	21259	293.6021789369429	2873886	0.69	3029	156	58027	None
91164	88.47	2.15	Gradient Boost (General Model)	11	0.92	29554	288.7355898123324	2802491	0.71	2984	150	83405	None
91170	91.45	0.21	Gradient Boost (General Model)	11	0.924	14248	278.52285447761193	1929927	0.67	2144	172	40456	None
91256	13.64	0.01	Neural Network (Specific Model)	11	0.87	18794	299.06835066864784	691952	0.66	673	47	38526	None
91268	63.49	2.26	Gradient Boost (General Model)	11	0.917	18119	279.1922236784622	2081129	0.68	2289	137	74606	None
91387	9.41	0.07	Neural Network (Specific Model)	11	0.872	7256	248.86294416243655	336283	0.62	394	55	25342	None
91456	51.45	5.23	Gradient Boost (General Model)	11	0.936	12462	309.88191089640367	1844207	0.71	1863	177	47599	None
91472	94.93	1.08	Gradient Boost (General Model)	11	0.893	29526	308.0642504118616	4384931	0.56	4249	196	115203	None
91494	71.1	0.18	Neural Network (Specific Model)	11	0.858	21530	220.70810142238713	1243253	0.49	1617	81	83778	None
91500	31.0	0.11	Neural Network (Specific Model)	11	0.886	6762	267.90079817559865	791970	0.74	877	141	18069	None
91533	13.24	0.29	Neural Network (Specific Model)	11	0.955	7841	294.4566473988439	318740	0.71	346	45	20560	None
91563	26.09	1.24	Neural Network (Specific Model)	11	0.847	8010	229.46187845303868	733474	0.52	905	121	37534	None
91596	6.29	0.02	Neural Network (Specific Model)	11	0.9	15010	300.24242424242425	263115	0.58	264	24	22456	None
91786	8.55	1.16	Neural Network (Specific Model)	11	0.946	7201	288.9269005847953	312579	0.71	342	53	23872	None
91858	13.92	0.17	Neural Network (Specific Model)	11	0.891	25097	271.2298850574713	712004	0.64	783	36	58095	None
92146	47.81	0.42	Gradient Boost (General Model)	11	0.921	18985	276.3922811059908	1556364	0.66	1736	100	47957	None
92401	15.89	0.05	Neural Network (Specific Model)	11	0.895	12274	308.2852348993289	613949	0.66	596	55	20895	None
92556	5.23	0.0	Neural Network (Specific Model)	11	0.938	5687	281.71311475409834	219018	0.7	244	41	13115	None
92930	16.18	0.0	Neural Network (Specific Model)	11	0.931	7029	284.2857142857143	556560	0.7	609	87	21291	None
94147	20.47	0.0	Neural Network (Specific Model)	11	0.851	15333	295.03409090909093	547935	0.61	528	34	45422	None
