Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
106982	51.98	9.42	Gradient Boost (General Model)	11	0.885	4670	234.09013605442178	1860922	0.67	2352	520	20883	None
111888	90.1	62.2	Gradient Boost (General Model)	11	0.868	15502	242.89164598842018	5057320	0.52	6045	440	127663	None
111893	29.76	0.0	Neural Network (Specific Model)	11	0.845	10188	268.33356594556875	1362198	0.56	1433	172	22547	None
111907	21.12	0.01	Neural Network (Specific Model)	11	0.893	7550	274.3172690763052	686385	0.72	747	102	16113	None
111913	47.17	4.38	Gradient Boost (General Model)	11	0.925	14051	303.7012641383899	1474915	0.71	1503	129	43651	None
111914	29.54	4.22	Neural Network (Specific Model)	11	0.947	26040	314.6830249396621	1233456	0.65	1243	57	74492	None
111921	85.74	17.95	Gradient Boost (General Model)	11	0.922	42298	295.4217961654894	3797036	0.66	3964	117	187382	None
111923	88.95	0.57	Gradient Boost (General Model)	11	0.923	34578	299.13377926421407	4350246	0.69	4485	180	77847	None
111936	88.08	38.68	Gradient Boost (General Model)	11	0.875	16329	245.7386150966937	2691687	0.52	3206	231	68694	None
111955	79.18	10.02	Gradient Boost (General Model)	11	0.947	20510	324.3309056364788	3233743	0.69	3158	228	65727	None
111957	28.51	4.58	Neural Network (Specific Model)	11	0.92	9849	277.98960739030025	783233	0.65	866	101	34834	None
111968	98.57	65.83	Neural Network (Specific Model)	11	0.839	7495	213.5003367003367	4521741	0.4	5940	1015	65262	None
111969	45.36	16.55	Gradient Boost (General Model)	11	0.896	9955	279.2406447898676	1619951	0.64	1737	201	57378	None
111974	71.35	0.14	Gradient Boost (General Model)	11	0.919	16923	283.5890702625976	1298472	0.67	1409	95	75527	None
111986	63.19	7.05	Gradient Boost (General Model)	11	0.928	18843	312.5642618251314	2108239	0.7	2093	133	59061	None
112006	45.91	0.57	Gradient Boost (General Model)	11	0.851	13885	235.09360936093609	916856	0.53	1111	72	35514	None
112012	30.9	0.68	Neural Network (Specific Model)	11	0.924	6878	270.53854276663145	830354	0.63	947	129	27999	None
112013	71.42	0.51	Gradient Boost (General Model)	11	0.937	14091	296.8	2341199	0.71	2470	227	42478	None
112030	97.32	5.92	Gradient Boost (General Model)	11	0.896	26788	313.5878547579299	5019688	0.56	4792	235	91340	None
112035	20.2	1.23	Neural Network (Specific Model)	11	0.951	6211	278.4449388209121	786804	0.71	899	141	37845	None
112047	62.2	2.66	Gradient Boost (General Model)	11	0.874	11133	290.3743489583333	1528565	0.65	1536	156	31862	None
112061	15.1	0.06	Neural Network (Specific Model)	11	0.898	12752	267.07897793263646	764378	0.66	861	73	29135	None
112078	48.0	15.59	Gradient Boost (General Model)	11	0.858	7235	237.1345062429058	1456055	0.52	1762	223	42260	None
112083	52.97	0.6	Gradient Boost (General Model)	11	0.918	12410	293.39679098005206	2204059	0.71	2306	211	31742	None
112092	62.37	0.08	Gradient Boost (General Model)	11	0.851	10026	235.3806343906511	990605	0.58	1198	116	32491	None
112093	63.98	10.62	Gradient Boost (General Model)	11	0.871	7948	235.04803493449782	1478825	0.52	1832	235	64247	None
112140	56.38	0.21	Neural Network (Specific Model)	11	0.862	17177	307.748624629708	2524594	0.58	2363	171	55739	None
112187	10.53	0.02	Neural Network (Specific Model)	11	0.916	8721	274.94176706827307	446699	0.72	498	72	22873	None
112198	58.64	0.52	Gradient Boost (General Model)	11	0.867	10983	252.61529808773903	774260	0.51	889	102	41103	None
112200	8.91	0.03	Neural Network (Specific Model)	11	0.892	12934	288.97712418300654	593290	0.68	612	46	44649	None
112228	8.1	0.03	Neural Network (Specific Model)	11	0.889	19093	302.1387755102041	249517	0.61	245	15	43094	None
112320	7.23	0.16	Neural Network (Specific Model)	11	0.862	10899	318.625	372001	0.52	336	41	55195	None
112401	45.81	3.32	Gradient Boost (General Model)	11	0.889	8780	253.5007788161994	1094862	0.64	1284	146	33032	None
112625	75.91	0.3	Gradient Boost (General Model)	11	0.851	20180	311.79989658738367	2123004	0.62	1934	133	58792	None
112739	73.17	0.28	Gradient Boost (General Model)	11	0.946	27083	321.8638099278744	2395063	0.66	2357	117	94658	None
112928	4.25	0.0	Neural Network (Specific Model)	11	0.846	17165	343.34671532846716	333003	0.57	274	23	24304	None
112929	78.7	0.52	Neural Network (Specific Model)	11	0.876	26675	300.22309582309583	2089218	0.62	2035	112	68712	None
113059	21.97	0.01	Neural Network (Specific Model)	11	0.913	9170	266.6496106785317	785107	0.71	899	93	28777	None
113502	42.86	1.51	Gradient Boost (General Model)	11	0.916	21158	280.4818136522172	1835858	0.66	2007	103	66289	None
113811	7.31	0.0	Neural Network (Specific Model)	11	0.821	9461	262.54014598540147	262174	0.56	274	35	16860	None
114651	9.52	0.01	Neural Network (Specific Model)	11	0.942	11019	307.18468468468467	433097	0.69	444	43	20845	None
115555	6.08	0.0	Neural Network (Specific Model)	11	0.912	12739	281.825	221641	0.66	240	18	22453	None
116154	31.69	0.02	Neural Network (Specific Model)	11	0.876	5664	211.50704225352112	460805	0.5	639	101	17781	None
116786	4.51	0.0	Neural Network (Specific Model)	11	0.93	16433	331.69483568075117	227620	0.69	213	17	44790	None
117378	4.46	0.02	Neural Network (Specific Model)	11	0.896	13263	286.12460063897765	299242	0.68	313	29	32664	None
94860	76.9	1.06	Neural Network (Specific Model)	11	0.907	4856	280.0016326530612	4531951	0.68	4900	1168	40220	None
94910	84.42	36.44	Gradient Boost (General Model)	11	0.905	3751	238.54967770615693	3547600	0.64	4499	1288	58207	None
96902	90.26	0.43	Gradient Boost (General Model)	11	0.924	58729	323.81069851986496	4038912	0.69	3851	99	156755	None
99690	72.07	0.49	Gradient Boost (General Model)	11	0.935	31557	301.5073746312684	2284816	0.66	2373	83	112400	None
