Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SemiBin_0.fa	95.13	0.57	Gradient Boost (General Model)	11	0.917	42229	320.5286995515695	4663085	0.68	4460	190	176684	None
SemiBin_1.fa	90.53	3.99	Gradient Boost (General Model)	11	0.853	44531	255.39257731958762	2172617	0.53	2425	94	160838	None
SemiBin_10.fa	62.16	0.54	Gradient Boost (General Model)	11	0.868	14991	251.19775070290535	1848299	0.52	2134	181	75542	None
SemiBin_100.fa	6.23	0.0	Neural Network (Specific Model)	11	0.926	6018	289.04545454545456	349094	0.65	374	69	21915	None
SemiBin_101.fa	20.21	1.06	Neural Network (Specific Model)	11	0.86	5713	280.9520311149525	2259925	0.65	2314	421	21725	None
SemiBin_102.fa	12.28	0.08	Neural Network (Specific Model)	11	0.849	3694	226.30434782608697	586279	0.51	736	151	21683	None
SemiBin_105.fa	55.01	0.48	Gradient Boost (General Model)	11	0.945	5964	292.06864274570984	1774602	0.66	1923	329	21067	None
SemiBin_107.fa	30.98	1.43	Neural Network (Specific Model)	11	0.859	5196	222.07497741644084	856254	0.52	1107	176	20687	None
SemiBin_108.fa	7.67	0.16	Neural Network (Specific Model)	11	0.89	8510	299.1024590163934	245380	0.61	244	42	20614	None
SemiBin_109.fa	5.77	0.0	Neural Network (Specific Model)	11	0.887	5716	240.4501347708895	300692	0.65	371	58	20613	None
SemiBin_11.fa	70.29	0.81	Gradient Boost (General Model)	11	0.859	12830	245.0494071146245	1727436	0.57	2024	186	68539	None
SemiBin_110.fa	10.46	0.62	Neural Network (Specific Model)	11	0.86	6096	253.70273348519362	775149	0.61	878	145	20415	None
SemiBin_113.fa	27.88	1.77	Neural Network (Specific Model)	11	0.924	5405	283.8768267223382	1321790	0.69	1437	260	20088	None
SemiBin_115.fa	4.93	0.0	Neural Network (Specific Model)	11	0.837	5328	245.5914489311164	368964	0.65	421	73	19852	None
SemiBin_117.fa	43.71	0.18	Gradient Boost (General Model)	11	0.849	4974	268.01073694485115	1936492	0.55	2049	404	19589	None
SemiBin_118.fa	7.42	0.3	Neural Network (Specific Model)	11	0.834	4617	245.46871008939974	688234	0.56	783	150	19284	None
SemiBin_12.fa	88.77	0.9	Neural Network (Specific Model)	11	0.861	21998	290.43488943488944	2465165	0.62	2442	182	67240	None
SemiBin_120.fa	3.76	0.0	Neural Network (Specific Model)	11	0.911	5153	352.0558139534884	249028	0.68	215	47	18987	None
SemiBin_121.fa	39.74	0.38	Neural Network (Specific Model)	11	0.896	4480	270.87590579710144	1994455	0.57	2208	449	18937	None
SemiBin_122.fa	10.49	0.31	Neural Network (Specific Model)	11	0.856	5355	232.47465437788017	351800	0.52	434	68	18761	None
SemiBin_123.fa	29.06	0.06	Neural Network (Specific Model)	11	0.945	4879	275.89780469341406	1153369	0.71	1321	247	18424	None
SemiBin_124.fa	6.25	0.06	Neural Network (Specific Model)	11	0.892	4440	306.3237885462555	465874	0.67	454	102	18414	None
SemiBin_125.fa	34.91	0.44	Neural Network (Specific Model)	11	0.9	5248	246.11369509043928	1266099	0.7	1548	263	18283	None
SemiBin_126.fa	30.6	0.0	Neural Network (Specific Model)	11	0.919	4727	266.90984578884934	732916	0.64	843	164	18191	None
SemiBin_128.fa	53.46	0.74	Gradient Boost (General Model)	11	0.895	5179	264.1334214002642	2003139	0.72	2271	404	18016	None
SemiBin_129.fa	47.06	0.66	Gradient Boost (General Model)	11	0.893	5876	272.5339943342776	1288574	0.66	1412	243	17909	None
SemiBin_13.fa	80.45	0.33	Gradient Boost (General Model)	11	0.927	19688	319.75273275537126	2737153	0.7	2653	201	66856	None
SemiBin_130.fa	5.08	0.01	Neural Network (Specific Model)	11	0.819	4126	212.3112582781457	349807	0.65	453	82	17865	None
SemiBin_132.fa	19.95	0.14	Neural Network (Specific Model)	11	0.949	6524	290.14548238897396	596552	0.69	653	104	17645	None
SemiBin_134.fa	54.12	0.04	Gradient Boost (General Model)	11	0.897	4823	242.52133479212253	1476633	0.66	1828	316	17572	None
SemiBin_136.fa	17.51	0.0	Neural Network (Specific Model)	11	0.954	4164	290.75155279503105	734184	0.71	805	174	17469	None
SemiBin_137.fa	9.73	0.47	Neural Network (Specific Model)	11	0.882	4189	252.73529411764707	407999	0.64	476	98	17257	None
SemiBin_138.fa	26.94	0.19	Neural Network (Specific Model)	11	0.839	5161	250.17162629757786	1289362	0.59	1445	269	17239	None
SemiBin_139.fa	3.84	0.0	Neural Network (Specific Model)	11	0.89	6820	302.78964401294496	314341	0.65	309	59	17078	None
SemiBin_14.fa	70.34	2.96	Gradient Boost (General Model)	11	0.866	11636	243.7737341772152	1596193	0.52	1896	185	63553	None
SemiBin_140.fa	11.22	0.0	Neural Network (Specific Model)	11	0.866	5347	250.76942355889724	345287	0.51	399	73	17000	None
SemiBin_141.fa	30.82	2.72	Neural Network (Specific Model)	11	0.949	4664	289.53610875106205	1073057	0.69	1177	236	16937	None
SemiBin_142.fa	28.01	0.07	Neural Network (Specific Model)	11	0.885	6637	303.20092915214866	882777	0.65	861	154	16846	None
