Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR19064410_fairy_all_metabat2_short_bin.1	86.24	0.26	Neural Network (Specific Model)	11	0.889	75266	317.6913935902053	2972249	0.41	2777	67	177816	None
SRR19064410_fairy_all_metabat2_short_bin.10	76.54	1.58	Gradient Boost (General Model)	11	0.926	4363	311.7790608160123	1309511	0.4	1299	344	19244	None
SRR19064410_fairy_all_metabat2_short_bin.11	84.47	2.28	Neural Network (Specific Model)	11	0.853	14651	319.8708891595615	2768200	0.42	2463	274	65662	None
SRR19064410_fairy_all_metabat2_short_bin.12	90.53	0.01	Neural Network (Specific Model)	11	0.911	18062	366.1791867677464	3494384	0.46	2902	285	55961	None
SRR19064410_fairy_all_metabat2_short_bin.13	25.47	1.56	Neural Network (Specific Model)	11	0.914	2927	264.38125	1244643	0.45	1440	421	25411	None
SRR19064410_fairy_all_metabat2_short_bin.14	6.73	0.0	Neural Network (Specific Model)	11	0.933	60387	447.59447004608296	312169	0.46	217	6	138981	None
SRR19064410_fairy_all_metabat2_short_bin.15	94.61	0.23	Gradient Boost (General Model)	11	0.902	45768	328.12618166872176	2649768	0.53	2433	88	140543	None
SRR19064410_fairy_all_metabat2_short_bin.16	87.65	4.06	Neural Network (Specific Model)	11	0.885	15669	298.23037747153984	3368707	0.62	3338	334	63459	None
SRR19064410_fairy_all_metabat2_short_bin.17	79.78	3.31	Neural Network (Specific Model)	11	0.876	8065	289.2172972972973	3657008	0.51	3700	590	31436	None
SRR19064410_fairy_all_metabat2_short_bin.18	89.18	0.63	Gradient Boost (General Model)	11	0.869	10185	286.75720789074353	1954878	0.61	1977	277	41195	None
SRR19064410_fairy_all_metabat2_short_bin.19	9.63	0.0	Neural Network (Specific Model)	11	0.882	2380	246.3673469387755	409522	0.63	490	177	6301	None
SRR19064410_fairy_all_metabat2_short_bin.2	8.2	0.0	Neural Network (Specific Model)	11	0.881	246620	290.508	246620	0.45	250	1	246620	None
SRR19064410_fairy_all_metabat2_short_bin.20	96.29	0.64	Gradient Boost (General Model)	11	0.892	15403	325.44897959183675	2514288	0.49	2303	235	63271	None
SRR19064410_fairy_all_metabat2_short_bin.21	100.0	3.49	Neural Network (Specific Model)	11	0.898	89166	351.4458272327965	4804368	0.42	4098	96	271395	None
SRR19064410_fairy_all_metabat2_short_bin.22	92.47	0.76	Neural Network (Specific Model)	11	0.881	13253	282.73143619386394	2161453	0.62	2249	239	49562	None
SRR19064410_fairy_all_metabat2_short_bin.23	25.6	2.14	Neural Network (Specific Model)	11	0.898	8581	273.2128362435111	1927045	0.47	2119	348	90598	None
SRR19064410_fairy_all_metabat2_short_bin.24	15.43	0.42	Neural Network (Specific Model)	11	0.922	3153	258.6090534979424	407316	0.42	486	133	35396	None
SRR19064410_fairy_all_metabat2_short_bin.3	94.17	5.5	Neural Network (Specific Model)	11	0.912	83070	371.2935635792779	3884837	0.47	3185	66	382568	None
SRR19064410_fairy_all_metabat2_short_bin.4	65.48	1.73	Neural Network (Specific Model)	11	0.926	4938	272.6238574040219	1925265	0.47	2188	466	21893	None
SRR19064410_fairy_all_metabat2_short_bin.5	95.97	0.83	Neural Network (Specific Model)	11	0.914	77488	398.0312168188575	6143123	0.42	4709	164	296948	None
SRR19064410_fairy_all_metabat2_short_bin.6	81.21	1.88	Neural Network (Specific Model)	11	0.924	5496	306.45164718384694	1869375	0.38	1882	403	20043	None
SRR19064410_fairy_all_metabat2_short_bin.7	99.6	0.89	Neural Network (Specific Model)	11	0.871	54697	346.30479452054794	2086639	0.6	1752	48	115585	None
SRR19064410_fairy_all_metabat2_short_bin.8	81.09	0.09	Neural Network (Specific Model)	11	0.909	7877	336.47707979626483	1957320	0.43	1767	328	34329	None
SRR19064410_fairy_all_metabat2_short_bin.9	97.61	1.3	Gradient Boost (General Model)	11	0.907	29001	320.6312811980033	3181739	0.47	3005	199	82441	None
