Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
13459	62.8	0.78	Neural Network (Specific Model)	11	0.945	3961	349.5864933188877	3065705	0.43	2769	1097	23427	None
17573	51.18	0.12	Neural Network (Specific Model)	11	0.914	3052	265.3346456692913	1323570	0.5	1524	602	12627	None
1759	95.37	0.0	Neural Network (Specific Model)	11	0.917	19417	389.84622671297757	4036015	0.42	3167	326	68268	None
1937	92.54	0.6	Neural Network (Specific Model)	11	0.885	25659	357.99850243354547	3236831	0.41	2671	206	73261	None
20521	5.49	0.0	Neural Network (Specific Model)	11	0.925	9958	333.1116504854369	222105	0.52	206	26	21660	None
20629	4.5	0.0	Neural Network (Specific Model)	11	0.873	11406	314.43589743589746	210229	0.4	195	39	28712	None
227	97.62	0.32	Gradient Boost (General Model)	11	0.892	56281	321.02620545073376	2058077	0.52	1908	58	120281	None
3137	100.0	0.04	Neural Network (Specific Model)	11	0.879	78405	354.16255560048523	2984861	0.57	2473	53	175897	None
3896	89.64	0.43	Neural Network (Specific Model)	11	0.909	65152	365.74324810947064	3346931	0.45	2777	92	199054	None
421	99.71	0.01	Neural Network (Specific Model)	11	0.878	84157	354.978285077951	2176808	0.6	1796	45	230766	None
5036	81.08	1.64	Neural Network (Specific Model)	11	0.902	5264	266.6628797886394	3348377	0.52	3785	916	31675	None
5290	75.61	0.32	Neural Network (Specific Model)	11	0.885	12279	306.6086261980831	1298605	0.47	1252	144	56668	None
5466	16.64	0.04	Neural Network (Specific Model)	11	0.952	3713	291.1862348178138	225972	0.41	247	75	9951	None
608	85.24	3.22	Neural Network (Specific Model)	11	0.892	5448	304.6574352799518	1698198	0.56	1661	431	28990	None
672	99.5	0.2	Neural Network (Specific Model)	11	0.864	78273	319.861334156887	3589466	0.41	3238	69	389201	None
7355	7.64	0.0	Neural Network (Specific Model)	11	0.893	210669	280.82142857142856	210669	0.48	224	1	210669	None
7376	91.69	0.05	Gradient Boost (General Model)	11	0.927	4726	307.76196473551636	1578560	0.39	1588	501	20243	None
769	92.91	0.14	Neural Network (Specific Model)	11	0.913	73001	379.4803587998763	4024865	0.47	3233	88	212284	None
8286	91.79	0.96	Neural Network (Specific Model)	11	0.845	18263	327.8381128584644	2512044	0.39	2162	218	82331	None
8314	77.19	1.83	Neural Network (Specific Model)	11	0.935	4394	281.65836298932385	1520220	0.43	1686	514	27524	None
8878	65.36	0.57	Gradient Boost (General Model)	11	0.904	3400	249.35702569710224	1508136	0.63	1829	596	11468	None
8967	99.96	0.69	Neural Network (Specific Model)	11	0.875	199059	348.61277173913044	1757961	0.63	1472	12	524007	None
