Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR19064415_fairy_single_metabat2_short_bin.1	82.23	7.19	Neural Network (Specific Model)	11	0.922	5417	332.4969165085389	4551845	0.43	4216	1039	25330	None
SRR19064415_fairy_single_metabat2_short_bin.10	22.0	0.01	Neural Network (Specific Model)	11	0.885	38405	382.4617117117117	574908	0.59	444	17	133358	None
SRR19064415_fairy_single_metabat2_short_bin.11	11.62	0.0	Neural Network (Specific Model)	11	0.887	79561	341.1363636363636	380299	0.58	330	6	96647	None
SRR19064415_fairy_single_metabat2_short_bin.12	51.06	0.0	Neural Network (Specific Model)	11	0.878	71044	304.48304307974337	1133494	0.38	1091	32	247096	None
SRR19064415_fairy_single_metabat2_short_bin.13	83.2	3.57	Neural Network (Specific Model)	11	0.872	22532	310.517063081696	2064817	0.59	1934	151	94121	None
SRR19064415_fairy_single_metabat2_short_bin.14	89.88	0.24	Neural Network (Specific Model)	11	0.915	48029	375.0850422195416	4071720	0.47	3316	127	208850	None
SRR19064415_fairy_single_metabat2_short_bin.15	8.09	0.0	Neural Network (Specific Model)	11	0.886	63876	336.27853881278537	248864	0.45	219	5	70309	None
SRR19064415_fairy_single_metabat2_short_bin.16	9.74	0.0	Neural Network (Specific Model)	11	0.883	76381	353.90829694323145	274749	0.57	229	6	76932	None
SRR19064415_fairy_single_metabat2_short_bin.17	38.05	0.69	Neural Network (Specific Model)	11	0.845	8824	278.6085319949812	787534	0.41	797	131	34586	None
SRR19064415_fairy_single_metabat2_short_bin.18	31.98	0.03	Neural Network (Specific Model)	11	0.901	606827	332.43969465648854	724091	0.51	655	2	606827	None
SRR19064415_fairy_single_metabat2_short_bin.19	97.07	0.14	Neural Network (Specific Model)	11	0.85	14171	325.45223811721274	2485623	0.56	2167	255	61927	None
SRR19064415_fairy_single_metabat2_short_bin.2	41.73	0.28	Neural Network (Specific Model)	11	0.931	3422	297.3484555984556	1978339	0.47	2072	631	9881	None
SRR19064415_fairy_single_metabat2_short_bin.20	99.99	0.3	Neural Network (Specific Model)	11	0.886	55122	297.8574610244989	1809113	0.39	1796	73	205756	None
SRR19064415_fairy_single_metabat2_short_bin.21	54.47	0.13	Gradient Boost (General Model)	11	0.858	103299	326.8684931506849	832903	0.5	730	10	231521	None
SRR19064415_fairy_single_metabat2_short_bin.22	12.5	0.01	Neural Network (Specific Model)	11	0.887	70126	366.47017543859647	352926	0.59	285	10	108646	None
SRR19064415_fairy_single_metabat2_short_bin.23	58.88	0.15	Gradient Boost (General Model)	11	0.887	101522	316.07772621809744	920122	0.61	862	12	248713	None
SRR19064415_fairy_single_metabat2_short_bin.24	49.44	0.01	Neural Network (Specific Model)	11	0.89	158447	335.86138613861385	1256679	0.51	1111	12	205000	None
SRR19064415_fairy_single_metabat2_short_bin.25	65.93	0.37	Gradient Boost (General Model)	11	0.92	4742	275.48158131177	1993302	0.63	2226	478	61600	None
SRR19064415_fairy_single_metabat2_short_bin.26	40.49	1.73	Neural Network (Specific Model)	11	0.918	2996	276.6858345021038	1284604	0.42	1426	441	13281	None
SRR19064415_fairy_single_metabat2_short_bin.27	16.45	0.0	Neural Network (Specific Model)	11	0.862	124366	335.26116838487974	339094	0.49	291	4	131358	None
SRR19064415_fairy_single_metabat2_short_bin.28	84.86	5.01	Neural Network (Specific Model)	11	0.907	4095	271.5889846384414	2391620	0.33	2669	674	22624	None
SRR19064415_fairy_single_metabat2_short_bin.29	55.72	0.13	Neural Network (Specific Model)	11	0.881	89911	317.9305785123967	1307163	0.53	1210	33	160427	None
SRR19064415_fairy_single_metabat2_short_bin.3	8.97	0.0	Neural Network (Specific Model)	11	0.901	3295	278.17578125	236311	0.6	256	73	10403	None
SRR19064415_fairy_single_metabat2_short_bin.30	43.34	9.85	Neural Network (Specific Model)	11	0.857	6421	274.0237762237762	1368536	0.4	1430	264	45069	None
SRR19064415_fairy_single_metabat2_short_bin.31	32.1	0.33	Neural Network (Specific Model)	11	0.903	2904	231.38724911452184	647985	0.51	847	234	10965	None
SRR19064415_fairy_single_metabat2_short_bin.32	7.6	0.0	Neural Network (Specific Model)	11	0.857	26130	305.4263157894737	202848	0.53	190	11	80418	None
SRR19064415_fairy_single_metabat2_short_bin.33	65.97	1.12	Neural Network (Specific Model)	11	0.881	33641	331.63849765258215	1922241	0.46	1704	91	102603	None
SRR19064415_fairy_single_metabat2_short_bin.34	40.93	0.64	Neural Network (Specific Model)	11	0.935	3111	305.6558396682792	1415841	0.48	1447	471	12762	None
SRR19064415_fairy_single_metabat2_short_bin.35	69.94	2.92	Gradient Boost (General Model)	11	0.91	6128	292.3257606490872	2369542	0.61	2465	512	25544	None
SRR19064415_fairy_single_metabat2_short_bin.36	61.87	0.36	Gradient Boost (General Model)	11	0.894	28994	310.01829753381065	1305272	0.63	1257	71	109777	None
SRR19064415_fairy_single_metabat2_short_bin.37	28.76	0.01	Neural Network (Specific Model)	11	0.891	23650	329.0703125	566763	0.61	512	47	71774	None
SRR19064415_fairy_single_metabat2_short_bin.38	61.81	0.79	Neural Network (Specific Model)	11	0.922	3816	315.91220320265046	1855929	0.45	1811	543	14641	None
SRR19064415_fairy_single_metabat2_short_bin.39	95.55	0.32	Gradient Boost (General Model)	11	0.89	61438	309.5604719764012	1765523	0.54	1695	50	170923	None
SRR19064415_fairy_single_metabat2_short_bin.4	11.6	0.0	Neural Network (Specific Model)	11	0.884	3579	248.8908188585608	338910	0.54	403	101	10021	None
SRR19064415_fairy_single_metabat2_short_bin.40	97.76	46.58	Neural Network (Specific Model)	11	0.888	7877	309.97425997425995	6498057	0.43	6216	1186	68226	None
SRR19064415_fairy_single_metabat2_short_bin.41	7.55	0.0	Neural Network (Specific Model)	11	0.853	114837	286.775	201483	0.52	200	3	114837	None
SRR19064415_fairy_single_metabat2_short_bin.42	13.42	0.0	Neural Network (Specific Model)	11	0.864	92732	347.464824120603	479648	0.58	398	10	117047	None
SRR19064415_fairy_single_metabat2_short_bin.43	99.96	0.27	Neural Network (Specific Model)	11	0.868	102166	332.42071984435796	2356947	0.56	2056	31	235387	None
SRR19064415_fairy_single_metabat2_short_bin.44	8.33	0.0	Neural Network (Specific Model)	11	0.886	5516	256.1670644391408	361541	0.54	419	78	20363	None
SRR19064415_fairy_single_metabat2_short_bin.45	8.32	0.13	Neural Network (Specific Model)	11	0.843	6662	259.11764705882354	297397	0.36	323	57	19560	None
SRR19064415_fairy_single_metabat2_short_bin.46	16.3	0.0	Neural Network (Specific Model)	11	0.87	70433	354.84501061571126	575630	0.59	471	15	127618	None
SRR19064415_fairy_single_metabat2_short_bin.47	50.94	1.32	Neural Network (Specific Model)	11	0.856	31193	326.47953830010493	1089188	0.6	953	65	93933	None
SRR19064415_fairy_single_metabat2_short_bin.48	16.33	0.0	Neural Network (Specific Model)	11	0.899	267650	315.7559523809524	529633	0.58	504	8	267650	None
SRR19064415_fairy_single_metabat2_short_bin.49	92.97	61.98	Neural Network (Specific Model)	11	0.91	3795	270.7348714568227	6751002	0.43	7585	1949	26641	None
SRR19064415_fairy_single_metabat2_short_bin.5	34.66	0.02	Neural Network (Specific Model)	11	0.908	3220	249.77001013171227	812322	0.61	987	269	10068	None
SRR19064415_fairy_single_metabat2_short_bin.50	13.55	0.01	Neural Network (Specific Model)	11	0.893	172115	309.66445182724254	312630	0.61	301	5	172115	None
SRR19064415_fairy_single_metabat2_short_bin.51	65.58	1.44	Neural Network (Specific Model)	11	0.874	6301	293.3312577833126	1612274	0.6	1606	332	30547	None
SRR19064415_fairy_single_metabat2_short_bin.52	22.63	0.0	Neural Network (Specific Model)	11	0.861	268199	311.566757493188	398058	0.48	367	3	268199	None
SRR19064415_fairy_single_metabat2_short_bin.53	29.61	0.18	Neural Network (Specific Model)	11	0.864	53433	316.3980582524272	565266	0.4	515	16	100964	None
SRR19064415_fairy_single_metabat2_short_bin.54	96.26	0.87	Neural Network (Specific Model)	11	0.87	33029	318.50843253968253	2211076	0.55	2016	87	180869	None
SRR19064415_fairy_single_metabat2_short_bin.55	21.64	0.16	Neural Network (Specific Model)	11	0.952	2485	269.2708803611738	374519	0.35	443	154	8299	None
SRR19064415_fairy_single_metabat2_short_bin.56	82.14	1.12	Neural Network (Specific Model)	11	0.883	51559	344.04322200392926	1781882	0.6	1527	70	97738	None
SRR19064415_fairy_single_metabat2_short_bin.57	100.0	7.79	Neural Network (Specific Model)	11	0.893	25513	337.8537581699346	5546433	0.42	4896	385	120148	None
