Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR3414578_strobealign_single_metabat2_short_bin.1	80.81	0.2	Gradient Boost (General Model)	11	0.845	17227	297.239555790587	1991604	0.58	1891	163	77910	None
ERR3414578_strobealign_single_metabat2_short_bin.10	47.76	0.02	Neural Network (Specific Model)	11	0.94	188336	329.05386740331494	758108	0.34	724	6	224238	None
ERR3414578_strobealign_single_metabat2_short_bin.100	19.55	0.0	Neural Network (Specific Model)	11	0.913	99774	340.6839378238342	431005	0.51	386	11	150375	None
ERR3414578_strobealign_single_metabat2_short_bin.101	81.5	0.41	Gradient Boost (General Model)	11	0.905	41179	325.5890218156228	1530628	0.57	1421	57	75553	None
ERR3414578_strobealign_single_metabat2_short_bin.102	20.65	0.1	Neural Network (Specific Model)	11	0.881	101750	341.94871794871796	679848	0.57	585	16	148360	None
ERR3414578_strobealign_single_metabat2_short_bin.103	47.21	0.0	Neural Network (Specific Model)	11	0.87	111197	315.86190917516217	1173578	0.57	1079	17	232491	None
ERR3414578_strobealign_single_metabat2_short_bin.104	20.05	0.11	Neural Network (Specific Model)	11	0.875	112753	334.9522776572668	528696	0.56	461	10	175473	None
ERR3414578_strobealign_single_metabat2_short_bin.105	16.1	0.0	Neural Network (Specific Model)	11	0.88	182701	320.5125	349104	0.48	320	3	182701	None
ERR3414578_strobealign_single_metabat2_short_bin.106	95.12	35.45	Gradient Boost (General Model)	11	0.874	10466	261.53752370631264	3306585	0.28	3691	477	70620	None
ERR3414578_strobealign_single_metabat2_short_bin.107	28.23	0.05	Neural Network (Specific Model)	11	0.873	76508	374.77842003853567	667718	0.48	519	16	172293	None
ERR3414578_strobealign_single_metabat2_short_bin.108	5.59	0.24	Neural Network (Specific Model)	11	0.875	5641	254.6867469879518	216197	0.47	249	45	27789	None
ERR3414578_strobealign_single_metabat2_short_bin.109	34.12	1.87	Neural Network (Specific Model)	11	0.892	66694	323.5125673249551	1210730	0.59	1114	29	103598	None
ERR3414578_strobealign_single_metabat2_short_bin.11	22.4	1.25	Neural Network (Specific Model)	11	0.87	13232	242.76605504587155	1090626	0.41	1308	129	125237	None
ERR3414578_strobealign_single_metabat2_short_bin.110	69.12	0.57	Neural Network (Specific Model)	11	0.882	92974	330.3463126843658	1901114	0.62	1695	36	267473	None
ERR3414578_strobealign_single_metabat2_short_bin.111	97.9	3.74	Neural Network (Specific Model)	11	0.906	83402	305.20197740112997	2856175	0.43	2832	62	255422	None
ERR3414578_strobealign_single_metabat2_short_bin.112	41.67	0.08	Gradient Boost (General Model)	11	0.912	193988	334.2800453514739	968719	0.47	882	10	398840	None
