Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR3414582_bwa_single_metabat2_short_bin.1	91.78	0.05	Gradient Boost (General Model)	11	0.879	56481	328.9638157894737	1022850	0.36	912	27	169735	None
ERR3414582_bwa_single_metabat2_short_bin.10	96.59	1.54	Gradient Boost (General Model)	11	0.883	48392	319.9370412196499	3843116	0.46	3542	134	149893	None
ERR3414582_bwa_single_metabat2_short_bin.100	98.37	0.04	Gradient Boost (General Model)	11	0.898	94610	332.59514170040484	2465588	0.52	2223	37	286918	None
ERR3414582_bwa_single_metabat2_short_bin.101	93.66	0.31	Gradient Boost (General Model)	11	0.917	80681	316.24242424242425	2690501	0.49	2607	76	231446	None
ERR3414582_bwa_single_metabat2_short_bin.102	6.72	0.0	Neural Network (Specific Model)	11	0.875	171656	241.89240506329114	261328	0.52	316	2	171656	None
ERR3414582_bwa_single_metabat2_short_bin.103	93.63	0.11	Gradient Boost (General Model)	11	0.846	19578	292.67580803134183	2116881	0.57	2042	164	63542	None
ERR3414582_bwa_single_metabat2_short_bin.104	11.15	0.03	Neural Network (Specific Model)	11	0.913	2357	247.96153846153845	379752	0.62	468	157	11154	None
ERR3414582_bwa_single_metabat2_short_bin.105	6.12	0.01	Neural Network (Specific Model)	11	0.856	16299	260.489898989899	360340	0.52	396	35	34743	None
ERR3414582_bwa_single_metabat2_short_bin.106	8.32	0.24	Neural Network (Specific Model)	11	0.901	12916	293.5878378378378	288740	0.45	296	37	38587	None
ERR3414582_bwa_single_metabat2_short_bin.107	76.87	1.08	Gradient Boost (General Model)	11	0.829	19807	294.23927648578814	2057885	0.63	1935	161	87445	None
ERR3414582_bwa_single_metabat2_short_bin.108	85.89	9.1	Gradient Boost (General Model)	11	0.881	24163	321.33801629671257	3885958	0.52	3559	261	123480	None
ERR3414582_bwa_single_metabat2_short_bin.109	24.88	0.09	Neural Network (Specific Model)	11	0.884	49595	363.54418604651164	529630	0.48	430	18	132703	None
ERR3414582_bwa_single_metabat2_short_bin.11	16.88	0.02	Neural Network (Specific Model)	11	0.912	411342	342.78552971576227	435504	0.55	387	2	411342	None
ERR3414582_bwa_single_metabat2_short_bin.110	9.61	0.0	Neural Network (Specific Model)	11	0.896	167311	324.5223880597015	290523	0.53	268	3	167311	None
ERR3414582_bwa_single_metabat2_short_bin.111	5.18	0.0	Neural Network (Specific Model)	11	0.865	40885	290.5365853658537	206185	0.55	205	7	90294	None
ERR3414582_bwa_single_metabat2_short_bin.112	98.62	99.36	Gradient Boost (General Model)	11	0.873	44439	278.8213901827302	5334730	0.28	5582	225	212271	None
ERR3414582_bwa_single_metabat2_short_bin.113	85.85	0.17	Neural Network (Specific Model)	11	0.886	131488	358.4832567301379	1846561	0.64	1523	26	287255	None
ERR3414582_bwa_single_metabat2_short_bin.114	62.91	4.36	Gradient Boost (General Model)	11	0.885	20751	288.347022587269	1424228	0.28	1461	116	69942	None
