Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR3414585_fairy_all_metabat2_short_bin.1	62.75	1.25	Gradient Boost (General Model)	11	0.864	3353	264.8962510897995	1052298	0.28	1147	331	18534	None
ERR3414585_fairy_all_metabat2_short_bin.10	7.63	0.09	Neural Network (Specific Model)	11	0.874	79570	296.84232365145226	244869	0.59	241	4	87901	None
ERR3414585_fairy_all_metabat2_short_bin.100	94.96	3.14	Gradient Boost (General Model)	11	0.892	127138	307.07441348973606	2812752	0.61	2728	38	411396	None
ERR3414585_fairy_all_metabat2_short_bin.101	92.84	0.09	Neural Network (Specific Model)	11	0.876	85201	314.0320315928039	2446273	0.62	2279	49	181274	None
ERR3414585_fairy_all_metabat2_short_bin.102	78.11	0.18	Gradient Boost (General Model)	11	0.838	14357	290.4922383575363	2075427	0.63	1997	256	73023	None
ERR3414585_fairy_all_metabat2_short_bin.103	18.45	0.0	Neural Network (Specific Model)	11	0.881	240087	328.2785145888594	420778	0.53	377	7	240087	None
ERR3414585_fairy_all_metabat2_short_bin.104	8.01	0.05	Neural Network (Specific Model)	11	0.858	70305	280.45487364620936	271155	0.42	277	8	79244	None
ERR3414585_fairy_all_metabat2_short_bin.105	93.22	0.01	Neural Network (Specific Model)	11	0.835	62718	286.0698856416773	2421692	0.45	2361	64	165184	None
ERR3414585_fairy_all_metabat2_short_bin.106	93.93	1.21	Gradient Boost (General Model)	11	0.891	30330	308.12300319488816	2592340	0.61	2504	139	116902	None
ERR3414585_fairy_all_metabat2_short_bin.107	28.07	0.07	Neural Network (Specific Model)	11	0.848	431818	334.5359765051395	804393	0.61	681	7	431818	None
ERR3414585_fairy_all_metabat2_short_bin.108	98.33	0.0	Gradient Boost (General Model)	11	0.864	179871	349.2207293666027	1893165	0.51	1563	20	436694	None
ERR3414585_fairy_all_metabat2_short_bin.109	28.16	0.1	Neural Network (Specific Model)	11	0.91	149220	362.90852130325817	953144	0.46	798	7	408372	None
ERR3414585_fairy_all_metabat2_short_bin.11	40.31	0.0	Neural Network (Specific Model)	11	0.882	113424	314.9097127222982	782127	0.56	731	14	198901	None
ERR3414585_fairy_all_metabat2_short_bin.110	89.97	1.15	Neural Network (Specific Model)	11	0.886	90755	308.6217750257998	2020728	0.53	1938	43	268755	None
ERR3414585_fairy_all_metabat2_short_bin.111	95.16	0.17	Gradient Boost (General Model)	11	0.83	7703	300.30422535211267	2308298	0.6	2130	377	82800	None
ERR3414585_fairy_all_metabat2_short_bin.112	85.76	0.0	Gradient Boost (General Model)	11	0.877	113038	330.56599861783	1634088	0.57	1447	26	257227	None
ERR3414585_fairy_all_metabat2_short_bin.113	85.63	1.49	Neural Network (Specific Model)	11	0.881	24723	320.1900322696307	3033808	0.54	2789	182	92181	None
ERR3414585_fairy_all_metabat2_short_bin.114	68.65	0.41	Neural Network (Specific Model)	11	0.879	5458	258.48472983555206	1124038	0.41	1277	239	46262	None
ERR3414585_fairy_all_metabat2_short_bin.115	8.16	0.01	Neural Network (Specific Model)	11	0.884	79742	322.99041533546324	342261	0.51	313	4	166635	None
ERR3414585_fairy_all_metabat2_short_bin.116	29.3	0.02	Neural Network (Specific Model)	11	0.817	112437	324.9066852367688	854661	0.52	718	12	253615	None
ERR3414585_fairy_all_metabat2_short_bin.117	95.46	0.62	Gradient Boost (General Model)	11	0.906	95047	335.2646711303663	2811906	0.52	2539	53	220785	None
ERR3414585_fairy_all_metabat2_short_bin.118	19.39	0.0	Neural Network (Specific Model)	11	0.867	44059	307.43575418994413	569910	0.52	537	16	144511	None
ERR3414585_fairy_all_metabat2_short_bin.119	97.45	0.2	Gradient Boost (General Model)	11	0.905	142477	338.9576198630137	2618658	0.53	2336	46	286628	None
ERR3414585_fairy_all_metabat2_short_bin.12	5.61	0.0	Neural Network (Specific Model)	11	0.874	126974	302.57004830917873	214187	0.54	207	2	126974	None
ERR3414585_fairy_all_metabat2_short_bin.120	29.53	0.0	Neural Network (Specific Model)	11	0.879	197450	315.1301169590643	734582	0.55	684	7	233080	None
ERR3414585_fairy_all_metabat2_short_bin.121	85.21	1.24	Neural Network (Specific Model)	11	0.878	46155	298.7700205338809	2480365	0.65	2435	84	152195	None
ERR3414585_fairy_all_metabat2_short_bin.122	7.55	0.0	Neural Network (Specific Model)	11	0.831	150073	265.5088495575221	215551	0.55	226	3	150073	None
ERR3414585_fairy_all_metabat2_short_bin.123	6.59	0.18	Neural Network (Specific Model)	11	0.891	78500	266.8089552238806	300157	0.43	335	8	84663	None
ERR3414585_fairy_all_metabat2_short_bin.124	75.69	0.08	Neural Network (Specific Model)	11	0.889	12224	290.63056321386375	2485018	0.59	2539	289	75925	None
ERR3414585_fairy_all_metabat2_short_bin.125	6.62	0.0	Neural Network (Specific Model)	11	0.872	79545	239.2588996763754	253710	0.52	309	4	92109	None
ERR3414585_fairy_all_metabat2_short_bin.126	67.91	0.01	Gradient Boost (General Model)	11	0.881	52834	331.22429305912596	1753596	0.62	1556	54	141084	None
ERR3414585_fairy_all_metabat2_short_bin.127	7.3	0.0	Neural Network (Specific Model)	11	0.843	54165	319.5477941176471	308817	0.59	272	13	65641	None
ERR3414585_fairy_all_metabat2_short_bin.128	42.76	0.92	Neural Network (Specific Model)	11	0.87	73169	311.09944237918216	1151534	0.56	1076	30	138483	None
ERR3414585_fairy_all_metabat2_short_bin.129	21.69	0.04	Neural Network (Specific Model)	11	0.887	54076	337.8843648208469	700369	0.57	614	22	136630	None
ERR3414585_fairy_all_metabat2_short_bin.13	100.0	0.25	Gradient Boost (General Model)	11	0.844	109054	335.5984455958549	1839347	0.52	1544	37	164578	None
ERR3414585_fairy_all_metabat2_short_bin.130	99.99	0.29	Gradient Boost (General Model)	11	0.89	40844	331.22594142259413	1065829	0.28	956	33	171942	None
ERR3414585_fairy_all_metabat2_short_bin.131	99.37	0.15	Neural Network (Specific Model)	11	0.919	58340	320.3895116092874	2605870	0.49	2498	65	182329	None
ERR3414585_fairy_all_metabat2_short_bin.132	95.16	0.6	Neural Network (Specific Model)	11	0.891	53850	330.7331154684096	3059254	0.51	2754	90	151353	None
ERR3414585_fairy_all_metabat2_short_bin.133	46.97	0.29	Neural Network (Specific Model)	11	0.892	39487	294.2107995846314	951554	0.36	963	38	132503	None
ERR3414585_fairy_all_metabat2_short_bin.134	90.69	1.21	Gradient Boost (General Model)	11	0.882	31789	319.4100475220638	3193669	0.47	2946	171	110339	None
ERR3414585_fairy_all_metabat2_short_bin.135	95.49	0.0	Neural Network (Specific Model)	11	0.884	44998	328.93438735177864	2818144	0.47	2530	105	126742	None
ERR3414585_fairy_all_metabat2_short_bin.136	99.99	0.31	Neural Network (Specific Model)	11	0.86	54670	325.90272199910754	2542666	0.54	2241	96	153334	None
ERR3414585_fairy_all_metabat2_short_bin.137	68.3	3.95	Gradient Boost (General Model)	11	0.901	41665	292.66434010152284	1532750	0.31	1576	58	95922	None
