Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SemiBin_0.fa	96.73	1.06	Gradient Boost (General Model)	11	0.834	173253	282.1572192513369	1894101	0.31	1870	66	426109	None
SemiBin_1.fa	98.95	2.96	Gradient Boost (General Model)	11	0.88	76076	290.8328428487346	1679641	0.47	1699	45	228527	None
SemiBin_11.fa	81.72	0.76	Gradient Boost (General Model)	11	0.818	11992	220.62152777777777	1394642	0.42	1728	141	41801	None
SemiBin_13.fa	19.89	9.66	Neural Network (Specific Model)	11	0.86	7607	183.80495603517187	1595259	0.49	2502	258	39100	None
SemiBin_14.fa	75.93	0.09	Gradient Boost (General Model)	11	0.876	10921	272.8079268292683	917522	0.48	984	118	38573	None
SemiBin_15.fa	84.39	0.73	Gradient Boost (General Model)	11	0.848	7074	258.8782816229117	1914014	0.4	2095	318	32929	None
SemiBin_16.fa	65.42	0.15	Gradient Boost (General Model)	11	0.849	7435	256.94177449168205	980122	0.49	1082	149	30907	None
SemiBin_17.fa	16.46	2.61	Neural Network (Specific Model)	11	0.844	7488	250.91994750656167	678207	0.33	762	118	24209	None
SemiBin_18.fa	7.05	0.37	Neural Network (Specific Model)	11	0.871	4687	175.17915904936015	657173	0.48	1094	142	22127	None
SemiBin_19.fa	72.7	1.09	Gradient Boost (General Model)	11	0.867	6127	243.17123935666982	886921	0.46	1057	163	21147	None
SemiBin_2.fa	92.96	0.44	Gradient Boost (General Model)	11	0.888	38436	256.79333333333335	1168222	0.5	1350	63	160361	None
SemiBin_21.fa	5.62	0.28	Neural Network (Specific Model)	11	0.884	4263	162.53518821603927	335434	0.48	611	77	16617	None
SemiBin_23.fa	23.49	1.14	Neural Network (Specific Model)	11	0.854	4806	290.1271788250484	1575833	0.48	1549	339	15589	None
SemiBin_26.fa	51.83	0.06	Gradient Boost (General Model)	11	0.872	5043	280.19100091827363	1047105	0.47	1089	216	12587	None
SemiBin_27.fa	7.0	0.03	Neural Network (Specific Model)	11	0.817	5286	239.12413793103448	254285	0.35	290	54	12519	None
SemiBin_3.fa	96.17	1.33	Gradient Boost (General Model)	11	0.87	37883	272.9194915254237	1994079	0.48	2124	98	139970	None
SemiBin_35.fa	6.1	0.01	Neural Network (Specific Model)	11	0.845	4147	291.8538961038961	318551	0.45	308	79	8255	None
SemiBin_37.fa	3.86	0.01	Neural Network (Specific Model)	11	0.87	4102	196.93525179856115	282287	0.47	417	72	7801	None
SemiBin_4.fa	77.45	2.41	Gradient Boost (General Model)	11	0.836	14486	295.757909215956	1540090	0.34	1454	173	75960	None
SemiBin_5.fa	32.6	1.85	Neural Network (Specific Model)	11	0.87	10479	255.40594059405942	710223	0.47	808	88	30839	None
SemiBin_6.fa	78.36	21.94	Gradient Boost (General Model)	11	0.889	6350	258.57894736842104	1141085	0.47	1311	189	66541	None
SemiBin_7.fa	90.61	31.09	Gradient Boost (General Model)	11	0.887	13590	260.3239371534196	1899935	0.46	2164	242	63141	None
SemiBin_8.fa	16.29	11.43	Neural Network (Specific Model)	11	0.869	7153	204.56223175965664	1145913	0.48	1631	185	55493	None
SemiBin_9.fa	89.01	0.36	Gradient Boost (General Model)	11	0.862	14379	273.828313253012	1262755	0.47	1328	135	51735	None
