Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
maxbin_3414590.001	6.18	0.04	Neural Network (Specific Model)	11	0.875	6580	266.2832861189802	320863	0.52	353	68	20413	None
maxbin_3414590.002	91.7	0.52	Neural Network (Specific Model)	11	0.875	17224	324.3625668449198	2076325	0.65	1870	227	84679	None
maxbin_3414590.003	6.13	0.02	Neural Network (Specific Model)	11	0.839	31227	281.4278215223097	382483	0.37	381	37	80512	None
maxbin_3414590.004	36.73	0.02	Neural Network (Specific Model)	11	0.901	16151	312.15766164747566	1170701	0.53	1129	125	63998	None
maxbin_3414590.005	74.99	0.14	Neural Network (Specific Model)	11	0.863	48602	313.4030487804878	1785119	0.62	1640	61	122206	None
maxbin_3414590.006	45.63	0.79	Neural Network (Specific Model)	11	0.917	11019	301.0854838709677	1218756	0.54	1240	153	38547	None
maxbin_3414590.007	6.76	0.03	Neural Network (Specific Model)	11	0.861	5638	227.69774011299435	279828	0.46	354	63	37987	None
maxbin_3414590.008	27.46	0.16	Neural Network (Specific Model)	11	0.874	58123	307.5343787696019	873615	0.57	829	46	122278	None
maxbin_3414590.009	6.83	0.06	Neural Network (Specific Model)	11	0.853	10717	283.15492957746477	282151	0.52	284	48	37559	None
maxbin_3414590.010	12.25	0.15	Neural Network (Specific Model)	11	0.861	12930	246.74265734265734	612533	0.4	715	90	61882	None
maxbin_3414590.011	99.84	0.58	Neural Network (Specific Model)	11	0.891	67104	323.965649985194	3675086	0.46	3377	108	254563	None
maxbin_3414590.012	9.16	0.09	Neural Network (Specific Model)	11	0.879	5846	244.42714570858283	415877	0.51	501	96	54897	None
maxbin_3414590.013	93.04	0.13	Neural Network (Specific Model)	11	0.858	73060	327.05536912751677	2721602	0.64	2384	60	431365	None
maxbin_3414590.014	24.58	0.94	Neural Network (Specific Model)	11	0.872	11134	250.86275862068965	1248167	0.42	1450	195	88745	None
maxbin_3414590.015	47.51	2.06	Gradient Boost (General Model)	11	0.87	73029	315.11970260223046	1458384	0.57	1345	63	138617	None
maxbin_3414590.016	82.29	1.61	Neural Network (Specific Model)	11	0.914	6917	278.672131147541	2279668	0.47	2501	406	38833	None
maxbin_3414590.017	13.78	0.95	Neural Network (Specific Model)	11	0.876	10469	249.34023285899093	658057	0.47	773	113	61156	None
maxbin_3414590.018	59.19	0.3	Neural Network (Specific Model)	11	0.877	61638	307.4529791816224	1461570	0.54	1393	73	149842	None
maxbin_3414590.019	6.07	0.03	Neural Network (Specific Model)	11	0.88	4665	245.07553956834533	231422	0.32	278	49	31303	None
maxbin_3414590.020	34.57	2.73	Neural Network (Specific Model)	11	0.877	44346	306.8812785388128	918941	0.63	876	53	101808	None
maxbin_3414590.021	74.48	21.43	Neural Network (Specific Model)	11	0.881	6821	276.38326778691453	2627650	0.66	2797	518	36405	None
maxbin_3414590.022	17.8	1.07	Neural Network (Specific Model)	11	0.871	8858	259.7589605734767	994817	0.45	1116	188	64866	None
maxbin_3414590.023	97.06	33.47	Gradient Boost (General Model)	11	0.859	16770	292.2001055966209	3861924	0.62	3788	447	93728	None
maxbin_3414590.024	27.37	3.23	Neural Network (Specific Model)	11	0.869	11429	260.76503006012024	1792182	0.55	1996	292	96774	None
maxbin_3414590.025	99.89	0.13	Neural Network (Specific Model)	11	0.844	149973	320.9786710418376	2770333	0.59	2438	40	396434	None
maxbin_3414590.026	73.77	1.57	Gradient Boost (General Model)	11	0.862	7783	276.10993657505287	1815703	0.58	1892	315	23349	None
