Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR6869036_fairy_single_metabat2_short_bin.1	8.23	0.0	Neural Network (Specific Model)	11	0.874	4529	304.41632653061225	255437	0.53	245	59	10396	None
SRR6869036_fairy_single_metabat2_short_bin.10	6.69	0.0	Neural Network (Specific Model)	11	0.903	1822	237.2603550295858	265888	0.69	338	140	5157	None
SRR6869036_fairy_single_metabat2_short_bin.11	18.08	0.0	Neural Network (Specific Model)	11	0.889	12804	287.09150326797385	592224	0.67	612	69	33831	None
SRR6869036_fairy_single_metabat2_short_bin.12	12.92	0.02	Neural Network (Specific Model)	11	0.905	2016	250.10730088495575	748497	0.72	904	368	5178	None
SRR6869036_fairy_single_metabat2_short_bin.13	27.16	0.81	Neural Network (Specific Model)	11	0.912	2685	229.42884371029226	1184571	0.71	1574	452	12077	None
SRR6869036_fairy_single_metabat2_short_bin.14	99.01	47.9	Gradient Boost (General Model)	11	0.915	2719	251.52568720379148	8678926	0.69	10550	3144	36846	None
SRR6869036_fairy_single_metabat2_short_bin.15	89.8	42.91	Gradient Boost (General Model)	11	0.904	11311	300.6588850174216	5713749	0.71	5740	707	51421	None
SRR6869036_fairy_single_metabat2_short_bin.16	69.19	1.37	Gradient Boost (General Model)	11	0.915	9180	286.2919824491424	2345773	0.69	2507	368	52852	None
SRR6869036_fairy_single_metabat2_short_bin.17	66.46	3.67	Gradient Boost (General Model)	11	0.921	5919	277.50461647727275	2539295	0.67	2816	510	48216	None
SRR6869036_fairy_single_metabat2_short_bin.18	46.65	0.0	Gradient Boost (General Model)	11	0.704	45543	214.37610619469027	206403	0.27	226	5	77549	None
SRR6869036_fairy_single_metabat2_short_bin.19	30.8	0.02	Neural Network (Specific Model)	11	0.88	4899	324.311986863711	1344745	0.56	1218	293	13386	None
SRR6869036_fairy_single_metabat2_short_bin.2	68.76	11.44	Neural Network (Specific Model)	11	0.856	4796	280.30074155451797	3571669	0.51	3641	801	17628	None
SRR6869036_fairy_single_metabat2_short_bin.20	34.16	1.05	Neural Network (Specific Model)	11	0.862	2313	282.0557563242127	1896823	0.67	1937	812	7852	None
SRR6869036_fairy_single_metabat2_short_bin.21	56.84	2.37	Neural Network (Specific Model)	11	0.893	10328	284.3486982501067	2235409	0.66	2343	314	50842	None
SRR6869036_fairy_single_metabat2_short_bin.22	74.42	41.77	Gradient Boost (General Model)	11	0.913	6869	275.9361658456486	4403816	0.67	4872	815	40543	None
SRR6869036_fairy_single_metabat2_short_bin.23	51.89	5.91	Gradient Boost (General Model)	11	0.901	4241	313.3590844062947	2912444	0.64	2796	754	24409	None
SRR6869036_fairy_single_metabat2_short_bin.24	58.23	8.5	Gradient Boost (General Model)	11	0.921	4879	271.1830422125182	2423101	0.66	2748	577	32222	None
SRR6869036_fairy_single_metabat2_short_bin.25	64.98	5.07	Gradient Boost (General Model)	11	0.892	5164	309.5601305548581	4143165	0.68	3983	951	27910	None
SRR6869036_fairy_single_metabat2_short_bin.26	4.85	116.02	Neural Network (Specific Model)	11	0.811	8438	269.27767145591133	34815949	0.39	35009	5470	99204	None
SRR6869036_fairy_single_metabat2_short_bin.27	75.4	1.8	Gradient Boost (General Model)	11	0.88	7098	298.3340557275542	3283191	0.73	3230	581	40764	None
SRR6869036_fairy_single_metabat2_short_bin.28	95.42	0.75	Neural Network (Specific Model)	11	0.913	45854	303.41522294802616	3505522	0.72	3521	148	198721	None
SRR6869036_fairy_single_metabat2_short_bin.29	84.5	2.82	Gradient Boost (General Model)	11	0.905	17505	304.56127831213155	3248537	0.68	3223	257	63931	None
SRR6869036_fairy_single_metabat2_short_bin.3	24.42	1.27	Neural Network (Specific Model)	11	0.905	2647	257.87569761542363	1682804	0.72	1971	586	62976	None
SRR6869036_fairy_single_metabat2_short_bin.30	83.15	0.34	Gradient Boost (General Model)	11	0.857	7683	295.55333333333334	4649921	0.71	4500	776	54310	None
SRR6869036_fairy_single_metabat2_short_bin.31	34.53	0.07	Neural Network (Specific Model)	11	0.883	4843	300.08643326039385	930688	0.49	914	210	15336	None
SRR6869036_fairy_single_metabat2_short_bin.32	100.0	0.53	Gradient Boost (General Model)	11	0.895	51019	317.86660698299016	2375298	0.67	2234	95	106819	None
SRR6869036_fairy_single_metabat2_short_bin.33	79.8	3.94	Gradient Boost (General Model)	11	0.924	8173	340.9813374805599	3554763	0.67	3215	548	41840	None
SRR6869036_fairy_single_metabat2_short_bin.34	89.52	0.06	Gradient Boost (General Model)	11	0.875	16887	380.62855337965885	4126448	0.64	3166	362	88985	None
SRR6869036_fairy_single_metabat2_short_bin.35	98.74	3.96	Gradient Boost (General Model)	11	0.837	47644	321.3455868274938	6005721	0.48	5223	224	166181	None
SRR6869036_fairy_single_metabat2_short_bin.36	84.19	1.32	Gradient Boost (General Model)	11	0.92	6326	266.6667781866845	2594042	0.75	2989	534	23284	None
SRR6869036_fairy_single_metabat2_short_bin.37	92.63	0.0	Gradient Boost (General Model)	11	0.814	23936	362.0591557669441	4486979	0.55	3364	275	91551	None
SRR6869036_fairy_single_metabat2_short_bin.38	49.77	0.26	Neural Network (Specific Model)	11	0.843	22169	305.5707946752723	2693329	0.4	2479	179	63131	None
SRR6869036_fairy_single_metabat2_short_bin.39	57.98	9.3	Gradient Boost (General Model)	11	0.917	3826	263.5194911776775	2095438	0.69	2437	602	20014	None
SRR6869036_fairy_single_metabat2_short_bin.4	83.81	11.74	Gradient Boost (General Model)	11	0.895	8405	278.4868603042877	3368762	0.68	3615	550	51359	None
SRR6869036_fairy_single_metabat2_short_bin.40	84.63	4.34	Neural Network (Specific Model)	11	0.805	13956	289.02192468619245	6431095	0.39	5975	685	70731	None
SRR6869036_fairy_single_metabat2_short_bin.41	73.75	1.98	Neural Network (Specific Model)	11	0.814	22012	293.90440582053355	5354589	0.41	4948	414	87781	None
SRR6869036_fairy_single_metabat2_short_bin.42	95.52	1.5	Gradient Boost (General Model)	11	0.912	15261	280.0448816477098	2989675	0.73	3253	323	75729	None
SRR6869036_fairy_single_metabat2_short_bin.43	76.1	1.08	Neural Network (Specific Model)	11	0.827	15242	304.8662391204764	4826542	0.39	4366	429	112139	None
SRR6869036_fairy_single_metabat2_short_bin.44	36.07	0.65	Neural Network (Specific Model)	11	0.894	3835	313.41030303030306	1732758	0.64	1650	503	15541	None
SRR6869036_fairy_single_metabat2_short_bin.45	91.73	0.68	Gradient Boost (General Model)	11	0.899	24028	345.1906417957635	3636940	0.72	3163	259	138422	None
SRR6869036_fairy_single_metabat2_short_bin.46	87.24	0.67	Neural Network (Specific Model)	11	0.832	33926	311.68341061308604	4359563	0.51	3882	219	118664	None
SRR6869036_fairy_single_metabat2_short_bin.47	4.92	0.08	Neural Network (Specific Model)	11	0.902	3147	238.36288088642658	284760	0.72	361	98	9065	None
SRR6869036_fairy_single_metabat2_short_bin.48	88.58	3.6	Gradient Boost (General Model)	11	0.892	11296	319.89463286137635	3262499	0.74	3037	433	45666	None
SRR6869036_fairy_single_metabat2_short_bin.49	59.41	4.25	Neural Network (Specific Model)	11	0.893	2883	301.8009478672986	3629311	0.61	3587	1329	9971	None
SRR6869036_fairy_single_metabat2_short_bin.5	76.43	0.03	Gradient Boost (General Model)	11	0.872	15111	361.1117903930131	4265234	0.59	3435	422	87500	None
SRR6869036_fairy_single_metabat2_short_bin.50	10.79	0.0	Neural Network (Specific Model)	11	0.898	2861	289.1275167785235	574955	0.61	596	205	7213	None
SRR6869036_fairy_single_metabat2_short_bin.51	85.62	0.84	Gradient Boost (General Model)	11	0.923	19723	303.23541329011346	2428980	0.7	2468	208	101887	None
SRR6869036_fairy_single_metabat2_short_bin.52	52.72	12.97	Gradient Boost (General Model)	11	0.909	2396	269.3096244715245	3568028	0.7	4021	1490	8994	None
SRR6869036_fairy_single_metabat2_short_bin.53	91.5	0.11	Gradient Boost (General Model)	11	0.903	20141	333.5669996555288	3212683	0.73	2903	269	216340	None
SRR6869036_fairy_single_metabat2_short_bin.54	46.19	8.77	Neural Network (Specific Model)	11	0.775	2463	205.87257281553397	4586603	0.36	5768	1865	11046	None
SRR6869036_fairy_single_metabat2_short_bin.55	79.91	3.09	Gradient Boost (General Model)	11	0.915	21170	364.16206261510126	3884508	0.7	3258	305	116023	None
SRR6869036_fairy_single_metabat2_short_bin.56	94.96	1.53	Gradient Boost (General Model)	11	0.815	47382	338.618038237739	2996377	0.47	2406	96	198714	None
SRR6869036_fairy_single_metabat2_short_bin.57	47.19	4.05	Gradient Boost (General Model)	11	0.898	2157	253.04327086882452	2477526	0.72	2935	1140	6659	None
SRR6869036_fairy_single_metabat2_short_bin.58	67.3	0.87	Gradient Boost (General Model)	11	0.843	18242	272.0444624090542	1197327	0.53	1237	92	43317	None
SRR6869036_fairy_single_metabat2_short_bin.59	86.83	45.92	Gradient Boost (General Model)	11	0.909	9024	284.1704871060172	4572020	0.66	4886	720	93417	None
SRR6869036_fairy_single_metabat2_short_bin.6	84.85	0.36	Gradient Boost (General Model)	11	0.901	16651	313.4820813232254	3024786	0.73	2902	294	68280	None
SRR6869036_fairy_single_metabat2_short_bin.60	69.31	8.32	Gradient Boost (General Model)	11	0.885	11713	274.1529626729313	3552577	0.68	3831	506	47439	None
SRR6869036_fairy_single_metabat2_short_bin.61	33.06	87.86	Neural Network (Specific Model)	11	0.836	4439	274.44920563323814	19638261	0.42	19953	4882	37208	None
SRR6869036_fairy_single_metabat2_short_bin.62	13.72	0.0	Neural Network (Specific Model)	11	0.879	9011	276.23125	300935	0.63	320	47	17569	None
SRR6869036_fairy_single_metabat2_short_bin.63	8.97	0.0	Neural Network (Specific Model)	11	0.932	1926	265.35526315789474	259340	0.71	304	133	3840	None
SRR6869036_fairy_single_metabat2_short_bin.64	97.75	4.23	Gradient Boost (General Model)	11	0.867	132574	331.9093372238433	5505113	0.5	4798	69	338174	None
SRR6869036_fairy_single_metabat2_short_bin.65	56.52	14.73	Gradient Boost (General Model)	11	0.903	3502	251.97341389728098	2765302	0.65	3310	864	14677	None
SRR6869036_fairy_single_metabat2_short_bin.66	70.07	0.02	Gradient Boost (General Model)	11	0.819	11665	276.05048604578235	3220106	0.47	3189	370	55169	None
