Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
maxbin_2546422.001	11.89	0.41	Neural Network (Specific Model)	11	0.897	2596	216.3448275862069	355734	0.52	493	146	5781	None
maxbin_2546422.002	52.07	8.13	Gradient Boost (General Model)	11	0.888	6493	244.74102870813397	1379348	0.63	1672	277	26492	None
maxbin_2546422.003	60.68	15.57	Neural Network (Specific Model)	11	0.914	5248	255.7216	1568803	0.65	1875	365	51013	None
maxbin_2546422.004	11.05	0.01	Neural Network (Specific Model)	11	0.889	3218	256.58190148911797	754356	0.66	873	253	18130	None
maxbin_2546422.005	45.48	10.48	Gradient Boost (General Model)	11	0.946	6198	282.06699266503665	1824159	0.71	2045	360	27982	None
maxbin_2546422.006	55.82	13.99	Gradient Boost (General Model)	11	0.936	7068	281.64436461607545	2005509	0.7	2227	369	46706	None
maxbin_2546422.007	8.15	0.0	Neural Network (Specific Model)	11	0.909	4527	238.63975155279502	126438	0.65	161	33	23139	None
maxbin_2546422.008	9.22	10.15	Neural Network (Specific Model)	11	0.95	3508	256.27659574468083	113857	0.65	141	34	8195	None
maxbin_2546422.009	53.74	13.37	Gradient Boost (General Model)	11	0.914	4210	256.3269230769231	1571319	0.65	1872	426	25898	None
maxbin_2546422.010	23.82	2.53	Neural Network (Specific Model)	11	0.918	7505	267.080981595092	708524	0.67	815	136	21501	None
maxbin_2546422.011	12.94	0.78	Neural Network (Specific Model)	11	0.9	6788	266.9179104477612	356908	0.65	402	60	32384	None
maxbin_2546422.012	74.87	19.55	Gradient Boost (General Model)	11	0.857	4220	226.47127247091998	2242214	0.52	2837	610	29428	None
maxbin_2546422.013	50.73	13.14	Gradient Boost (General Model)	11	0.858	11456	250.04521919226787	2525501	0.52	2897	408	66130	None
maxbin_2546422.014	69.69	15.36	Gradient Boost (General Model)	11	0.948	2939	264.25670945157526	2857789	0.69	3428	1014	20824	None
maxbin_2546422.015	80.69	23.72	Gradient Boost (General Model)	11	0.894	6908	271.01090289608175	2661867	0.64	2935	535	38624	None
maxbin_2546422.016	66.2	1.34	Gradient Boost (General Model)	11	0.931	11307	292.9747335175681	2379201	0.65	2533	326	40098	None
maxbin_2546422.017	47.54	11.99	Gradient Boost (General Model)	11	0.857	11183	229.58218451749735	1510432	0.52	1886	213	100697	None
maxbin_2546422.018	78.09	27.35	Gradient Boost (General Model)	11	0.873	19796	242.84337349397592	2070113	0.52	2490	232	94127	None
maxbin_2546422.019	45.46	14.92	Gradient Boost (General Model)	11	0.892	4813	262.0948717948718	2401131	0.63	2730	595	28449	None
maxbin_2546422.020	71.74	7.45	Gradient Boost (General Model)	11	0.823	6140	240.17698941591533	4451712	0.56	5102	985	35883	None
maxbin_2546422.021	39.19	9.77	Gradient Boost (General Model)	11	0.895	4729	247.3502824858757	2339509	0.66	2832	593	42486	None
maxbin_2546422.022	65.11	15.26	Gradient Boost (General Model)	11	0.922	3367	246.68694690265488	1447544	0.65	1808	452	21666	None
maxbin_2546422.023	89.74	7.61	Gradient Boost (General Model)	11	0.923	8792	275.7123870281765	3357796	0.67	3762	584	47329	None
maxbin_2546422.024	52.4	9.48	Gradient Boost (General Model)	11	0.925	3178	247.8454363757495	2404936	0.7	3002	822	17864	None
maxbin_2546422.025	91.94	7.83	Gradient Boost (General Model)	11	0.922	47462	311.7292873331655	4017128	0.69	3971	287	157084	None
maxbin_2546422.026	60.66	15.83	Gradient Boost (General Model)	11	0.925	13620	286.32912923289564	5361092	0.69	5788	741	111373	None
maxbin_2546422.027	72.1	14.62	Gradient Boost (General Model)	11	0.86	4969	215.19546742209633	1583145	0.51	2118	401	20094	None
maxbin_2546422.028	73.1	7.82	Neural Network (Specific Model)	11	0.873	8569	228.23994894703256	1225341	0.37	1567	194	53069	None
maxbin_2546422.029	66.53	18.94	Gradient Boost (General Model)	11	0.922	4026	266.2527918781726	3403949	0.68	3940	954	28457	None
maxbin_2546422.030	64.07	7.39	Gradient Boost (General Model)	11	0.893	3454	249.1124905944319	2219330	0.64	2658	696	17218	None
maxbin_2546422.031	73.46	30.41	Gradient Boost (General Model)	11	0.927	5034	270.0216588314305	5187144	0.72	5956	1260	33557	None
maxbin_2546422.032	58.4	16.65	Gradient Boost (General Model)	11	0.908	3319	237.06308724832215	1746162	0.66	2235	574	15298	None
maxbin_2546422.033	73.55	19.9	Gradient Boost (General Model)	11	0.922	5074	265.49459119496856	3420556	0.65	3975	821	39498	None
maxbin_2546422.034	73.27	28.96	Gradient Boost (General Model)	11	0.896	3561	258.54927594529363	4290240	0.66	4972	1322	20815	None
maxbin_2546422.035	89.45	8.3	Gradient Boost (General Model)	11	0.843	7233	268.6626763574177	4461955	0.62	4678	945	44871	None
maxbin_2546422.036	56.92	27.67	Gradient Boost (General Model)	11	0.885	4532	258.6839500353523	3711902	0.63	4243	987	28035	None
maxbin_2546422.037	26.96	5.3	Neural Network (Specific Model)	11	0.822	3119	241.37245464642726	4738302	0.57	5402	1582	24183	None
maxbin_2546422.038	61.76	35.5	Gradient Boost (General Model)	11	0.941	3929	267.60221425230003	5449670	0.72	6413	1561	41445	None
maxbin_2546422.039	61.21	13.55	Gradient Boost (General Model)	11	0.861	4455	248.35626626998885	4643068	0.61	5378	1203	39682	None
maxbin_2546422.040	64.82	14.88	Gradient Boost (General Model)	11	0.903	5101	249.5348634514817	2841403	0.66	3442	684	22410	None
maxbin_2546422.041	28.11	11.65	Neural Network (Specific Model)	11	0.921	3554	267.1650663008688	1898343	0.69	2187	597	21156	None
maxbin_2546422.042	59.79	13.88	Gradient Boost (General Model)	11	0.871	5446	268.0568421052632	2186408	0.6	2375	527	23772	None
maxbin_2546422.043	91.19	9.52	Neural Network (Specific Model)	11	0.855	24514	237.52967848309976	2017532	0.4	2426	204	122162	None
maxbin_2546422.044	80.1	6.59	Gradient Boost (General Model)	11	0.867	8493	241.9210610418664	2610983	0.58	3129	478	44492	None
maxbin_2546422.045	43.57	11.02	Neural Network (Specific Model)	11	0.842	4193	257.6292892156863	2987951	0.52	3264	808	28909	None
maxbin_2546422.046	62.7	12.56	Gradient Boost (General Model)	11	0.888	5525	271.0127780407004	1930742	0.62	2113	438	25724	None
maxbin_2546422.047	52.38	10.5	Gradient Boost (General Model)	11	0.875	2884	242.80900321543407	2580958	0.55	3110	899	17975	None
maxbin_2546422.048	30.56	7.87	Neural Network (Specific Model)	11	0.902	4299	275.69311663479925	2871495	0.67	3138	772	28608	None
maxbin_2546422.049	24.02	4.23	Neural Network (Specific Model)	11	0.921	3913	269.0570021111893	1240718	0.7	1421	354	10477	None
maxbin_2546422.050	41.12	10.25	Gradient Boost (General Model)	11	0.859	4101	242.05719986697704	5069389	0.63	6014	1428	22609	None
maxbin_2546422.051	80.54	0.53	Neural Network (Specific Model)	11	0.848	7438	215.19887834339949	1758467	0.49	2318	362	50991	None
maxbin_2546422.052	84.33	52.96	Gradient Boost (General Model)	11	0.853	11092	232.3457306679064	5252225	0.52	6453	807	61821	None
maxbin_2546422.053	35.53	1.21	Neural Network (Specific Model)	11	0.867	6593	266.2018779342723	2344481	0.55	2556	517	50905	None
maxbin_2546422.054	69.46	14.47	Gradient Boost (General Model)	11	0.86	7888	270.4322506246396	4896140	0.58	5203	946	66908	None
maxbin_2546422.055	65.85	5.88	Gradient Boost (General Model)	11	0.882	3944	270.61414790996787	3992301	0.65	4354	1158	18180	None
maxbin_2546422.056	82.42	3.53	Gradient Boost (General Model)	11	0.842	6216	268.3553027768484	2850333	0.61	2989	597	31503	None
maxbin_2546422.057	90.41	16.32	Gradient Boost (General Model)	11	0.895	4977	269.23960880195597	4045956	0.68	4499	1014	37315	None
