Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
maxbin_6869035.001	91.06	13.03	Gradient Boost (General Model)	11	0.862	7013	319.4176230305388	5708519	0.55	5141	1072	47047	None
maxbin_6869035.002	44.3	3.03	Gradient Boost (General Model)	11	0.81	2383	233.20558464223384	2469094	0.33	2865	1008	14141	None
maxbin_6869035.003	94.72	8.35	Gradient Boost (General Model)	11	0.856	12238	316.07576470588236	4701739	0.4	4250	752	74148	None
maxbin_6869035.004	93.52	2.63	Gradient Boost (General Model)	11	0.884	19492	300.3850391417802	3507498	0.54	3449	440	86912	None
maxbin_6869035.005	82.97	14.33	Gradient Boost (General Model)	11	0.892	3915	302.5070626584571	2802741	0.47	2761	805	60161	None
maxbin_6869035.006	94.78	2.39	Gradient Boost (General Model)	11	0.875	36790	346.549721325902	4042088	0.57	3409	237	105059	None
maxbin_6869035.007	49.61	10.99	Gradient Boost (General Model)	11	0.899	3407	275.8706762231225	2950037	0.71	3209	888	42446	None
maxbin_6869035.008	53.79	9.62	Gradient Boost (General Model)	11	0.901	2606	262.6272056464549	2721498	0.67	3117	1025	49654	None
maxbin_6869035.009	69.12	17.85	Gradient Boost (General Model)	11	0.88	4073	260.1120409112041	1903319	0.54	2151	529	93517	None
maxbin_6869035.010	95.92	3.71	Gradient Boost (General Model)	11	0.85	10327	375.3583554376658	4990976	0.55	3770	698	42982	None
maxbin_6869035.011	0.0	15.85	Neural Network (Specific Model)	4	0.847	4227	202.59857206110252	12824354	0.51	18068	3594	24362	None
maxbin_6869035.012	25.91	14.56	Neural Network (Specific Model)	11	0.888	3844	264.79314603272616	2885551	0.58	3239	818	59133	None
maxbin_6869035.013	78.15	15.54	Gradient Boost (General Model)	4	0.795	3918	159.66876004089383	8116227	0.46	13694	2378	34189	None
maxbin_6869035.014	34.07	6.16	Neural Network (Specific Model)	11	0.855	2604	210.37164925034077	1620318	0.55	2201	625	18401	None
maxbin_6869035.015	71.37	15.86	Gradient Boost (General Model)	4	0.844	3949	211.25881753312947	7294055	0.49	9810	2111	77692	None
maxbin_6869035.016	43.64	3.12	Gradient Boost (General Model)	11	0.9	2690	259.24246339362617	2001791	0.57	2322	743	15588	None
maxbin_6869035.017	28.91	4.7	Neural Network (Specific Model)	11	0.911	4835	269.57328519855594	1226674	0.69	1385	312	38152	None
maxbin_6869035.018	5.86	0.0	Neural Network (Specific Model)	11	0.924	24655	355.72108843537416	169643	0.69	147	26	34151	None
maxbin_6869035.019	77.44	42.98	Neural Network (Specific Model)	11	0.795	4221	236.66782543919547	14354823	0.36	16109	3822	59851	None
maxbin_6869035.020	51.84	1.61	Gradient Boost (General Model)	11	0.893	2432	239.48648648648648	1991427	0.59	2479	805	9344	None
maxbin_6869035.021	85.13	29.58	Gradient Boost (General Model)	11	0.92	6684	285.61712511091395	4189987	0.65	4508	881	45925	None
maxbin_6869035.022	68.74	32.81	Gradient Boost (General Model)	11	0.907	4629	261.0183992640294	3745284	0.66	4348	925	78061	None
maxbin_6869035.023	49.79	8.11	Gradient Boost (General Model)	11	0.831	3336	250.8386344359627	4263747	0.47	4716	1320	45731	None
maxbin_6869035.024	97.38	3.9	Gradient Boost (General Model)	11	0.917	33650	372.6556146387238	3893676	0.67	3197	262	129167	None
maxbin_6869035.025	81.31	2.92	Gradient Boost (General Model)	11	0.855	19130	335.2562879444926	5416414	0.66	4612	536	97461	None
maxbin_6869035.026	69.27	34.51	Neural Network (Specific Model)	11	0.867	13477	360.43418049003196	8187604	0.7	6571	1085	102384	None
maxbin_6869035.027	79.74	28.18	Gradient Boost (General Model)	11	0.854	8591	311.69445021824987	5263913	0.59	4811	837	57599	None
maxbin_6869035.028	26.68	2.05	Neural Network (Specific Model)	11	0.884	13487	488.4738617200675	2946655	0.59	1779	412	99955	None
maxbin_6869035.029	83.05	4.53	Gradient Boost (General Model)	11	0.878	16248	385.12564806343397	4308965	0.65	3279	452	72157	None
maxbin_6869035.030	82.67	17.21	Gradient Boost (General Model)	11	0.906	5384	293.03866666666664	4358693	0.74	4500	1002	104467	None
maxbin_6869035.031	91.41	2.5	Gradient Boost (General Model)	11	0.904	7691	262.10670314637485	1903182	0.41	2193	373	29481	None
maxbin_6869035.032	88.89	12.09	Gradient Boost (General Model)	11	0.868	9670	303.7450980392157	5720152	0.71	5457	994	45649	None
maxbin_6869035.033	74.79	19.5	Gradient Boost (General Model)	11	0.881	7931	368.7620765684506	6256872	0.62	4989	1128	43912	None
maxbin_6869035.034	66.85	30.54	Gradient Boost (General Model)	11	0.884	4896	261.21013289036546	3193198	0.68	3612	795	59018	None
maxbin_6869035.035	88.55	13.94	Gradient Boost (General Model)	11	0.92	44428	314.83406326034066	4212372	0.73	4110	470	178146	None
maxbin_6869035.036	42.04	0.1	Neural Network (Specific Model)	11	0.856	2659	287.72888616891066	1644944	0.74	1634	635	7727	None
maxbin_6869035.037	62.32	0.93	Neural Network (Specific Model)	11	0.922	4669	271.5688030160226	1871088	0.67	2122	476	41453	None
maxbin_6869035.038	46.92	7.62	Gradient Boost (General Model)	11	0.869	2320	264.45034642032334	1578932	0.69	1732	666	11698	None
maxbin_6869035.039	60.86	2.61	Gradient Boost (General Model)	11	0.813	5217	217.89657534246575	1170913	0.45	1460	277	31292	None
maxbin_6869035.040	44.08	1.81	Gradient Boost (General Model)	11	0.891	2515	273.8330550918197	2206962	0.64	2396	879	9257	None
maxbin_6869035.041	55.13	21.2	Gradient Boost (General Model)	11	0.906	3706	269.1671474630918	5236853	0.75	5893	1550	46479	None
maxbin_6869035.042	86.26	28.08	Gradient Boost (General Model)	11	0.861	9115	341.0033144862546	6088419	0.63	5129	914	47034	None
maxbin_6869035.043	70.68	35.03	Gradient Boost (General Model)	11	0.91	5052	262.87067983289023	4556005	0.71	5266	1084	70190	None
maxbin_6869035.044	47.47	17.5	Gradient Boost (General Model)	11	0.811	6824	207.0708067324434	2629004	0.33	3446	545	96199	None
maxbin_6869035.045	67.92	17.71	Gradient Boost (General Model)	11	0.882	9516	280.2620075553157	3525265	0.66	3706	535	60216	None
maxbin_6869035.046	57.62	20.75	Neural Network (Specific Model)	11	0.872	5957	291.1102620087336	4578532	0.51	4580	1056	86446	None
maxbin_6869035.047	76.47	16.3	Gradient Boost (General Model)	11	0.915	5260	258.41623160892266	3561653	0.75	4214	870	35208	None
maxbin_6869035.048	38.78	4.45	Neural Network (Specific Model)	11	0.904	2672	248.50070455612965	1751759	0.59	2129	657	16534	None
maxbin_6869035.049	61.95	26.33	Gradient Boost (General Model)	11	0.92	4925	262.93805522208885	3559985	0.68	4165	897	40951	None
maxbin_6869035.050	55.68	23.85	Gradient Boost (General Model)	11	0.896	5313	266.698826040555	4175236	0.72	4685	1070	62569	None
maxbin_6869035.051	12.01	1.11	Neural Network (Specific Model)	11	0.888	26271	267.5654520917679	666735	0.71	741	105	150318	None
maxbin_6869035.052	36.38	6.62	Neural Network (Specific Model)	11	0.824	20818	310.89840255591054	1769111	0.47	1565	203	93774	None
maxbin_6869035.053	61.77	17.91	Gradient Boost (General Model)	11	0.878	7667	262.4269406392694	2352202	0.63	2628	433	59416	None
maxbin_6869035.054	18.86	4.14	Neural Network (Specific Model)	11	0.88	3249	276.2581216774956	1590830	0.63	1693	502	34076	None
maxbin_6869035.055	5.47	0.02	Neural Network (Specific Model)	11	0.898	3010	313.0329411764706	443406	0.67	425	140	24064	None
maxbin_6869035.056	55.17	9.78	Gradient Boost (General Model)	11	0.87	12793	343.38381382424456	3406651	0.58	2879	443	59550	None
maxbin_6869035.057	68.33	17.59	Gradient Boost (General Model)	11	0.842	5577	284.1789722386296	3423669	0.58	3386	759	34763	None
maxbin_6869035.058	59.73	18.22	Gradient Boost (General Model)	11	0.875	6925	329.1175807663411	2999746	0.68	2662	573	108834	None
maxbin_6869035.059	69.77	8.11	Gradient Boost (General Model)	11	0.86	12176	317.06376619063434	3326444	0.67	3011	578	108283	None
