Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
maxbin_19064411.001	3.99	0.03	Neural Network (Specific Model)	11	0.858	13394	242.44871794871796	131933	0.57	156	17	36741	None
maxbin_19064411.002	41.2	1.26	Neural Network (Specific Model)	11	0.915	17457	384.1696035242291	1712241	0.44	1362	151	44537	None
maxbin_19064411.003	54.36	0.71	Neural Network (Specific Model)	11	0.917	10134	353.52643051771116	2118353	0.42	1835	286	63477	None
maxbin_19064411.004	99.65	5.43	Neural Network (Specific Model)	11	0.905	63736	343.6791714614499	4941634	0.47	4345	216	170452	None
maxbin_19064411.005	22.41	5.94	Neural Network (Specific Model)	11	0.905	8717	253.3426769446391	1192556	0.52	1427	214	79478	None
maxbin_19064411.006	100.0	8.4	Neural Network (Specific Model)	11	0.876	42823	336.1464452958706	2698280	0.6	2349	210	166971	None
maxbin_19064411.007	62.04	24.92	Neural Network (Specific Model)	11	0.935	4823	367.98071087993065	5436051	0.46	4614	1333	68417	None
maxbin_19064411.008	67.38	8.15	Gradient Boost (General Model)	11	0.927	3185	306.4996642041639	2947336	0.37	2978	963	35671	None
maxbin_19064411.009	81.88	10.1	Gradient Boost (General Model)	11	0.905	5875	274.16208035222894	3292683	0.43	3634	736	55473	None
maxbin_19064411.010	77.46	16.13	Neural Network (Specific Model)	11	0.895	22256	325.19443254817986	2540626	0.57	2335	346	133785	None
maxbin_19064411.011	53.26	5.98	Gradient Boost (General Model)	11	0.881	13036	283.64016544117646	2094918	0.53	2176	357	79610	None
maxbin_19064411.012	34.33	19.68	Gradient Boost (General Model)	11	0.888	6425	261.3321842682545	5613030	0.5	6382	1218	78261	Low confidence prediction - substantial (31%) disagreement between completeness prediction models
maxbin_19064411.013	51.49	22.81	Gradient Boost (General Model)	11	0.903	4311	260.8070719602978	4176060	0.56	4836	1127	51001	None
maxbin_19064411.014	100.0	44.01	Neural Network (Specific Model)	11	0.931	6124	356.4539571005917	6199468	0.46	5408	1307	30554	None
maxbin_19064411.015	84.76	20.62	Gradient Boost (General Model)	11	0.873	6087	285.37597057621576	2395003	0.62	2447	537	50307	None
maxbin_19064411.016	41.35	6.92	Neural Network (Specific Model)	11	0.894	11491	287.23072562358277	1696375	0.58	1764	269	55616	None
maxbin_19064411.017	87.75	44.17	Gradient Boost (General Model)	11	0.892	4106	278.11681458383305	3892743	0.63	4169	1093	21427	None
maxbin_19064411.018	74.91	28.88	Neural Network (Specific Model)	11	0.905	13811	332.2286274509804	2802489	0.62	2550	387	113446	None
maxbin_19064411.019	85.03	17.69	Gradient Boost (General Model)	11	0.897	7200	285.3159876754536	2781266	0.65	2921	567	31366	None
maxbin_19064411.020	96.01	20.45	Gradient Boost (General Model)	11	0.874	23090	298.02909182899066	4035644	0.53	3953	411	86164	None
maxbin_19064411.021	52.49	3.76	Gradient Boost (General Model)	11	0.931	3937	281.8334466349422	1330810	0.49	1471	386	11818	None
maxbin_19064411.022	69.52	6.69	Gradient Boost (General Model)	11	0.893	14378	290.5818984547461	2205938	0.6	2265	306	61923	None
maxbin_19064411.023	83.33	32.67	Gradient Boost (General Model)	11	0.913	9516	304.77266228195595	3491710	0.64	3497	552	58445	None
maxbin_19064411.024	65.05	12.37	Neural Network (Specific Model)	11	0.92	9663	354.4123076923077	5622467	0.43	4875	946	59224	None
maxbin_19064411.025	100.0	1.02	Gradient Boost (General Model)	11	0.88	10361	299.1648016276704	2000252	0.4	1966	316	36610	None
maxbin_19064411.026	92.69	21.69	Neural Network (Specific Model)	11	0.886	5295	295.1288223812622	3063337	0.57	3074	696	31966	None
maxbin_19064411.027	74.77	36.04	Gradient Boost (General Model)	11	0.932	7363	285.3101470954874	3673994	0.63	4011	736	56730	None
maxbin_19064411.028	72.79	28.76	Gradient Boost (General Model)	11	0.912	12225	284.240414507772	3598922	0.59	3860	569	81092	None
maxbin_19064411.029	94.38	0.2	Gradient Boost (General Model)	11	0.864	22272	318.4787172011662	1894424	0.5	1715	138	68634	None
maxbin_19064411.030	99.88	0.18	Neural Network (Specific Model)	11	0.88	82851	354.6958113054087	2967381	0.57	2459	76	255661	None
maxbin_19064411.031	95.65	3.23	Gradient Boost (General Model)	11	0.866	46030	305.8992571959146	2278199	0.59	2154	109	122528	None
