Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
10392	7.59	0.0	Neural Network (Specific Model)	11	0.868	36935	279.6163793103448	223921	0.27	232	8	50564	None
1053	93.08	1.07	Gradient Boost (General Model)	11	0.842	122080	333.62123197903014	1811061	0.52	1526	25	196397	None
10730	4.98	0.03	Neural Network (Specific Model)	11	0.885	38041	311.75619834710744	254797	0.55	242	16	78380	None
1100	57.62	2.82	Gradient Boost (General Model)	11	0.885	4230	260.60863557858374	2547842	0.55	2895	827	30500	None
1101	86.2	0.0	Gradient Boost (General Model)	11	0.876	101302	327.29142441860466	1539409	0.57	1376	23	257266	None
1104	64.21	1.95	Gradient Boost (General Model)	11	0.909	4669	263.2553772618641	2537285	0.52	2929	794	33853	None
1128	88.8	0.87	Neural Network (Specific Model)	11	0.884	29506	317.0910052910053	3043763	0.54	2835	153	89896	None
114	82.63	0.62	Gradient Boost (General Model)	11	0.874	8137	287.18165659438324	2765730	0.51	2813	506	52576	None
1163	95.03	0.39	Neural Network (Specific Model)	11	0.893	101173	323.2596872875595	3190910	0.47	2942	62	201215	None
1166	89.82	0.43	Neural Network (Specific Model)	11	0.868	56614	313.7465483234714	2195871	0.55	2028	68	132549	None
1170	100.0	1.69	Neural Network (Specific Model)	11	0.911	98087	312.2152292152292	2640639	0.43	2574	38	246010	None
120	94.39	0.07	Gradient Boost (General Model)	11	0.857	66478	352.0787429378531	3486667	0.53	2832	98	277538	None
1208	91.62	0.0	Gradient Boost (General Model)	11	0.898	147772	338.91967109424417	1788307	0.53	1581	21	268296	None
1211	89.63	1.32	Gradient Boost (General Model)	11	0.89	38444	316.9345372460497	2363267	0.63	2215	109	133463	None
1256	22.76	0.05	Neural Network (Specific Model)	11	0.868	42094	326.8543897216274	526896	0.58	467	21	101939	None
1290	7.79	0.05	Neural Network (Specific Model)	11	0.904	852	174.51307847082495	286805	0.61	497	330	3370	None
1297	43.77	4.42	Gradient Boost (General Model)	11	0.9	2050	204.84190106692532	1401817	0.59	2062	836	13968	None
132	94.37	0.48	Neural Network (Specific Model)	11	0.869	36277	302.6146953405018	2328988	0.63	2232	119	113332	None
1331	94.55	0.0	Gradient Boost (General Model)	11	0.838	128660	335.3923322683706	1875861	0.51	1565	23	207183	None
1342	98.79	0.02	Neural Network (Specific Model)	11	0.878	65059	315.99	4206384	0.51	3900	137	197880	None
1349	62.84	2.07	Gradient Boost (General Model)	11	0.881	3372	244.81244496624598	2828171	0.53	3407	1077	34917	None
1352	95.72	0.0	Neural Network (Specific Model)	11	0.913	56398	328.14958553127354	2856232	0.46	2654	65	237145	None
1353	45.6	0.77	Gradient Boost (General Model)	11	0.859	2071	203.34382767191383	854672	0.29	1207	494	6429	None
13608	11.17	0.0	Neural Network (Specific Model)	11	0.905	197090	314.1510067114094	309330	0.48	298	5	197090	None
1373	96.74	0.0	Gradient Boost (General Model)	11	0.896	22454	319.24719101123594	2753643	0.5	2581	208	54970	None
1377	90.29	5.67	Neural Network (Specific Model)	11	0.881	15265	332.1982665222102	2085695	0.65	1846	223	108069	None
1395	96.39	0.21	Gradient Boost (General Model)	11	0.853	61944	303.7050523441056	2344386	0.57	2197	97	192349	None
1396	99.3	1.08	Gradient Boost (General Model)	11	0.88	83794	339.8374476013041	2482127	0.57	2147	45	304533	None
14	92.95	0.07	Neural Network (Specific Model)	11	0.836	53462	286.58061785865425	2425243	0.45	2363	74	161891	None
