,contigName,contigLen,totalAvgDepth,scaffolds.fasta/DRR310871_R1.fastq.gz.bam,scaffolds.fasta/DRR310872_R1.fastq.gz.bam,scaffolds.fasta/DRR310873_R1.fastq.gz.bam,scaffolds.fasta/DRR310874_R1.fastq.gz.bam,scaffolds.fasta/DRR310875_R1.fastq.gz.bam,scaffolds.fasta/DRR310876_R1.fastq.gz.bam,scaffolds.fasta/DRR310877_R1.fastq.gz.bam,scaffolds.fasta/DRR310878_R1.fastq.gz.bam,scaffolds.fasta/DRR310879_R1.fastq.gz.bam,scaffolds.fasta/DRR310880_R1.fastq.gz.bam,scaffolds.fasta/DRR310881_R1.fastq.gz.bam,scaffolds.fasta/DRR310882_R1.fastq.gz.bam
55,NODE_56_length_22573_cov_6.604006,22573,1.7784,0.5368,0.3604,1.233,0.5532,0.2169,0.6753,0.4672,0.2606,0.7211,3.4192,0.9901,11.9065
58,NODE_59_length_19734_cov_6.142690,19734,1.7759,0.6037,0.3258,0.5645,0.5971,0.2119,0.6065,0.5681,0.251,1.0455,3.4252,1.3822,11.7295
61,NODE_62_length_18557_cov_6.303048,18557,1.6131,0.4394,0.2944,0.5649,0.4924,0.3677,0.5333,0.5118,0.3155,0.578,2.7733,0.791,11.695
62,NODE_63_length_18550_cov_6.080941,18550,1.7624,0.4824,0.5145,0.59,0.5382,0.2614,0.5761,0.547,0.2797,0.9419,3.3957,1.0838,11.9384
64,NODE_65_length_18181_cov_6.049211,18181,1.6609,0.6015,0.2849,0.6307,0.5012,0.2838,0.5315,0.5936,0.1799,0.8077,2.6833,1.0309,11.8019
66,NODE_67_length_17735_cov_5.609955,17735,1.5876,0.4885,0.3619,0.489,0.6066,0.3916,0.4854,0.5179,0.4913,0.8107,2.3821,0.9012,11.1243
70,NODE_71_length_16654_cov_6.557925,16654,1.5742,0.5472,0.2829,0.444,0.3832,0.2146,0.451,0.4317,0.1796,0.6341,2.7538,0.7682,11.7997
75,NODE_76_length_15726_cov_5.818263,15726,1.5622,0.457,0.2418,0.65,0.5663,0.3356,0.4924,0.5711,0.1554,0.7383,2.4431,0.9475,11.1479
76,NODE_77_length_15603_cov_5.412400,15603,1.2323,0.4567,0.3144,0.5096,0.4118,0.2,0.5174,0.3914,0.2284,0.4283,0.3138,0.7298,10.2858
77,NODE_78_length_15519_cov_6.357993,15519,1.7028,0.3909,0.2907,0.8403,0.542,0.1813,0.5679,0.4691,0.1715,0.7391,3.0778,1.0434,12.1196
79,NODE_80_length_15353_cov_6.402732,15353,1.67,0.6024,0.2942,0.7674,0.5187,0.406,0.7023,0.6015,0.1812,1.0172,2.5781,0.8262,11.5446
80,NODE_81_length_15322_cov_6.053842,15322,1.6051,0.4569,0.3225,0.5884,0.5318,0.1942,0.5887,0.6078,0.2164,0.7213,2.2951,1.2716,11.4659
84,NODE_85_length_13963_cov_5.709088,13963,1.6573,0.5296,0.3185,1.3227,0.4981,0.3009,0.7331,0.5776,0.2369,0.615,2.874,1.0772,10.8043
85,NODE_86_length_13942_cov_6.070570,13942,1.5286,0.5373,0.2708,0.5878,0.5312,0.213,0.6131,0.4445,0.1804,0.7536,2.2728,0.8841,11.0542
