Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
216862	94.79	1.87	Gradient Boost (General Model)	11	0.878	38092	355.94349206349204	3824604	0.57	3150	148	105059	None
238023	10.36	0.3	Neural Network (Specific Model)	11	0.879	41393	277.2024048096192	469517	0.72	499	16	150318	None
240031	90.2	0.34	Gradient Boost (General Model)	11	0.885	26514	311.2365313653137	2854139	0.54	2710	183	86912	None
240065	89.62	0.44	Gradient Boost (General Model)	11	0.919	8010	262.74214145383104	1742639	0.41	2036	328	29481	None
240373	98.48	0.89	Gradient Boost (General Model)	11	0.929	57297	340.0671977831659	3165707	0.73	2887	84	178146	None
241575	87.25	0.92	Gradient Boost (General Model)	11	0.866	11593	316.9960511033682	4720227	0.71	4305	543	45649	None
243077	85.51	0.21	Neural Network (Specific Model)	11	0.859	17962	333.28825744608014	3393578	0.4	2921	289	70184	None
248758	78.94	0.74	Gradient Boost (General Model)	11	0.851	21059	333.0153953813856	5023647	0.66	4287	397	97461	None
249620	88.31	0.04	Gradient Boost (General Model)	11	0.877	17972	378.9285027252324	4040942	0.64	3119	319	72157	None
249755	94.1	0.45	Gradient Boost (General Model)	11	0.918	37684	372.44590390597995	3515127	0.67	2893	150	129167	None
252763	5.74	0.02	Neural Network (Specific Model)	11	0.902	14399	273.0368271954674	318862	0.59	353	26	37856	None
269242	51.52	0.28	Gradient Boost (General Model)	11	0.889	4380	231.79185520361992	862839	0.47	1105	253	20177	None
271115	0.0	119.02	Neural Network (Specific Model)	11	0.818	15109	280.160411368527	73465425	0.4	71566	11342	136824	None
273735	100.0	100.61	Gradient Boost (General Model)	11	0.847	37398	325.048751234655	16293367	0.49	14174	706	207280	None
275090	58.7	0.17	Neural Network (Specific Model)	11	0.86	2337	265.7768485915493	2102045	0.74	2272	1121	10632	None
284720	56.41	111.2	Neural Network (Specific Model)	11	0.892	12962	298.830201426248	40095594	0.65	39965	8107	252363	Low confidence prediction - substantial (43%) disagreement between completeness prediction models
289773	79.86	0.09	Gradient Boost (General Model)	11	0.872	12617	258.7940074906367	475092	0.43	534	51	21541	None
321509	77.85	22.81	Gradient Boost (General Model)	11	0.85	19580	349.3496732026144	5275449	0.61	4284	350	116208	None
321512	26.78	0.82	Neural Network (Specific Model)	11	0.868	2394	228.40167046317387	1037521	0.32	1317	498	14141	None
321538	22.22	0.01	Neural Network (Specific Model)	11	0.865	9745	353.65472910927457	1334149	0.63	1089	153	39896	None
321573	23.72	0.35	Neural Network (Specific Model)	11	0.929	8827	279.00410256410254	875860	0.68	975	104	40951	None
321594	66.16	1.33	Neural Network (Specific Model)	11	0.92	7722	268.7870405456612	2307479	0.75	2639	376	35208	None
