Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
cluster_1	97.12	0.01	Gradient Boost (General Model)	11	0.912	145036	346.01797658862876	2718857	0.56	2392	39	359258	None
cluster_10	95.85	0.41	Gradient Boost (General Model)	11	0.815	22251	362.83374827109265	4824552	0.55	3615	389	91551	None
cluster_11	86.79	5.87	Neural Network (Specific Model)	11	0.818	22336	296.0211972189249	6397092	0.38	5897	359	99204	None
cluster_12	95.24	0.02	Gradient Boost (General Model)	11	0.875	16748	377.43923240938165	4247256	0.64	3283	407	88985	None
cluster_13	89.81	1.74	Gradient Boost (General Model)	11	0.897	52566	318.24950787401576	2159111	0.67	2032	88	106819	None
cluster_14	92.53	1.51	Gradient Boost (General Model)	11	0.895	19880	332.04199119539453	3281450	0.73	2953	292	216340	None
cluster_15	92.1	0.06	Gradient Boost (General Model)	11	0.926	41478	323.86902286902284	3020971	0.69	2886	114	153002	None
cluster_16	88.52	4.59	Neural Network (Specific Model)	11	0.815	15149	293.32136932589356	7149165	0.41	6631	961	87781	None
cluster_17	92.42	4.0	Gradient Boost (General Model)	11	0.865	19044	355.3054852320675	4376495	0.68	3555	410	122852	None
cluster_18	79.33	2.33	Gradient Boost (General Model)	11	0.929	8173	341.92519137091165	3168334	0.67	2874	504	34821	None
cluster_19	76.45	0.16	Neural Network (Specific Model)	11	0.841	14585	308.8569691072732	4526316	0.39	4111	436	67237	None
cluster_2	98.51	0.62	Gradient Boost (General Model)	11	0.839	51920	326.914735461303	5342575	0.48	4574	166	166181	None
cluster_20	90.55	2.79	Neural Network (Specific Model)	11	0.815	13677	296.9587148039385	6320147	0.38	5789	694	91911	None
cluster_21	91.11	2.36	Gradient Boost (General Model)	11	0.87	13550	354.98117586384734	4740889	0.59	3878	592	87500	None
cluster_22	75.87	1.16	Gradient Boost (General Model)	11	0.903	25406	358.30022404779686	3181353	0.73	2678	168	138422	None
cluster_23	85.44	0.0	Neural Network (Specific Model)	11	0.916	53508	309.11079090617994	3156086	0.72	3123	90	198721	None
cluster_24	83.74	0.58	Gradient Boost (General Model)	11	0.901	17795	322.08196062675773	2665345	0.73	2489	201	68280	None
cluster_25	72.23	2.06	Gradient Boost (General Model)	11	0.859	6448	308.94901195413513	4410082	0.66	4099	894	44890	None
cluster_26	84.91	1.93	Gradient Boost (General Model)	11	0.894	18873	297.200488997555	2850556	0.65	2863	258	83222	None
cluster_27	76.78	1.49	Gradient Boost (General Model)	11	0.829	10047	271.11896008403363	3730593	0.47	3808	590	55169	None
cluster_28	74.18	0.53	Neural Network (Specific Model)	11	0.908	19383	318.9836763662172	2964108	0.68	2818	204	63931	None
cluster_29	81.87	2.6	Gradient Boost (General Model)	11	0.891	12236	321.59040995607614	2954819	0.74	2732	360	45666	None
cluster_3	99.74	1.96	Gradient Boost (General Model)	11	0.866	127277	331.5398140662894	5674280	0.5	4948	76	338174	None
cluster_30	78.74	2.17	Neural Network (Specific Model)	11	0.827	11472	298.9927940492794	4662433	0.39	4302	618	112139	None
cluster_31	67.47	3.25	Gradient Boost (General Model)	11	0.902	12078	297.9774624373957	2368243	0.68	2396	329	43448	None
cluster_32	65.15	3.76	Neural Network (Specific Model)	11	0.89	2860	301.3589062914786	3816383	0.61	3767	1389	9971	None
cluster_33	75.54	3.37	Gradient Boost (General Model)	11	0.9	6153	273.5752972258917	2756756	0.72	3028	609	23284	None
cluster_34	73.51	2.13	Gradient Boost (General Model)	11	0.887	3372	285.047311827957	1790768	0.48	1860	559	45535	None
cluster_35	66.7	1.96	Gradient Boost (General Model)	11	0.893	9955	288.53805453805455	2378606	0.66	2457	348	50842	None
cluster_36	65.6	0.15	Gradient Boost (General Model)	11	0.88	8129	309.0107156525067	2750076	0.73	2613	382	40764	None
cluster_37	75.55	7.08	Neural Network (Specific Model)	11	0.838	16503	307.9739826551034	4955313	0.4	4497	361	97980	None
cluster_38	73.28	3.3	Neural Network (Specific Model)	11	0.918	17747	303.06247325631153	2310223	0.69	2337	231	101887	None
cluster_39	56.42	0.92	Gradient Boost (General Model)	11	0.915	3049	282.53333333333336	2356635	0.58	2550	800	21966	None
cluster_4	95.97	0.33	Gradient Boost (General Model)	11	0.831	23487	315.73926725106764	5062834	0.5	4449	349	116662	None
cluster_40	70.35	1.55	Gradient Boost (General Model)	11	0.836	17043	272.54831782390835	1365742	0.54	1397	124	43317	None
cluster_41	65.14	0.97	Gradient Boost (General Model)	11	0.861	3736	276.9584251968504	3060977	0.51	3175	904	17628	None
cluster_42	60.04	1.41	Neural Network (Specific Model)	11	0.917	20053	295.34688221709007	2087304	0.73	2165	133	75729	None
cluster_43	58.31	2.07	Neural Network (Specific Model)	11	0.904	12689	284.04843001596595	1767629	0.67	1879	226	65357	None
cluster_44	81.61	12.7	Gradient Boost (General Model)	11	0.917	17697	364.9925558312655	4325106	0.71	3627	416	116023	None
cluster_45	66.31	5.3	Gradient Boost (General Model)	11	0.885	12168	283.12373371924747	2646192	0.68	2764	350	40322	None
cluster_46	61.65	0.25	Gradient Boost (General Model)	11	0.883	3349	320.6993930739022	3049820	0.55	2801	986	13386	None
cluster_47	70.04	2.91	Gradient Boost (General Model)	11	0.91	3809	332.1463917525773	3708080	0.59	3395	1091	17102	None
cluster_48	56.44	3.43	Gradient Boost (General Model)	11	0.906	4565	265.8059479553903	2361829	0.67	2690	627	33004	None
cluster_49	57.74	0.25	Gradient Boost (General Model)	11	0.884	22304	354.213587487781	2455930	0.75	2046	135	66177	None
cluster_5	84.1	0.0	Neural Network (Specific Model)	11	0.853	12689	295.4699467410601	4092284	0.43	3943	396	43668	None
cluster_50	44.63	0.54	Neural Network (Specific Model)	11	0.807	13052	298.356170037144	2682883	0.4	2423	357	92091	None
cluster_51	53.95	0.06	Neural Network (Specific Model)	11	0.861	9950	313.40466170281644	3369609	0.72	3089	379	54310	None
cluster_52	54.1	3.57	Gradient Boost (General Model)	11	0.814	3073	240.92927896797974	3843456	0.43	4341	1310	25133	None
cluster_53	54.31	2.32	Gradient Boost (General Model)	11	0.874	4072	268.93849021435227	1978131	0.66	2146	567	23433	None
cluster_54	61.22	0.96	Gradient Boost (General Model)	11	0.915	16524	311.68538283062645	2196010	0.71	2155	185	49435	None
cluster_55	51.82	1.91	Gradient Boost (General Model)	11	0.891	3379	276.99352267065274	1868909	0.61	2007	609	16839	None
cluster_56	76.72	4.68	Gradient Boost (General Model)	11	0.912	8268	280.40885221305325	2451982	0.69	2666	420	52852	None
cluster_57	48.83	3.96	Neural Network (Specific Model)	11	0.814	6026	266.03538230884556	3263628	0.4	3335	691	20525	None
cluster_58	43.61	8.01	Gradient Boost (General Model)	11	0.88	5408	316.7315031804486	3218658	0.61	2987	737	41162	None
cluster_59	37.94	1.87	Neural Network (Specific Model)	11	0.923	4726	267.2409033877039	1381645	0.68	1594	339	36846	None
cluster_6	89.5	0.41	Neural Network (Specific Model)	11	0.832	31715	308.4019630754849	4751477	0.51	4279	288	118664	None
cluster_60	43.11	5.98	Gradient Boost (General Model)	11	0.905	6316	276.97200622083983	1768688	0.7	1929	375	24962	None
cluster_61	53.02	6.53	Gradient Boost (General Model)	11	0.922	6037	280.18044300378176	1684059	0.67	1851	337	41843	None
cluster_62	55.42	8.33	Neural Network (Specific Model)	11	0.806	5900	255.19403702813176	3945602	0.4	4159	811	25918	None
cluster_63	48.88	2.47	Neural Network (Specific Model)	11	0.797	16888	286.8699891657638	2987252	0.38	2769	308	77549	None
cluster_64	50.21	8.55	Gradient Boost (General Model)	11	0.881	3610	269.938344873063	2781967	0.62	3033	866	15228	None
cluster_65	50.91	10.59	Neural Network (Specific Model)	11	0.81	3852	244.4833369167921	4207182	0.41	4651	1211	27021	None
cluster_66	67.45	15.26	Neural Network (Specific Model)	11	0.841	6336	301.4499514091351	4424035	0.44	4116	885	31402	None
cluster_7	95.58	1.74	Gradient Boost (General Model)	11	0.818	43642	324.3315177923021	3271878	0.47	2754	203	198714	None
cluster_8	88.28	2.42	Neural Network (Specific Model)	11	0.86	23798	380.91136228435454	4466290	0.69	3362	262	156621	None
cluster_9	79.11	0.58	Neural Network (Specific Model)	11	0.862	41279	391.4304347826087	4382311	0.7	3220	153	102541	None
