Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR6869034_fairy_all_metabat2_short_bin.1	89.86	23.63	Gradient Boost (General Model)	11	0.864	3899	311.85860993948285	5897586	0.47	5453	1682	35102	None
SRR6869034_fairy_all_metabat2_short_bin.10	3.84	0.04	Neural Network (Specific Model)	11	0.855	15450	286.5761316872428	243929	0.38	243	21	49722	None
SRR6869034_fairy_all_metabat2_short_bin.11	55.53	1.7	Neural Network (Specific Model)	11	0.82	7534	290.8035761942888	3984413	0.4	3747	651	32369	None
SRR6869034_fairy_all_metabat2_short_bin.12	13.91	0.33	Neural Network (Specific Model)	11	0.922	2137	250.63824289405684	629920	0.73	774	286	6178	None
SRR6869034_fairy_all_metabat2_short_bin.13	6.45	0.0	Neural Network (Specific Model)	11	0.824	2854	234.99056603773585	271596	0.4	318	101	6662	None
SRR6869034_fairy_all_metabat2_short_bin.14	7.82	0.14	Neural Network (Specific Model)	11	0.854	2016	259.6266318537859	348592	0.66	383	168	6067	None
SRR6869034_fairy_all_metabat2_short_bin.15	57.9	0.16	Neural Network (Specific Model)	11	0.802	15737	336.4043035107588	3328329	0.54	2649	305	44835	None
SRR6869034_fairy_all_metabat2_short_bin.16	5.02	0.0	Neural Network (Specific Model)	11	0.93	2272	239.29432624113474	217216	0.66	282	94	8279	None
SRR6869034_fairy_all_metabat2_short_bin.17	80.5	23.45	Gradient Boost (General Model)	11	0.869	10894	282.43470402169004	6456369	0.51	6639	857	63339	None
SRR6869034_fairy_all_metabat2_short_bin.18	80.03	11.63	Neural Network (Specific Model)	11	0.832	3123	241.73837725792123	5874485	0.39	6754	1954	35873	None
SRR6869034_fairy_all_metabat2_short_bin.19	89.66	4.88	Neural Network (Specific Model)	11	0.816	19048	297.57896898747174	5319742	0.39	4869	445	61690	None
SRR6869034_fairy_all_metabat2_short_bin.2	45.99	27.26	Gradient Boost (General Model)	11	0.783	2485	130.1206110064867	11663109	0.58	23895	4673	18825	Low confidence prediction - substantial (48%) disagreement between completeness prediction models
SRR6869034_fairy_all_metabat2_short_bin.20	92.59	3.28	Gradient Boost (General Model)	11	0.888	8357	301.2859444220701	5041601	0.43	4966	787	52476	None
SRR6869034_fairy_all_metabat2_short_bin.21	24.9	1.72	Neural Network (Specific Model)	11	0.83	4670	263.4634864546525	1614116	0.42	1698	385	47363	None
SRR6869034_fairy_all_metabat2_short_bin.22	4.54	0.0	Neural Network (Specific Model)	11	0.806	20567	358.0	263312	0.54	198	19	41106	None
SRR6869034_fairy_all_metabat2_short_bin.23	70.84	0.58	Gradient Boost (General Model)	11	0.887	3475	263.83838709677417	2760682	0.7	3100	873	12422	None
SRR6869034_fairy_all_metabat2_short_bin.24	14.87	0.0	Neural Network (Specific Model)	11	0.921	2178	236.22813036020582	447564	0.6	583	207	5383	None
SRR6869034_fairy_all_metabat2_short_bin.25	9.53	0.01	Neural Network (Specific Model)	11	0.831	9156	451.4696132596685	589478	0.56	362	91	48789	None
SRR6869034_fairy_all_metabat2_short_bin.26	8.86	0.0	Neural Network (Specific Model)	11	0.906	1902	215.86861313868613	292924	0.66	411	149	4308	None
