Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR3414587_bwa_all_metabat2_short_bin.1	90.21	0.06	Neural Network (Specific Model)	11	0.874	24541	289.59834613112815	1680477	0.37	1693	106	85259	None
ERR3414587_bwa_all_metabat2_short_bin.10	91.95	0.73	Gradient Boost (General Model)	11	0.836	17244	312.91062176165804	1731215	0.51	1544	154	74454	None
ERR3414587_bwa_all_metabat2_short_bin.100	65.84	0.26	Gradient Boost (General Model)	11	0.875	8541	294.4119278779473	1453756	0.55	1442	232	70591	None
ERR3414587_bwa_all_metabat2_short_bin.101	7.52	1.4	Neural Network (Specific Model)	11	0.799	52374	281.4083769633508	201206	0.61	191	5	57738	None
ERR3414587_bwa_all_metabat2_short_bin.102	88.87	0.03	Gradient Boost (General Model)	11	0.904	69297	351.69602087410306	1787790	0.58	1533	36	194477	None
ERR3414587_bwa_all_metabat2_short_bin.103	54.71	0.31	Neural Network (Specific Model)	11	0.889	11443	304.36606189967983	1920907	0.46	1874	250	40633	None
ERR3414587_bwa_all_metabat2_short_bin.104	95.52	0.96	Neural Network (Specific Model)	11	0.892	93978	335.2619675838673	2984838	0.5	2653	51	188236	None
ERR3414587_bwa_all_metabat2_short_bin.105	57.92	0.03	Gradient Boost (General Model)	11	0.907	3634	259.5521844660194	1409358	0.5	1648	423	14808	None
ERR3414587_bwa_all_metabat2_short_bin.106	39.89	0.0	Neural Network (Specific Model)	11	0.873	30596	312.7142857142857	909456	0.64	847	48	58109	None
ERR3414587_bwa_all_metabat2_short_bin.107	100.0	0.04	Neural Network (Specific Model)	11	0.895	53981	292.16978989210673	1722068	0.34	1761	51	155481	None
ERR3414587_bwa_all_metabat2_short_bin.108	77.13	2.53	Gradient Boost (General Model)	11	0.892	3787	244.08789237668162	912719	0.27	1115	265	18398	None
ERR3414587_bwa_all_metabat2_short_bin.109	94.65	0.52	Gradient Boost (General Model)	11	0.873	35591	325.71308016877634	1059725	0.28	948	53	91867	None
ERR3414587_bwa_all_metabat2_short_bin.11	16.02	0.05	Neural Network (Specific Model)	11	0.877	2350	220.29719853836784	616200	0.66	821	259	6627	None
ERR3414587_bwa_all_metabat2_short_bin.110	7.58	0.0	Neural Network (Specific Model)	11	0.896	31297	304.87931034482756	236116	0.66	232	11	39569	None
ERR3414587_bwa_all_metabat2_short_bin.111	11.33	0.0	Neural Network (Specific Model)	11	0.864	6812	287.29333333333335	373324	0.46	375	71	18605	None
ERR3414587_bwa_all_metabat2_short_bin.112	90.42	0.19	Gradient Boost (General Model)	11	0.888	118668	327.91192517537024	2837057	0.53	2566	46	376619	None
ERR3414587_bwa_all_metabat2_short_bin.113	99.82	2.53	Neural Network (Specific Model)	11	0.873	78235	329.3436928702011	3092035	0.47	2735	53	226072	None
ERR3414587_bwa_all_metabat2_short_bin.114	7.86	0.07	Neural Network (Specific Model)	11	0.891	34005	289.58168316831683	392736	0.39	404	21	61693	None
ERR3414587_bwa_all_metabat2_short_bin.115	98.81	0.14	Gradient Boost (General Model)	11	0.909	61016	324.7727434891188	2997914	0.46	2803	79	247786	None
ERR3414587_bwa_all_metabat2_short_bin.116	29.29	0.0	Neural Network (Specific Model)	11	0.876	2863	236.16347992351817	843651	0.65	1046	299	12120	None
ERR3414587_bwa_all_metabat2_short_bin.117	35.05	0.0	Neural Network (Specific Model)	11	0.893	30128	303.8843085106383	766304	0.6	752	32	73365	None
ERR3414587_bwa_all_metabat2_short_bin.118	84.32	0.0	Gradient Boost (General Model)	11	0.873	78654	317.66306861989204	1414139	0.58	1297	39	157718	None
ERR3414587_bwa_all_metabat2_short_bin.119	16.52	0.23	Neural Network (Specific Model)	11	0.906	2605	228.01933216168717	428533	0.28	569	166	20716	None
ERR3414587_bwa_all_metabat2_short_bin.12	10.64	0.0	Neural Network (Specific Model)	11	0.865	38345	287.8855585831063	365638	0.63	367	18	73416	None
ERR3414587_bwa_all_metabat2_short_bin.120	98.86	0.02	Gradient Boost (General Model)	11	0.858	118055	330.0940236010658	3027481	0.63	2627	38	459192	None
ERR3414587_bwa_all_metabat2_short_bin.121	9.03	0.0	Neural Network (Specific Model)	11	0.87	102184	383.9078947368421	201063	0.64	152	3	102184	None
