Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR3414574_fairy_single_metabat2_short_bin.1	9.98	0.0	Neural Network (Specific Model)	11	0.868	240687	390.85546875	345240	0.49	256	2	240687	None
ERR3414574_fairy_single_metabat2_short_bin.10	46.46	1.55	Gradient Boost (General Model)	11	0.856	4247	279.29526315789474	1855983	0.55	1900	491	18325	None
ERR3414574_fairy_single_metabat2_short_bin.100	23.75	0.11	Neural Network (Specific Model)	11	0.843	13874	308.2100977198697	672797	0.48	614	71	28603	None
ERR3414574_fairy_single_metabat2_short_bin.101	71.3	0.12	Gradient Boost (General Model)	11	0.877	22039	312.4155681104834	1699497	0.61	1593	130	65630	None
ERR3414574_fairy_single_metabat2_short_bin.102	95.76	5.47	Gradient Boost (General Model)	11	0.874	70783	307.01929474384565	1581594	0.28	1503	38	170891	None
ERR3414574_fairy_single_metabat2_short_bin.103	51.0	0.31	Gradient Boost (General Model)	11	0.898	87405	324.0211538461538	1123609	0.52	1040	20	168993	None
ERR3414574_fairy_single_metabat2_short_bin.104	11.55	0.03	Neural Network (Specific Model)	11	0.894	93929	333.05474452554745	305840	0.51	274	6	109379	None
ERR3414574_fairy_single_metabat2_short_bin.105	93.66	4.65	Gradient Boost (General Model)	11	0.867	35637	257.917032967033	1618000	0.27	1820	81	143874	None
ERR3414574_fairy_single_metabat2_short_bin.106	98.84	1.66	Neural Network (Specific Model)	11	0.876	22125	285.42528735632186	1868147	0.37	1914	140	59510	None
ERR3414574_fairy_single_metabat2_short_bin.107	19.9	0.07	Neural Network (Specific Model)	11	0.916	233593	332.9172794117647	592139	0.43	544	6	295503	None
ERR3414574_fairy_single_metabat2_short_bin.108	50.07	1.11	Gradient Boost (General Model)	11	0.878	57543	334.79548872180453	1518249	0.52	1330	43	201113	None
ERR3414574_fairy_single_metabat2_short_bin.109	9.76	0.0	Neural Network (Specific Model)	11	0.91	198996	370.6536312849162	218279	0.53	179	2	198996	None
ERR3414574_fairy_single_metabat2_short_bin.11	28.69	1.04	Neural Network (Specific Model)	11	0.886	4293	260.5228331780056	943629	0.5	1073	251	13856	None
ERR3414574_fairy_single_metabat2_short_bin.110	79.34	3.48	Neural Network (Specific Model)	11	0.873	12999	287.9093708754949	2246236	0.66	2273	265	46510	None
ERR3414574_fairy_single_metabat2_short_bin.111	18.22	0.0	Neural Network (Specific Model)	11	0.847	47852	316.9814126394052	301836	0.28	269	9	61016	None
ERR3414574_fairy_single_metabat2_short_bin.112	54.48	0.19	Neural Network (Specific Model)	11	0.875	30049	297.30434782608694	959665	0.39	943	52	111858	None
ERR3414574_fairy_single_metabat2_short_bin.113	35.5	0.07	Neural Network (Specific Model)	11	0.879	196511	312.55630936227953	784315	0.55	737	9	233121	None
ERR3414574_fairy_single_metabat2_short_bin.114	6.73	0.0	Neural Network (Specific Model)	11	0.866	184005	302.2135922330097	215310	0.41	206	4	184005	None
ERR3414574_fairy_single_metabat2_short_bin.115	86.2	1.32	Gradient Boost (General Model)	11	0.886	41683	329.79491431730236	2017519	0.62	1809	77	120206	None
ERR3414574_fairy_single_metabat2_short_bin.116	19.72	0.04	Neural Network (Specific Model)	11	0.913	213926	313.3937592867756	691621	0.42	673	9	238624	None
ERR3414574_fairy_single_metabat2_short_bin.117	34.59	0.0	Neural Network (Specific Model)	11	0.943	145432	316.44464285714287	562416	0.34	560	6	222128	None
ERR3414574_fairy_single_metabat2_short_bin.118	13.64	0.0	Neural Network (Specific Model)	11	0.845	137004	319.7464788732394	402249	0.59	355	3	175726	None
ERR3414574_fairy_single_metabat2_short_bin.119	7.69	0.0	Neural Network (Specific Model)	11	0.838	149947	266.5772357723577	233962	0.55	246	4	149947	None
ERR3414574_fairy_single_metabat2_short_bin.12	78.02	4.29	Neural Network (Specific Model)	11	0.871	19316	328.2352362204724	2292946	0.52	2032	193	69852	None
ERR3414574_fairy_single_metabat2_short_bin.120	29.78	0.13	Neural Network (Specific Model)	11	0.874	124683	337.17216981132077	490358	0.5	424	6	152558	None
ERR3414574_fairy_single_metabat2_short_bin.121	88.09	0.13	Gradient Boost (General Model)	11	0.823	9196	295.9078014184397	1971738	0.47	1833	277	49134	None
ERR3414574_fairy_single_metabat2_short_bin.122	95.79	1.18	Gradient Boost (General Model)	11	0.895	32000	313.05434782608694	2216694	0.53	2116	107	81085	None
ERR3414574_fairy_single_metabat2_short_bin.123	77.69	0.3	Gradient Boost (General Model)	11	0.883	13917	297.4322310200279	2162878	0.56	2147	217	68882	None
ERR3414574_fairy_single_metabat2_short_bin.124	90.31	1.33	Gradient Boost (General Model)	11	0.895	25984	321.9180765805877	2418607	0.54	2246	149	91485	None
ERR3414574_fairy_single_metabat2_short_bin.125	91.4	0.16	Neural Network (Specific Model)	11	0.883	33981	307.3183254344392	1319830	0.41	1266	68	85024	None
ERR3414574_fairy_single_metabat2_short_bin.126	91.6	1.21	Gradient Boost (General Model)	11	0.914	35353	301.81119885139987	1377039	0.34	1393	71	84184	None
