Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
11476	94.73	0.12	Neural Network (Specific Model)	11	0.869	31449	296.3274021352313	1721162	0.53	1686	71	112682	None
13672	93.56	1.13	Neural Network (Specific Model)	11	0.881	31406	313.82250396196514	2019010	0.5	1893	94	63720	None
16025	96.32	1.04	Gradient Boost (General Model)	11	0.893	111944	321.1525423728813	2034318	0.61	1888	24	312935	None
19609	99.66	2.33	Neural Network (Specific Model)	11	0.873	62438	331.9951560818084	2117368	0.6	1858	57	164525	None
20928	82.84	0.95	Gradient Boost (General Model)	11	0.892	7632	287.88786198398026	1568735	0.53	1623	276	23632	None
21941	99.96	0.46	Neural Network (Specific Model)	11	0.881	231648	362.16060080878106	2132789	0.56	1731	16	341486	None
23735	98.47	0.06	Neural Network (Specific Model)	11	0.908	149544	316.0906963136337	1781705	0.35	1709	14	231500	None
24882	80.97	0.56	Neural Network (Specific Model)	11	0.915	24156	367.0068529256721	2279564	0.6	1897	130	74988	None
25047	95.97	95.9	Neural Network (Specific Model)	11	0.871	36500	335.0705457575337	8295541	0.62	7201	358	499572	None
25222	100.0	90.32	Neural Network (Specific Model)	11	0.909	75124	359.5930819477435	7983196	0.46	6736	178	494569	None
25478	71.22	0.19	Neural Network (Specific Model)	11	0.91	35185	378.67675493905	2968087	0.43	2379	102	100321	None
26828	45.67	1.64	Gradient Boost (General Model)	11	0.884	12227	322.46846254927726	1662229	0.54	1522	162	54472	None
30589	95.23	36.1	Neural Network (Specific Model)	11	0.878	26450	288.7820813771518	2518715	0.4	2556	155	71234	None
30652	32.1	0.23	Neural Network (Specific Model)	11	0.898	13428	290.47777777777776	522971	0.39	540	45	26588	None
30717	8.2	0.02	Neural Network (Specific Model)	11	0.846	37885	306.2338983050847	319781	0.36	295	12	74454	None
30822	55.7	0.11	Neural Network (Specific Model)	11	0.91	12484	300.3511961722488	1033647	0.33	1045	97	44249	None
30867	50.29	1.04	Neural Network (Specific Model)	11	0.891	6585	269.4720700985761	826963	0.44	913	171	22242	None
30875	33.55	0.73	Neural Network (Specific Model)	11	0.896	16570	338.6521739130435	650709	0.4	575	46	54864	None
30889	20.89	0.0	Neural Network (Specific Model)	11	0.855	17809	306.13589743589745	418058	0.44	390	27	34408	None
31118	9.16	0.12	Neural Network (Specific Model)	11	0.874	46796	273.3955696202532	295672	0.4	316	13	60429	None
31169	36.62	0.02	Neural Network (Specific Model)	11	0.878	9181	281.87045123726347	660616	0.42	687	78	19997	None
31400	6.15	0.02	Neural Network (Specific Model)	11	0.903	14323	231.91863517060366	292092	0.66	381	34	31650	None
6447	93.48	0.0	Gradient Boost (General Model)	11	0.894	199245	317.53788285867813	1979281	0.45	1861	16	249252	None
