Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SemiBin_0.fa	100.0	0.15	Gradient Boost (General Model)	11	0.9	109977	332.13400261894367	2531600	0.47	2291	42	383192	None
SemiBin_1.fa	92.52	0.6	Neural Network (Specific Model)	11	0.907	47238	290.77329009433964	3253339	0.7	3392	127	234566	None
SemiBin_10.fa	74.81	0.61	Neural Network (Specific Model)	11	0.807	13717	292.69864295741695	4643464	0.38	4274	451	68863	None
SemiBin_102.fa	27.26	0.0	Neural Network (Specific Model)	11	0.877	4741	276.88374485596705	919509	0.69	972	202	12422	None
SemiBin_104.fa	5.89	0.01	Neural Network (Specific Model)	11	0.836	3417	252.35245901639345	330205	0.47	366	90	11873	None
SemiBin_105.fa	5.48	0.2	Neural Network (Specific Model)	11	0.884	4182	223.9334862385321	330301	0.67	436	79	11816	None
SemiBin_109.fa	27.47	0.37	Neural Network (Specific Model)	11	0.856	3662	270.787675070028	1691659	0.4	1785	461	11698	None
SemiBin_11.fa	4.17	0.0	Neural Network (Specific Model)	11	0.878	8036	288.4926829268293	201498	0.64	205	30	64869	None
SemiBin_111.fa	8.53	0.1	Neural Network (Specific Model)	4	0.723	4958	202.50470809792844	881444	0.48	1062	195	11572	None
SemiBin_112.fa	53.62	9.54	Neural Network (Specific Model)	11	0.898	3632	296.04469525959365	2186830	0.37	2215	583	11571	None
SemiBin_115.fa	9.58	7.62	Neural Network (Specific Model)	11	0.843	3597	275.42055207608445	4204191	0.51	4311	1148	11193	None
SemiBin_117.fa	4.11	0.0	Neural Network (Specific Model)	4	0.758	4645	261.7387755102041	251561	0.47	245	58	10992	None
SemiBin_118.fa	11.71	0.0	Neural Network (Specific Model)	11	0.843	3960	260.9147121535181	434759	0.4	469	108	10961	None
SemiBin_12.fa	63.4	0.36	Gradient Boost (General Model)	11	0.867	13398	294.47766658530634	4166695	0.51	4097	424	63339	None
SemiBin_122.fa	8.43	0.0	Neural Network (Specific Model)	11	0.874	4897	264.8769574944072	405785	0.69	447	89	10207	None
SemiBin_129.fa	8.1	0.02	Neural Network (Specific Model)	11	0.897	4081	287.46526655896605	593841	0.69	619	152	9492	None
SemiBin_13.fa	86.78	0.4	Neural Network (Specific Model)	11	0.815	20395	299.08025269068787	4702013	0.39	4274	358	61690	None
SemiBin_131.fa	16.13	0.05	Neural Network (Specific Model)	4	0.84	4797	298.2059925093633	563649	0.53	534	127	9298	None
SemiBin_137.fa	17.53	8.65	Neural Network (Specific Model)	11	0.837	3277	265.5745542949757	3510448	0.51	3702	1031	9049	None
SemiBin_139.fa	6.86	0.02	Neural Network (Specific Model)	11	0.932	3655	216.50331125827816	209247	0.34	302	54	8808	None
