Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR2546423_fairy_all_metabat2_short_bin.1	13.46	0.09	Neural Network (Specific Model)	11	0.877	3766	233.44198895027625	431865	0.55	543	137	9410	None
SRR2546423_fairy_all_metabat2_short_bin.10	13.58	0.04	Neural Network (Specific Model)	11	0.869	2748	221.8344733242134	557772	0.65	731	200	24736	None
SRR2546423_fairy_all_metabat2_short_bin.11	34.4	6.47	Neural Network (Specific Model)	11	0.889	2383	233.2768292682927	1286624	0.59	1640	529	12087	None
SRR2546423_fairy_all_metabat2_short_bin.12	49.36	3.34	Gradient Boost (General Model)	11	0.916	3793	243.33541017653167	1527483	0.64	1926	449	15178	None
SRR2546423_fairy_all_metabat2_short_bin.13	37.88	4.15	Neural Network (Specific Model)	11	0.893	2827	216.46074380165288	1750627	0.69	2420	639	11816	None
SRR2546423_fairy_all_metabat2_short_bin.14	27.75	2.04	Neural Network (Specific Model)	11	0.841	2665	222.031346749226	2040433	0.7	2584	786	36669	None
SRR2546423_fairy_all_metabat2_short_bin.15	43.87	4.0	Neural Network (Specific Model)	11	0.883	3636	238.92367173858818	3243850	0.71	4009	1010	14122	None
SRR2546423_fairy_all_metabat2_short_bin.16	52.32	3.82	Gradient Boost (General Model)	11	0.894	4300	243.40717628705147	1563432	0.66	1923	415	15856	None
SRR2546423_fairy_all_metabat2_short_bin.17	46.98	3.43	Gradient Boost (General Model)	11	0.901	4462	239.2926497277677	1747169	0.67	2204	464	30397	None
SRR2546423_fairy_all_metabat2_short_bin.18	93.03	32.78	Gradient Boost (General Model)	11	0.898	7362	262.3826948732609	4582561	0.6	5247	966	62617	None
SRR2546423_fairy_all_metabat2_short_bin.19	48.26	0.88	Gradient Boost (General Model)	11	0.835	4507	235.58589647411853	2247935	0.54	2666	570	24348	None
SRR2546423_fairy_all_metabat2_short_bin.2	92.44	3.73	Gradient Boost (General Model)	11	0.897	30930	314.0839045791061	3820506	0.68	3647	260	154805	None
SRR2546423_fairy_all_metabat2_short_bin.20	10.55	0.36	Neural Network (Specific Model)	11	0.877	2117	224.1626168224299	408736	0.64	535	191	5440	None
SRR2546423_fairy_all_metabat2_short_bin.21	66.34	4.25	Gradient Boost (General Model)	11	0.893	8048	263.5707133917397	2117029	0.65	2397	339	29874	None
SRR2546423_fairy_all_metabat2_short_bin.22	84.26	4.6	Gradient Boost (General Model)	11	0.908	12434	268.66524028966427	2685646	0.66	3038	328	57060	None
SRR2546423_fairy_all_metabat2_short_bin.23	81.38	12.09	Gradient Boost (General Model)	11	0.926	6325	285.99384323940325	3899380	0.7	4223	832	44869	None
SRR2546423_fairy_all_metabat2_short_bin.24	76.79	1.65	Gradient Boost (General Model)	11	0.808	8682	269.2834748530372	4583374	0.53	4593	671	48476	None
SRR2546423_fairy_all_metabat2_short_bin.25	20.23	0.06	Neural Network (Specific Model)	11	0.886	7744	264.3872255489022	892897	0.64	1002	158	26427	None
SRR2546423_fairy_all_metabat2_short_bin.26	27.38	0.71	Neural Network (Specific Model)	11	0.875	2499	232.39583333333334	800694	0.63	1008	325	7894	None
SRR2546423_fairy_all_metabat2_short_bin.27	77.02	3.21	Gradient Boost (General Model)	11	0.918	9007	283.34157303370785	2462561	0.69	2670	362	38685	None
SRR2546423_fairy_all_metabat2_short_bin.28	18.36	0.0	Neural Network (Specific Model)	11	0.878	2772	215.85610200364297	403634	0.64	549	151	10304	None
SRR2546423_fairy_all_metabat2_short_bin.29	78.03	2.96	Gradient Boost (General Model)	11	0.874	6425	261.0141453831041	2273402	0.55	2545	450	21484	None
SRR2546423_fairy_all_metabat2_short_bin.3	90.13	5.0	Gradient Boost (General Model)	11	0.866	46233	287.9516045548654	3841769	0.54	3864	216	176297	None
SRR2546423_fairy_all_metabat2_short_bin.30	39.34	8.22	Gradient Boost (General Model)	11	0.893	2631	216.77580208735986	1875222	0.7	2587	731	13079	None
SRR2546423_fairy_all_metabat2_short_bin.31	23.07	0.45	Neural Network (Specific Model)	11	0.847	2501	214.49439775910363	1081877	0.61	1428	443	7695	None
SRR2546423_fairy_all_metabat2_short_bin.32	69.66	2.61	Gradient Boost (General Model)	11	0.839	7294	274.16420264143505	4957178	0.58	5073	864	56727	None
SRR2546423_fairy_all_metabat2_short_bin.33	14.28	0.38	Neural Network (Specific Model)	11	0.894	2193	227.1936127744511	381160	0.71	501	175	5379	None
SRR2546423_fairy_all_metabat2_short_bin.34	31.06	0.45	Neural Network (Specific Model)	11	0.868	2562	225.96828908554573	1055534	0.65	1356	412	7960	None
SRR2546423_fairy_all_metabat2_short_bin.35	29.52	0.69	Neural Network (Specific Model)	11	0.895	2878	226.37689713322092	895722	0.66	1186	322	9508	None
SRR2546423_fairy_all_metabat2_short_bin.36	50.32	1.18	Neural Network (Specific Model)	11	0.882	4328	243.40782898389784	2971309	0.72	3602	795	18831	None
SRR2546423_fairy_all_metabat2_short_bin.37	12.63	0.09	Neural Network (Specific Model)	11	0.811	3223	194.1425120772947	296111	0.51	414	101	7678	None
SRR2546423_fairy_all_metabat2_short_bin.4	72.4	4.4	Gradient Boost (General Model)	11	0.831	4124	272.92482341069626	3900452	0.65	3964	1090	19577	None
SRR2546423_fairy_all_metabat2_short_bin.5	32.54	3.27	Neural Network (Specific Model)	11	0.839	2517	228.26207906295755	1110265	0.63	1366	438	16486	None
SRR2546423_fairy_all_metabat2_short_bin.6	31.21	5.93	Neural Network (Specific Model)	11	0.797	2586	219.8790604697651	1649899	0.52	2001	639	17044	None
SRR2546423_fairy_all_metabat2_short_bin.7	30.09	0.62	Neural Network (Specific Model)	11	0.83	2581	222.91425509110397	1497645	0.68	1866	601	7799	None
SRR2546423_fairy_all_metabat2_short_bin.8	90.04	12.25	Gradient Boost (General Model)	11	0.832	15343	286.4351134477034	7446015	0.54	7228	838	106815	None
SRR2546423_fairy_all_metabat2_short_bin.9	18.39	0.01	Neural Network (Specific Model)	11	0.856	2541	214.87351778656125	380032	0.63	506	142	10312	None
