Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
10022	85.18	3.26	Gradient Boost (General Model)	11	0.871	13687	244.42145230185096	1767421	0.52	2107	184	44882	None
10042	57.27	2.42	Gradient Boost (General Model)	11	0.92	21332	281.05608412618926	1822503	0.66	1997	104	47957	None
10057	93.41	0.94	Gradient Boost (General Model)	11	0.921	12649	276.17177449867575	2365351	0.67	2643	240	40456	None
10061	59.03	0.21	Gradient Boost (General Model)	11	0.879	13823	302.6856987493203	1894074	0.66	1839	159	38526	None
10075	18.21	0.16	Neural Network (Specific Model)	11	0.842	7998	285.5009191176471	1103785	0.61	1088	167	28745	None
10091	39.61	0.01	Neural Network (Specific Model)	11	0.928	15127	303.6087570621469	1384173	0.71	1416	106	47599	None
10134	73.91	1.16	Gradient Boost (General Model)	11	0.864	31834	246.06805555555556	1838759	0.52	2160	84	83555	None
10151	27.91	0.56	Neural Network (Specific Model)	11	0.803	20638	212.53601496725912	845267	0.45	1069	59	62034	None
10168	14.29	0.0	Neural Network (Specific Model)	11	0.864	2676	186.98595505617976	230509	0.35	356	101	5057	None
10174	44.53	1.85	Gradient Boost (General Model)	11	0.871	10118	238.56635911994323	1153593	0.52	1409	157	26055	None
10255	45.17	0.44	Gradient Boost (General Model)	11	0.943	15259	303.0943643512451	1468020	0.71	1526	121	53867	None
10325	5.3	0.0	Neural Network (Specific Model)	11	0.882	9089	305.32247557003257	318104	0.66	307	39	22631	None
10336	9.32	0.0	Neural Network (Specific Model)	11	0.904	16113	295.2307692307692	318035	0.64	325	23	32516	None
10434	62.36	3.77	Gradient Boost (General Model)	11	0.916	18215	275.31775317753176	2187736	0.68	2439	139	74606	None
10441	66.34	0.1	Neural Network (Specific Model)	11	0.868	17344	219.87681713848508	989383	0.49	1307	98	83778	None
10446	57.1	6.75	Gradient Boost (General Model)	11	0.859	10445	236.45727040816325	1290157	0.52	1568	157	48325	None
10449	13.27	0.01	Neural Network (Specific Model)	11	0.902	14987	294.24190064794817	450533	0.65	463	38	34131	None
10481	17.08	0.01	Neural Network (Specific Model)	11	0.921	8583	266.38520408163265	339039	0.64	392	45	26897	None
10510	10.32	0.01	Neural Network (Specific Model)	11	0.903	13840	302.64406779661016	296003	0.64	295	24	38017	None
10518	54.28	0.18	Gradient Boost (General Model)	11	0.841	12761	288.436690647482	1426535	0.61	1390	129	45422	None
10520	93.22	28.36	Neural Network (Specific Model)	11	0.865	20707	234.97066219614416	1940043	0.38	2386	165	44079	None
10527	24.26	0.3	Neural Network (Specific Model)	11	0.836	8425	224.2970297029703	810463	0.38	1010	151	36616	None
10545	13.42	0.0	Neural Network (Specific Model)	11	0.848	6003	260.64010624169987	692334	0.58	753	126	17320	None
10583	9.24	0.01	Neural Network (Specific Model)	11	0.901	15122	315.0867924528302	553660	0.7	530	39	56472	None
10590	7.11	0.0	Neural Network (Specific Model)	11	0.929	8959	265.3396946564886	223723	0.7	262	30	19599	None
10649	53.4	0.49	Gradient Boost (General Model)	11	0.93	29145	288.82039122703026	1564522	0.67	1687	77	73659	None
10665	17.25	0.0	Neural Network (Specific Model)	11	0.924	14704	297.1139028475712	573566	0.7	597	43	27832	None
10683	2.73	0.01	Neural Network (Specific Model)	11	0.868	8898	350.0591715976331	204097	0.64	169	26	16620	None
10729	32.22	0.14	Neural Network (Specific Model)	11	0.853	6564	255.57487922705315	928283	0.62	1035	151	21232	None
10847	16.69	0.38	Neural Network (Specific Model)	11	0.887	2706	218.7639553429027	462308	0.55	627	187	9895	None
10869	42.33	0.26	Gradient Boost (General Model)	11	0.82	10567	252.0162780466344	2090187	0.56	2273	231	37577	None
10981	41.93	0.39	Gradient Boost (General Model)	11	0.843	5985	228.11289245156982	1212358	0.52	1497	233	28487	None
11119	31.75	0.01	Neural Network (Specific Model)	11	0.857	6319	271.9020356234097	747303	0.63	786	131	22099	None
11220	34.4	1.5	Neural Network (Specific Model)	11	0.92	10976	284.4956043956044	1683651	0.72	1820	184	31985	None
11316	31.73	1.36	Neural Network (Specific Model)	11	0.865	7328	238.59102244389027	660821	0.58	802	111	25992	None
11338	36.95	0.0	Neural Network (Specific Model)	11	0.861	6282	218.8740458015267	995325	0.52	1310	211	21369	None
11390	8.45	0.08	Neural Network (Specific Model)	11	0.918	9511	269.97222222222223	284667	0.66	324	32	26438	None
11414	5.97	0.05	Neural Network (Specific Model)	11	0.79	4600	185.49061662198392	262002	0.38	373	68	20695	None
11429	55.79	0.25	Gradient Boost (General Model)	11	0.872	13653	251.54353562005278	653547	0.51	758	59	51678	None
11467	13.15	0.04	Neural Network (Specific Model)	11	0.916	9256	256.5896551724138	243154	0.65	290	27	22907	None
11562	85.81	1.48	Gradient Boost (General Model)	11	0.919	30589	290.947056774643	2718841	0.71	2871	124	83405	None
11635	97.53	1.88	Gradient Boost (General Model)	11	0.89	28695	306.60501500214315	4805357	0.56	4666	221	115203	None
11784	14.23	0.0	Neural Network (Specific Model)	11	0.829	3458	192.76833976833976	360395	0.53	518	112	15902	None
11879	24.54	0.0	Neural Network (Specific Model)	11	0.882	7360	238.04361370716512	258782	0.4	321	51	27317	None
12310	26.47	0.05	Neural Network (Specific Model)	11	0.884	7002	279.38	566825	0.74	600	90	18069	None
12610	69.35	2.07	Gradient Boost (General Model)	11	0.933	51202	297.72625250501	2378596	0.66	2495	68	153965	None
13214	5.53	0.01	Neural Network (Specific Model)	11	0.914	9780	265.9198606271777	249965	0.7	287	30	16060	None
15431	10.68	0.01	Neural Network (Specific Model)	11	0.915	9820	248.0752688172043	226263	0.64	279	28	15236	None
17620	7.23	0.01	Neural Network (Specific Model)	11	0.905	8294	266.45644599303137	251976	0.67	287	36	16078	None
17766	6.1	0.0	Neural Network (Specific Model)	11	0.914	11888	300.4222222222222	265364	0.7	270	22	40251	None
17851	4.23	0.01	Neural Network (Specific Model)	11	0.9	17905	333.68617021276594	208850	0.58	188	14	31910	None
19811	4.3	0.12	Neural Network (Specific Model)	11	0.892	30136	289.03076923076924	252125	0.69	260	14	41037	None
20041	5.06	0.0	Neural Network (Specific Model)	11	0.903	31199	315.32890365448503	314521	0.67	301	11	60969	None
5705	36.74	0.14	Neural Network (Specific Model)	11	0.887	2757	212.8548278190412	1062597	0.63	1481	488	15628	None
6465	81.26	1.79	Gradient Boost (General Model)	11	0.927	31832	293.31657559198544	2594220	0.66	2745	102	105532	None
7794	85.05	0.51	Gradient Boost (General Model)	11	0.925	50698	323.59045667447305	3578241	0.69	3416	100	137845	None
9248	79.84	2.1	Gradient Boost (General Model)	11	0.922	15027	286.483381364073	4839259	0.69	5205	421	58027	None
