Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
10093	14.63	0.07	Neural Network (Specific Model)	11	0.883	5069	265.7713675213675	844165	0.7	936	199	10619	None
10213	21.74	0.0	Neural Network (Specific Model)	11	0.87	5682	291.36660929432014	1165607	0.57	1162	226	19389	None
10291	16.28	0.0	Neural Network (Specific Model)	11	0.89	9835	314.99364069952304	666357	0.52	629	75	26260	None
10367	7.62	0.0	Neural Network (Specific Model)	11	0.877	4614	291.159509202454	324456	0.4	326	82	11698	None
10462	5.85	0.06	Neural Network (Specific Model)	11	0.804	20935	363.8875	217226	0.4	160	15	61690	None
10523	7.39	0.0	Neural Network (Specific Model)	11	0.856	3250	221.96162528216703	343880	0.58	443	117	9118	None
10615	7.25	0.0	Neural Network (Specific Model)	11	0.864	5551	273.6205533596838	239981	0.6	253	48	12667	None
10735	7.05	0.08	Neural Network (Specific Model)	11	0.851	5322	247.07407407407408	258264	0.59	297	59	11030	None
11140	69.03	0.51	Neural Network (Specific Model)	11	0.907	45420	291.721801665405	2542206	0.7	2642	94	124577	None
11163	6.41	0.01	Neural Network (Specific Model)	11	0.819	7192	266.96176470588233	331845	0.41	340	58	23338	None
11171	3.48	1.61	Neural Network (Specific Model)	4	0.8	13415	219.31005586592178	1452375	0.5	1790	131	35814	None
11206	38.29	0.0	Neural Network (Specific Model)	11	0.816	5138	264.8990874932904	1812643	0.39	1863	406	19253	None
11348	4.53	1.3	Neural Network (Specific Model)	4	0.799	14731	241.21939477303988	1301426	0.5	1454	98	30439	None
11488	6.46	0.0	Neural Network (Specific Model)	11	0.836	8103	286.92419825072886	352865	0.42	343	50	23781	None
11677	7.88	0.0	Neural Network (Specific Model)	11	0.842	7195	303.8382749326146	401392	0.41	371	63	15455	None
11707	82.65	0.31	Gradient Boost (General Model)	11	0.825	13043	278.01339608979004	2788005	0.54	2762	326	73158	None
11769	97.22	0.11	Gradient Boost (General Model)	11	0.903	141272	332.7996306555863	2390704	0.47	2166	33	383192	None
