Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SemiBin_0.fa	96.3	1.79	Gradient Boost (General Model)	11	0.864	19742	323.294964028777	2180784	0.63	1946	171	247321	None
SemiBin_1.fa	97.48	0.18	Gradient Boost (General Model)	11	0.907	66244	329.7525139664804	1948083	0.54	1790	61	237319	None
SemiBin_10.fa	84.41	25.12	Neural Network (Specific Model)	11	0.877	32111	319.6059537798668	2786557	0.58	2553	133	111396	None
SemiBin_101.fa	12.27	0.54	Neural Network (Specific Model)	11	0.912	3237	283.6470588235294	458309	0.6	493	137	7322	None
SemiBin_103.fa	8.85	0.05	Neural Network (Specific Model)	11	0.928	3587	348.5891891891892	208026	0.4	185	58	6926	None
SemiBin_11.fa	99.83	0.43	Neural Network (Specific Model)	11	0.883	24845	307.43220338983053	2214531	0.5	2124	134	74963	None
SemiBin_12.fa	6.46	0.0	Neural Network (Specific Model)	11	0.909	44085	250.51492537313433	221031	0.52	268	21	71394	None
SemiBin_13.fa	100.0	0.72	Gradient Boost (General Model)	11	0.893	11230	314.7042502951594	1788942	0.42	1694	201	62898	None
SemiBin_14.fa	86.05	2.71	Neural Network (Specific Model)	11	0.886	12744	306.89269746646795	2784670	0.42	2684	288	62859	None
SemiBin_16.fa	84.27	0.28	Neural Network (Specific Model)	11	0.878	22330	316.7415210688592	2102523	0.59	1946	138	56451	None
SemiBin_17.fa	71.87	0.76	Neural Network (Specific Model)	11	0.927	7227	365.998	2955921	0.44	2500	476	55049	None
SemiBin_19.fa	89.51	2.11	Neural Network (Specific Model)	11	0.901	11659	329.00585651537335	2240583	0.44	2049	244	53490	None
SemiBin_2.fa	14.66	0.38	Neural Network (Specific Model)	11	0.903	9071	265.4640449438202	780962	0.39	890	103	191638	None
SemiBin_20.fa	53.52	4.76	Gradient Boost (General Model)	11	0.893	14524	275.7916414294367	1526461	0.49	1651	148	49581	None
SemiBin_21.fa	96.81	26.45	Gradient Boost (General Model)	11	0.905	19004	314.2623066104079	2957716	0.52	2844	211	52398	None
SemiBin_22.fa	81.06	0.42	Neural Network (Specific Model)	11	0.854	12526	321.9248489425982	2990870	0.42	2648	331	51387	None
SemiBin_23.fa	8.46	0.05	Neural Network (Specific Model)	11	0.889	8974	276.7972027972028	399342	0.55	429	57	42753	None
