Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
cluster_1	99.87	0.09	Neural Network (Specific Model)	11	0.845	137005	327.69372852233676	2699501	0.6	2328	39	397197	None
cluster_10	98.56	0.35	Gradient Boost (General Model)	11	0.853	89082	307.744135534318	2486344	0.55	2302	82	270694	None
cluster_100	80.04	2.53	Neural Network (Specific Model)	11	0.863	56251	332.5537669027688	1792155	0.61	1553	48	191002	None
cluster_101	94.13	1.9	Neural Network (Specific Model)	11	0.889	20032	315.51464153483676	3157141	0.51	2971	276	87981	None
cluster_102	91.89	5.38	Gradient Boost (General Model)	11	0.858	11174	287.3089637635092	1577670	0.27	1573	249	36616	None
cluster_103	97.92	5.0	Gradient Boost (General Model)	11	0.844	23944	302.3794255177021	1606070	0.27	1497	108	76291	None
cluster_104	82.89	1.51	Neural Network (Specific Model)	11	0.886	11454	297.2377372001432	2804613	0.49	2793	394	38361	None
cluster_105	93.32	4.8	Gradient Boost (General Model)	11	0.854	29718	311.5877268798617	2530502	0.65	2314	142	120290	None
cluster_106	78.8	0.28	Gradient Boost (General Model)	11	0.897	29700	328.7060041407868	1060767	0.34	966	47	89370	None
cluster_107	75.43	2.6	Gradient Boost (General Model)	11	0.899	6289	268.3720524017467	2042383	0.49	2290	411	44832	None
cluster_108	81.29	2.98	Neural Network (Specific Model)	11	0.885	12205	287.6638520305589	2422034	0.65	2487	296	51492	None
cluster_109	89.06	1.22	Gradient Boost (General Model)	11	0.9	15633	298.7727482678984	2152890	0.64	2165	192	51635	None
cluster_11	97.52	1.44	Gradient Boost (General Model)	11	0.883	69258	329.7734994337486	2962437	0.64	2649	113	176354	None
cluster_110	92.83	1.78	Gradient Boost (General Model)	11	0.866	26609	293.4386566141193	1480056	0.3	1459	89	106665	None
cluster_111	80.73	2.79	Gradient Boost (General Model)	11	0.857	8768	278.47062750333777	1458710	0.29	1498	232	38250	None
cluster_112	83.83	0.78	Neural Network (Specific Model)	11	0.888	16552	285.27892432770483	1538279	0.37	1599	157	51331	None
cluster_113	74.71	0.11	Neural Network (Specific Model)	11	0.886	8802	286.48060941828254	2098722	0.66	2166	327	36396	None
cluster_114	71.64	1.36	Gradient Boost (General Model)	11	0.85	4349	260.89106844741235	2202460	0.62	2396	584	35576	None
cluster_115	79.84	5.08	Gradient Boost (General Model)	11	0.874	7608	257.7591897974494	2351842	0.52	2666	415	98212	None
cluster_116	92.74	11.59	Gradient Boost (General Model)	11	0.873	24220	284.3356282271945	3401186	0.59	3486	357	106754	None
cluster_117	94.36	6.56	Gradient Boost (General Model)	11	0.904	129125	338.533902323376	2365186	0.51	2109	52	271675	None
cluster_118	76.67	1.47	Neural Network (Specific Model)	11	0.886	10277	281.4800173761946	2189657	0.65	2302	343	61994	None
cluster_119	82.44	1.02	Gradient Boost (General Model)	11	0.893	15437	306.29053084648496	2861214	0.45	2788	321	78240	None
cluster_12	97.95	2.86	Gradient Boost (General Model)	11	0.883	29452	320.377253814147	2350126	0.58	2163	173	73664	None
cluster_120	71.61	4.2	Gradient Boost (General Model)	11	0.889	7153	307.0500766479305	2023497	0.55	1957	410	51022	None
cluster_121	63.75	1.37	Neural Network (Specific Model)	11	0.88	6716	258.0833333333333	1750234	0.64	1992	356	38680	None
cluster_122	65.81	0.81	Gradient Boost (General Model)	11	0.902	4577	254.58172588832488	1663413	0.6	1970	426	69399	None
cluster_123	61.93	0.86	Gradient Boost (General Model)	11	0.85	6145	267.1559173450219	1503464	0.27	1597	318	55066	None
cluster_124	55.09	0.0	Gradient Boost (General Model)	11	0.89	5114	256.25708635464736	1306443	0.5	1517	305	15891	None
cluster_125	44.99	0.36	Gradient Boost (General Model)	11	0.9	14305	271.2942238267148	999443	0.31	1108	101	68949	None
cluster_126	49.28	2.1	Neural Network (Specific Model)	11	0.891	5427	268.8922155688623	1660508	0.6	1837	382	23688	None
cluster_127	60.46	0.06	Neural Network (Specific Model)	11	0.877	4326	255.44444444444446	1435623	0.64	1647	378	19664	None
cluster_128	52.36	0.37	Gradient Boost (General Model)	11	0.891	4105	280.3393017009848	1050810	0.56	1117	292	17495	None
cluster_129	74.73	2.57	Neural Network (Specific Model)	11	0.868	10177	277.85500427716	2240195	0.62	2338	332	56502	None
cluster_13	99.76	0.24	Gradient Boost (General Model)	11	0.876	84955	331.3227467811159	2638393	0.56	2330	69	180037	None
cluster_130	56.76	0.57	Gradient Boost (General Model)	11	0.868	3757	236.03800217155265	1498441	0.51	1842	451	23932	None
cluster_131	64.37	1.39	Gradient Boost (General Model)	11	0.897	3529	239.51539491298527	1191244	0.54	1494	377	31748	None
cluster_132	49.95	0.43	Gradient Boost (General Model)	11	0.882	2724	219.77656405163853	1498862	0.43	2014	544	35166	None
cluster_133	61.25	0.49	Neural Network (Specific Model)	11	0.903	6109	290.79605263157896	1612340	0.55	1672	321	27804	None
cluster_134	70.1	0.71	Gradient Boost (General Model)	11	0.842	3861	264.2827050997783	1694653	0.6	1804	484	21168	None
cluster_135	78.78	4.95	Neural Network (Specific Model)	11	0.886	8534	259.7107175295186	1931566	0.37	2202	313	87809	None
cluster_136	48.87	0.2	Gradient Boost (General Model)	11	0.857	3480	232.84684147794994	1362379	0.57	1678	423	26871	None
cluster_137	67.89	14.41	Gradient Boost (General Model)	11	0.88	4295	261.6343686698177	2633825	0.63	2962	722	15656	None
cluster_138	69.95	7.6	Gradient Boost (General Model)	11	0.874	2708	232.29807692307693	1073873	0.29	1352	414	9835	None
cluster_14	94.41	0.08	Gradient Boost (General Model)	11	0.857	76592	341.01791639017915	1795631	0.5	1507	43	213979	None
cluster_15	92.31	2.53	Gradient Boost (General Model)	11	0.902	27069	301.9576411960133	1206498	0.29	1204	60	69942	None
cluster_16	84.57	3.0	Neural Network (Specific Model)	11	0.881	13358	301.792226487524	2137855	0.62	2084	260	58855	None
cluster_17	97.77	0.0	Gradient Boost (General Model)	11	0.896	138203	341.02248770203795	1622065	0.49	1423	19	314163	None
cluster_18	97.97	0.0	Gradient Boost (General Model)	11	0.881	49430	328.57668439716315	2520059	0.6	2256	105	241146	None
cluster_19	92.16	0.0	Gradient Boost (General Model)	11	0.897	41189	332.9120924473793	2691351	0.5	2423	105	124695	None
cluster_2	93.88	0.34	Gradient Boost (General Model)	11	0.912	104444	312.1614583333333	1377395	0.51	1344	36	245912	None
cluster_20	94.53	1.41	Gradient Boost (General Model)	11	0.899	25073	282.54896551724136	1364493	0.31	1450	88	73128	None
cluster_21	97.4	0.06	Gradient Boost (General Model)	11	0.876	51786	305.54528122020974	2192269	0.47	2098	76	211097	None
cluster_22	87.31	1.79	Gradient Boost (General Model)	11	0.897	12831	295.7932242990654	3378135	0.51	3424	453	50740	None
cluster_23	98.93	0.0	Gradient Boost (General Model)	11	0.873	40009	313.4031331592689	2059261	0.62	1915	84	114324	None
cluster_24	91.04	0.0	Gradient Boost (General Model)	11	0.842	89439	318.74469589816124	1603197	0.52	1414	42	118464	None
cluster_25	91.97	2.02	Gradient Boost (General Model)	11	0.886	27856	295.4607118871726	1486810	0.3	1489	107	97328	None
cluster_26	94.0	0.35	Gradient Boost (General Model)	11	0.898	74243	328.2447643979058	2507290	0.52	2292	63	286849	None
cluster_27	96.75	0.09	Neural Network (Specific Model)	11	0.885	39903	328.5377150419056	2521773	0.61	2267	100	191625	None
cluster_28	93.52	0.89	Neural Network (Specific Model)	11	0.869	70898	307.1374527112232	2516807	0.55	2379	77	196511	None
cluster_29	96.84	0.8	Gradient Boost (General Model)	11	0.881	29349	329.4094858797973	3094158	0.59	2762	155	118890	None
cluster_3	86.06	0.1	Neural Network (Specific Model)	11	0.879	97692	328.78842315369263	1683057	0.51	1503	23	221861	None
cluster_30	93.71	4.74	Gradient Boost (General Model)	11	0.895	24425	284.9649470899471	1440396	0.28	1512	108	67556	None
cluster_31	96.33	3.01	Neural Network (Specific Model)	11	0.871	21094	271.1247196052041	2077895	0.37	2229	183	92632	None
cluster_32	97.38	1.85	Gradient Boost (General Model)	11	0.899	39325	308.7141771189662	2706230	0.61	2631	126	115043	None
cluster_33	94.25	8.4	Gradient Boost (General Model)	11	0.841	312434	327.58082329317267	2323303	0.51	1992	49	601976	None
cluster_34	89.63	2.59	Gradient Boost (General Model)	11	0.896	40462	277.4856115107914	1546176	0.28	1668	88	112306	None
cluster_35	95.6	1.25	Gradient Boost (General Model)	11	0.914	17648	301.79837398373985	1216059	0.35	1230	104	64859	None
cluster_36	94.85	0.0	Gradient Boost (General Model)	11	0.885	33217	339.12415232133543	2201009	0.52	1917	124	125536	None
cluster_37	99.99	1.69	Neural Network (Specific Model)	11	0.906	265527	307.7273706896552	2831281	0.41	2784	28	349723	None
cluster_38	93.72	1.85	Gradient Boost (General Model)	11	0.878	91520	337.6915750915751	3144530	0.53	2730	128	199418	None
