Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SRR2546421_fairy_all_metabat2_short_bin.1	69.39	0.08	Gradient Boost (General Model)	11	0.842	7930	253.53776111408678	3362024	0.56	3734	550	32647	None
SRR2546421_fairy_all_metabat2_short_bin.10	34.57	0.14	Neural Network (Specific Model)	11	0.911	2637	235.53255654557915	1127552	0.66	1459	423	10787	None
SRR2546421_fairy_all_metabat2_short_bin.11	62.86	1.01	Gradient Boost (General Model)	11	0.846	3887	263.09650735294116	2024461	0.52	2176	573	13432	None
SRR2546421_fairy_all_metabat2_short_bin.12	76.85	4.88	Gradient Boost (General Model)	11	0.934	9398	305.79171562867214	3334865	0.69	3404	504	54068	None
SRR2546421_fairy_all_metabat2_short_bin.13	79.51	6.29	Gradient Boost (General Model)	11	0.884	5238	267.1784073506891	3543920	0.68	3918	867	24452	None
SRR2546421_fairy_all_metabat2_short_bin.14	81.0	3.96	Gradient Boost (General Model)	11	0.899	4896	252.93924783027964	2620541	0.65	3111	641	23263	None
SRR2546421_fairy_all_metabat2_short_bin.15	65.7	0.2	Gradient Boost (General Model)	11	0.902	7244	256.9693821760525	1558894	0.63	1829	274	36959	None
SRR2546421_fairy_all_metabat2_short_bin.16	54.05	0.11	Gradient Boost (General Model)	11	0.865	4257	259.13185483870967	2224951	0.58	2480	599	23000	None
SRR2546421_fairy_all_metabat2_short_bin.17	80.24	8.43	Gradient Boost (General Model)	11	0.921	6740	275.75488515598215	2610130	0.69	2917	497	42822	None
SRR2546421_fairy_all_metabat2_short_bin.18	89.03	6.53	Gradient Boost (General Model)	11	0.908	10637	268.0079340860543	2890701	0.65	3277	433	58106	None
SRR2546421_fairy_all_metabat2_short_bin.19	72.36	4.79	Gradient Boost (General Model)	11	0.926	6093	271.3619924940293	2564659	0.64	2931	528	27753	None
SRR2546421_fairy_all_metabat2_short_bin.2	25.22	2.71	Neural Network (Specific Model)	11	0.908	2272	226.72013651877134	874887	0.69	1172	384	8140	None
SRR2546421_fairy_all_metabat2_short_bin.20	25.38	2.98	Neural Network (Specific Model)	11	0.912	4828	277.74406901509707	1268045	0.68	1391	323	14529	None
SRR2546421_fairy_all_metabat2_short_bin.21	18.81	0.05	Neural Network (Specific Model)	11	0.925	2481	227.1284004352557	673890	0.66	919	272	7192	None
SRR2546421_fairy_all_metabat2_short_bin.22	12.88	0.06	Neural Network (Specific Model)	11	0.93	4606	277.36504424778764	403086	0.69	452	105	11585	None
SRR2546421_fairy_all_metabat2_short_bin.23	60.4	0.72	Gradient Boost (General Model)	11	0.887	4135	255.11261027503892	1657372	0.55	1927	455	14768	None
SRR2546421_fairy_all_metabat2_short_bin.24	32.13	3.35	Neural Network (Specific Model)	11	0.886	2694	230.84848484848484	1155699	0.65	1485	434	47706	None
SRR2546421_fairy_all_metabat2_short_bin.25	69.83	3.27	Gradient Boost (General Model)	11	0.908	3433	249.18359375	3363113	0.69	4096	1069	16233	None
SRR2546421_fairy_all_metabat2_short_bin.26	91.4	4.12	Gradient Boost (General Model)	11	0.874	38001	289.569685958993	3818360	0.54	3853	248	120034	None
SRR2546421_fairy_all_metabat2_short_bin.27	32.27	1.39	Neural Network (Specific Model)	11	0.926	3831	241.0189620758483	779389	0.66	1002	226	10867	None
SRR2546421_fairy_all_metabat2_short_bin.28	74.99	4.7	Gradient Boost (General Model)	11	0.927	5291	280.32271147161066	3118687	0.69	3452	720	32270	None
SRR2546421_fairy_all_metabat2_short_bin.29	12.53	0.01	Neural Network (Specific Model)	11	0.883	2435	226.98322147651007	457963	0.69	596	186	9259	None
SRR2546421_fairy_all_metabat2_short_bin.3	6.8	0.01	Neural Network (Specific Model)	11	0.925	2133	231.53205128205127	233725	0.69	312	103	7589	None
SRR2546421_fairy_all_metabat2_short_bin.30	83.02	5.24	Gradient Boost (General Model)	11	0.845	9916	288.85653141585345	5969333	0.58	5841	819	52337	None
SRR2546421_fairy_all_metabat2_short_bin.31	6.18	0.0	Neural Network (Specific Model)	11	0.904	2428	241.98986486486487	237160	0.68	296	97	7249	None
SRR2546421_fairy_all_metabat2_short_bin.32	28.77	3.93	Neural Network (Specific Model)	11	0.908	2358	236.3242574257426	943985	0.69	1212	393	8842	None
SRR2546421_fairy_all_metabat2_short_bin.33	7.37	0.01	Neural Network (Specific Model)	11	0.836	3295	245.13333333333333	473604	0.62	540	156	11163	None
SRR2546421_fairy_all_metabat2_short_bin.34	31.58	1.82	Neural Network (Specific Model)	11	0.891	2310	230.13743392599713	1606386	0.71	2081	698	10740	None
SRR2546421_fairy_all_metabat2_short_bin.35	10.31	0.82	Neural Network (Specific Model)	11	0.916	2401	243.39967373572594	487239	0.69	613	201	7555	None
SRR2546421_fairy_all_metabat2_short_bin.36	9.38	0.42	Neural Network (Specific Model)	11	0.891	2060	222.59574468085106	386307	0.67	517	185	6577	None
SRR2546421_fairy_all_metabat2_short_bin.37	33.69	1.02	Neural Network (Specific Model)	11	0.929	2712	236.45166279969064	982662	0.66	1293	372	8952	None
SRR2546421_fairy_all_metabat2_short_bin.38	24.26	0.0	Neural Network (Specific Model)	11	0.847	5122	221.06870229007635	715284	0.52	917	163	22853	None
SRR2546421_fairy_all_metabat2_short_bin.39	71.13	2.78	Gradient Boost (General Model)	11	0.841	10160	233.93841911764707	1809080	0.52	2176	250	45755	None
